Date	Day	Time	Event	Category
2026-02-09	Monday	08:00	Southside Wholesale market run	Vendor
2026-02-09	Monday	18:00	Family dinner at home	Family
2026-02-11	Wednesday	14:00	Dr Rhodes blood pressure follow up	Health
2026-02-11	Wednesday	19:00	Bible study, Riverside Baptist	Church
2026-02-12	Thursday	19:30	Band rehearsal, Northside Community Center	Band
2026-02-13	Friday	16:00	Payroll approval, Gusto	Work
2026-02-15	Sunday	10:00	Worship service	Church
2026-02-15	Sunday	21:00	Weekly inventory count	Work
2026-02-16	Monday	08:00	Market run and bookkeeping	Work
2026-02-18	Wednesday	19:00	Bible study, Riverside Baptist	Church
2026-02-19	Thursday	19:30	Band rehearsal	Band
2026-02-20	Friday	11:30	Confirm Dominion catering details	Catering
2026-02-22	Sunday	10:00	Worship service, Tanya visiting after	Family
