asset_tag,manufacturer,model,serial_number,year_manufactured,year_acquired,category,hr_meter_current,last_service_date,procedure_ref_applied,unit_status,notes
MV-LDR-101,Caterpillar,950F,5SK00841,1993,1994,wheel_loader,12550,2018-08-18,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-102,Caterpillar,950F-II,5WF01207,1995,1995,wheel_loader,8985,2022-03-25,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-103,Caterpillar,966F,1SL02311,1991,1991,wheel_loader,8121,2026-10-16,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-104,Caterpillar,966F,1SL02489,1992,1992,wheel_loader,7388,2019-10-07,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-105,Caterpillar,966F,7HK02184,1996,1996,wheel_loader,11840,2019-10-14,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-106,Caterpillar,966F-II,1SM00873,1997,1997,wheel_loader,11739,2023-11-23,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-107,Caterpillar,966G,3PZ00614,1999,1999,wheel_loader,7223,2025-09-17,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-108,Caterpillar,972G,4WW00291,1998,1998,wheel_loader,10191,2023-11-06,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-109,Caterpillar,980F,8JN01044,1990,1990,wheel_loader,12289,2019-12-09,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-110,Caterpillar,980F-II,8CX00587,1994,1995,wheel_loader,9484,2024-06-16,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-111,John Deere,644E,DW644EX561203,1991,1992,wheel_loader,10619,2025-03-05,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-112,John Deere,644G,DW644GX580441,1996,1996,wheel_loader,7104,2021-07-14,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-113,John Deere,744E,DW744EX572118,1993,1994,wheel_loader,11510,2023-04-10,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-114,John Deere,744H,DW744HX588305,1999,1999,wheel_loader,7062,2022-05-25,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-115,Komatsu,WA320-3,A31035,1994,1995,wheel_loader,6850,2024-03-27,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-116,Komatsu,WA380-3,A50188,1996,1996,wheel_loader,8073,2025-06-10,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-117,Komatsu,WA470-3,WA470H30117,1993,1993,wheel_loader,8857,2022-10-24,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-118,Komatsu,WA470-3,WA470H30204,1997,1998,wheel_loader,9919,2024-07-05,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-119,Case,621B,JEE0034711,1992,1992,wheel_loader,9875,2025-06-10,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-LDR-120,Volvo,L90C,L90C1V64211,1996,1997,wheel_loader,11032,2021-01-09,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-GRD-201,Caterpillar,12H,APM00301,1988,1989,motor_grader,11889,2024-05-09,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-GRD-202,Caterpillar,12H,APM00499,1990,1990,motor_grader,12658,2020-06-08,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-GRD-203,Caterpillar,12H,APM00814,1993,1993,motor_grader,8935,2023-07-09,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-GRD-204,Caterpillar,140H,APM01223,1995,1995,motor_grader,10542,2020-04-10,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-GRD-205,Caterpillar,140H,APM01518,1997,1997,motor_grader,11302,2026-08-22,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-GRD-206,Caterpillar,140H,APM01709,1998,1998,motor_grader,9056,2025-12-22,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-GRD-207,Caterpillar,14H,ASE00644,1991,1992,motor_grader,12211,2020-12-22,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-GRD-208,Caterpillar,14H,ASE00891,1994,1994,motor_grader,10179,2021-03-20,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-GRD-209,Caterpillar,160H,AXL00276,1996,1996,motor_grader,9793,2019-11-14,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-GRD-210,Caterpillar,160H,AXL00417,1999,1999,motor_grader,11780,2024-09-10,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-GRD-211,John Deere,670B,DW670BX580017,1989,1990,motor_grader,8117,2026-01-14,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-GRD-212,John Deere,672CH,DW672CX572114,1994,1994,motor_grader,8372,2022-04-10,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-GRD-213,John Deere,770B,DW770BX561184,1992,1993,motor_grader,10352,2023-10-02,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-GRD-214,John Deere,770BH,DW770BX593022,1997,1997,motor_grader,10488,2021-08-22,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-GRD-215,John Deere,870B,DW870BX583507,1995,1995,motor_grader,13143,2019-11-04,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-GRD-216,Volvo,G740B,VCEG740B1V60113,1998,1998,motor_grader,9910,2023-03-05,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-BKH-301,Case,580SL,JJG0233118,1994,1994,backhoe_loader,8878,2022-09-13,MV-PROC-DECOMM-v2013,on_disposal_list,
MV-BKH-302,John Deere,310SE,T0310SE870443,1996,1997,backhoe_loader,7925,2020-09-17,MV-PROC-DECOMM-v2013,on_disposal_list,
