line_item,kind,monthly_usd,notes
Social Security,income,2180,Direct deposit to Rio Grande Credit Union
Mesa Verde pension,income,650,Monthly deposit
Property tax and escrow,expense,,Paid with monthly bills on the 1st
Utilities,expense,,Propane electric and phone
Groceries and gas,expense,,Kaune's and in-town errands
Medicare and Medigap,expense,,Plan G
Insurance,expense,,Farmers vehicle and Mutual of Santa Fe home
Prescriptions,expense,,Pharmacy copays
Total income,summary,2830,Approximate
Total expenses,summary,1900,Approximate
Monthly surplus to savings,summary,930,Emergency and roof fund
Savings balance,note,,Roughly 38000 at Rio Grande Credit Union
Roof replacement fund target,note,,Estimated 8000 to 14000
