transaction_id,receipt_id,listing_id,shop_id,buyer_user_id,title,quantity,price,shipping_cost,is_digital,variations,created_timestamp
7100001,4200001,5300000,29457183,6100000,Coil-built stoneware mug,1,38.0,7.5,false,,2026-08-03T10:00:00-05:00
7100002,4200002,5300001,29457183,6100001,Speckled dinner bowl,1,42.0,7.5,false,,2026-07-12T10:01:00-05:00
7100003,4200003,5300002,29457183,6100002,Tall carafe with cork,1,68.0,14.5,false,,2026-07-23T10:02:00-05:00
7100004,4200004,5300003,29457183,6100003,Small planter with drip tray,1,34.0,7.5,false,,2026-07-23T10:03:00-05:00
7100005,4200005,5300004,29457183,6100004,Wide serving platter,2,95.0,14.5,false,,2026-08-03T10:04:00-05:00
7100006,4200006,5300005,29457183,6100005,Pour-over coffee dripper,1,56.0,9.0,false,,2026-07-27T10:05:00-05:00
7100007,4200007,5300006,29457183,6100006,Berry colander,1,48.0,14.5,false,,2026-09-27T10:06:00-05:00
7100008,4200008,5300007,29457183,6100007,Matte black tumbler,1,30.0,12.0,false,,2026-07-16T10:07:00-05:00
7100009,4200009,5300008,29457183,6100008,Handled soup crock,2,52.0,14.5,false,,2026-07-21T10:08:00-05:00
7100010,4200010,5300009,29457183,6100009,Spoon rest set,2,22.0,12.0,false,,2026-08-19T10:09:00-05:00
7100011,4200011,5300000,29457183,6100010,Coil-built stoneware mug,1,38.0,9.0,false,,2026-09-22T10:10:00-05:00
7100012,4200012,5300001,29457183,6100011,Speckled dinner bowl,1,42.0,9.0,false,,2026-08-14T10:11:00-05:00
7100013,4200013,5300002,29457183,6100012,Tall carafe with cork,1,68.0,7.5,false,,2026-09-10T10:12:00-05:00
7100014,4200014,5300003,29457183,6100013,Small planter with drip tray,2,34.0,9.0,false,,2026-09-23T10:13:00-05:00
7100015,4200015,5300004,29457183,6100014,Wide serving platter,1,95.0,14.5,false,,2026-07-15T10:14:00-05:00
7100016,4200016,5300005,29457183,6100015,Pour-over coffee dripper,2,56.0,7.5,false,,2026-07-02T10:15:00-05:00
7100017,4200017,5300006,29457183,6100016,Berry colander,1,48.0,7.5,false,,2026-07-12T10:16:00-05:00
7100018,4200018,5300007,29457183,6100017,Matte black tumbler,1,30.0,14.5,false,,2026-08-01T10:17:00-05:00
7100019,4200019,5300008,29457183,6100018,Handled soup crock,1,52.0,7.5,false,,2026-08-04T10:18:00-05:00
7100020,4200020,5300009,29457183,6100019,Spoon rest set,1,22.0,12.0,false,,2026-09-25T10:19:00-05:00
7100021,4200021,5300000,29457183,6100020,Coil-built stoneware mug,1,38.0,9.0,false,,2026-09-26T10:20:00-05:00
7100022,4200022,5300001,29457183,6100021,Speckled dinner bowl,2,42.0,7.5,false,,2026-08-05T10:21:00-05:00
7100023,4200023,5300002,29457183,6100022,Tall carafe with cork,1,68.0,9.0,false,,2026-09-01T10:22:00-05:00
7100024,4200024,5300003,29457183,6100023,Small planter with drip tray,1,34.0,7.5,false,,2026-09-06T10:23:00-05:00
7100025,4200025,5300004,29457183,6100024,Wide serving platter,1,95.0,9.0,false,,2026-07-19T10:24:00-05:00
7100026,4200026,5300005,29457183,6100025,Pour-over coffee dripper,1,56.0,12.0,false,,2026-07-19T10:25:00-05:00
7100027,4200027,5300006,29457183,6100026,Berry colander,1,48.0,9.0,false,,2026-08-20T10:26:00-05:00
7100028,4200028,5300007,29457183,6100027,Matte black tumbler,1,30.0,9.0,false,,2026-09-26T10:27:00-05:00
7100029,4200029,5300008,29457183,6100028,Handled soup crock,2,52.0,7.5,false,,2026-09-04T10:28:00-05:00
7100030,4200030,5300009,29457183,6100029,Spoon rest set,1,22.0,14.5,false,,2026-08-25T10:29:00-05:00
7100031,4200031,5300000,29457183,6100030,Coil-built stoneware mug,1,38.0,9.0,false,,2026-07-25T10:30:00-05:00
7100032,4200032,5300001,29457183,6100031,Speckled dinner bowl,1,42.0,14.5,false,,2026-08-20T10:31:00-05:00
7100033,4200033,5300002,29457183,6100032,Tall carafe with cork,2,68.0,12.0,false,,2026-08-08T10:32:00-05:00
7100034,4200034,5300003,29457183,6100033,Small planter with drip tray,1,34.0,7.5,false,,2026-09-20T10:33:00-05:00
7100035,4200035,5300004,29457183,6100034,Wide serving platter,1,95.0,9.0,false,,2026-09-16T10:34:00-05:00
7100036,4200036,5300005,29457183,6100035,Pour-over coffee dripper,1,56.0,7.5,false,,2026-08-21T10:35:00-05:00
7100037,4200037,5300006,29457183,6100036,Berry colander,1,48.0,12.0,false,,2026-09-14T10:36:00-05:00
7100038,4200038,5300007,29457183,6100037,Matte black tumbler,1,30.0,9.0,false,,2026-09-12T10:37:00-05:00
7100039,4200039,5300008,29457183,6100038,Handled soup crock,1,52.0,9.0,false,,2026-09-04T10:38:00-05:00
7100040,4200040,5300009,29457183,6100039,Spoon rest set,1,22.0,14.5,false,,2026-08-22T10:39:00-05:00
7100041,4200041,5300000,29457183,6100040,Coil-built stoneware mug,1,38.0,9.0,false,,2026-07-01T10:40:00-05:00
7100042,4200042,5300001,29457183,6100041,Speckled dinner bowl,1,42.0,14.5,false,,2026-07-10T10:41:00-05:00
7100043,4200043,5300002,29457183,6100042,Tall carafe with cork,1,68.0,9.0,false,,2026-09-21T10:42:00-05:00
7100044,4200044,5300003,29457183,6100043,Small planter with drip tray,2,34.0,12.0,false,,2026-09-01T10:43:00-05:00
