review_id,shop_id,listing_id,buyer_user_id,rating,review,language,image_url,created_timestamp,updated_timestamp
9200001,29457183,5300000,6100000,5,"Beautiful piece, packed well.",en,,2026-07-10T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200002,29457183,5300001,6100001,4,Gift and they adored it.,en,,2026-09-04T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200003,29457183,5300002,6100002,5,Exactly as pictured.,en,,2026-09-11T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200004,29457183,5300003,6100003,4,"Beautiful piece, packed well.",en,,2026-09-07T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200005,29457183,5300004,6100004,5,Exactly as pictured.,en,,2026-09-20T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200006,29457183,5300005,6100005,5,Gift and they adored it.,en,,2026-09-05T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200007,29457183,5300006,6100006,5,Love the glaze.,en,,2026-09-08T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200008,29457183,5300007,6100007,5,"Beautiful piece, packed well.",en,,2026-09-25T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200009,29457183,5300008,6100008,5,Exactly as pictured.,en,,2026-07-12T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200010,29457183,5300009,6100009,5,Exactly as pictured.,en,,2026-09-14T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200011,29457183,5300000,6100010,5,Exactly as pictured.,en,,2026-07-08T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200012,29457183,5300001,6100011,5,Gift and they adored it.,en,,2026-08-04T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200013,29457183,5300002,6100012,5,Gift and they adored it.,en,,2026-08-05T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200014,29457183,5300003,6100013,4,Exactly as pictured.,en,,2026-07-25T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200015,29457183,5300004,6100014,5,Love the glaze.,en,,2026-08-10T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200016,29457183,5300005,6100015,4,"Beautiful piece, packed well.",en,,2026-09-22T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200017,29457183,5300006,6100016,5,Love the glaze.,en,,2026-09-06T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200018,29457183,5300007,6100017,4,Gift and they adored it.,en,,2026-09-14T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200019,29457183,5300008,6100018,5,Love the glaze.,en,,2026-08-25T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200020,29457183,5300009,6100019,5,Exactly as pictured.,en,,2026-07-09T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200021,29457183,5300000,6100020,4,"Beautiful piece, packed well.",en,,2026-09-28T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200022,29457183,5300001,6100021,5,Gift and they adored it.,en,,2026-07-24T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200023,29457183,5300002,6100022,5,Exactly as pictured.,en,,2026-09-28T12:00:00-05:00,2026-09-01T12:00:00-05:00
9200024,29457183,5300003,6100023,5,"Beautiful piece, packed well.",en,,2026-07-04T12:00:00-05:00,2026-09-01T12:00:00-05:00
