Song	Artist	Key	Tempo (BPM)	Length	Set
Cover Me Up	Jason Isbell	D	72	5:10	Main
24 Frames	Jason Isbell	G	116	4:00	Main
Something More Than Free	Jason Isbell	G	92	4:35	Main
Sleeping on the Blacktop	Colter Wall	Am	88	3:20	Main
Kate McCannon	Colter Wall	Em	84	4:45	Main
Thirteen Silver Dollars	Colter Wall	A	120	3:05	Main
I and Love and You	The Avett Brothers	C	76	5:00	Main
Head Full of Doubt	The Avett Brothers	G	132	4:10	Main
Live and Die	The Avett Brothers	A	140	3:35	Encore
Wagon Wheel	Old Crow Medicine Show	A	150	4:20	Encore
Take It Easy	Eagles	G	138	3:30	Main
The Weight	The Band	A	76	4:35	Encore
Simple Man	Lynyrd Skynyrd	C#m	70	5:55	Main
Use Me	Bill Withers	Em	98	3:45	Main
Cant You See	The Marshall Tucker Band	D	92	5:15	Main
Ramble On	Led Zeppelin	E	100	4:35	Main
Stay a Little Longer	Brothers Osborne	E	150	4:00	Main
Midnight Rider	The Allman Brothers Band	D	96	3:00	Encore
