artist_id,name,genres,followers,popularity
gjv0nr9b,gjv0nr9b,gjv0nr9b,1,gjv0nr9b
69icapnf,69icapnf,69icapnf,69icapnf,69icapnf
wym3s2b3,wym3s2b3,wym3s2b3,wym3s2b3,wym3s2b3
3kgk1dce,3kgk1dce,3kgk1dce,3kgk1dce,3kgk1dce
doczpdzb,doczpdzb,doczpdzb,doczpdzb,doczpdzb
8z697svj,8z697svj,8z697svj,8z697svj,8z697svj
eg9kd478,eg9kd478,eg9kd478,eg9kd478,eg9kd478
bbvof2lr,bbvof2lr,bbvof2lr,bbvof2lr,bbvof2lr
qqij1ikl,qqij1ikl,qqij1ikl,qqij1ikl,qqij1ikl
jxwu2lub,jxwu2lub,jxwu2lub,jxwu2lub,jxwu2lub
8xd0q31v,8xd0q31v,8xd0q31v,8xd0q31v,8xd0q31v
hyn18988,hyn18988,hyn18988,hyn18988,hyn18988
9d9omz29,9d9omz29,9d9omz29,9d9omz29,9d9omz29
ctc98ig7,ctc98ig7,ctc98ig7,ctc98ig7,ctc98ig7
u07cgoj1,u07cgoj1,u07cgoj1,u07cgoj1,u07cgoj1
3sybohxf,3sybohxf,3sybohxf,3sybohxf,3sybohxf
35fh0pqp,35fh0pqp,35fh0pqp,35fh0pqp,35fh0pqp
i84kwneh,i84kwneh,i84kwneh,i84kwneh,i84kwneh
lgmnnr7t,lgmnnr7t,lgmnnr7t,lgmnnr7t,lgmnnr7t
02dgg6eq,02dgg6eq,02dgg6eq,02dgg6eq,02dgg6eq
rd0tpxns,rd0tpxns,rd0tpxns,rd0tpxns,rd0tpxns
9lpa0see,9lpa0see,9lpa0see,9lpa0see,9lpa0see
25ozoist,25ozoist,25ozoist,25ozoist,25ozoist
p7123g8k,p7123g8k,p7123g8k,p7123g8k,p7123g8k
r6u2gvgx,r6u2gvgx,r6u2gvgx,r6u2gvgx,r6u2gvgx
y7wj5eql,y7wj5eql,y7wj5eql,y7wj5eql,y7wj5eql
me9mc67q,me9mc67q,me9mc67q,me9mc67q,me9mc67q
ay4xpghe,ay4xpghe,ay4xpghe,ay4xpghe,ay4xpghe
0beu0u4c,0beu0u4c,0beu0u4c,0beu0u4c,0beu0u4c
eox5ve1t,eox5ve1t,eox5ve1t,eox5ve1t,eox5ve1t
h4pnwops,h4pnwops,h4pnwops,h4pnwops,h4pnwops
kx6bmh0c,kx6bmh0c,kx6bmh0c,kx6bmh0c,kx6bmh0c
frej8oex,frej8oex,frej8oex,frej8oex,frej8oex
ictowcer,ictowcer,ictowcer,ictowcer,ictowcer
5eem06lz,5eem06lz,5eem06lz,5eem06lz,5eem06lz
h2di57bd,h2di57bd,h2di57bd,h2di57bd,h2di57bd
x7sc3lqh,x7sc3lqh,x7sc3lqh,x7sc3lqh,x7sc3lqh
ox38pv49,ox38pv49,ox38pv49,ox38pv49,ox38pv49
