"identifier","image","caption","date","centroid_lat","centroid_lon"
"epic_000001","epic_RGB_000001","mountain mountain delta valley forest echo golf hotel","2024-03-04 00:00:00","64.8297","-29.6924"
"epic_000002","epic_RGB_000002","market charlie delta hotel foxtrot foxtrot charlie delta","2024-04-21 00:00:00","-66.0494","87.7753"
"epic_000003","epic_RGB_000003","forest charlie foxtrot echo juliet golf alpha golf","2024-10-13 00:00:00","-2.0701","130.274"
"epic_000004","epic_RGB_000004","juliet market alpha mountain bravo charlie hotel stone","2024-04-06 00:00:00","-13.9109","-72.5352"
"epic_000005","epic_RGB_000005","delta delta cloud delta hotel foxtrot stone alpha","2024-04-23 00:00:00","-20.3588","84.9952"
"epic_000006","epic_RGB_000006","forest bravo valley valley india river echo echo","2024-09-04 00:00:00","-26.2787","-57.3356"
"epic_000007","epic_RGB_000007","charlie tower bridge forest india ocean stone alpha","2024-03-07 00:00:00","-30.6482","-77.6943"
"epic_000008","epic_RGB_000008","tower river alpha stone stone india stone bravo","2024-12-12 00:00:00","-87.7589","70.5106"
"epic_000009","epic_RGB_000009","india bridge tower river stone echo market charlie","2024-10-21 00:00:00","-67.8003","142.0713"
"epic_000010","epic_RGB_000010","river river mountain cloud foxtrot charlie echo cloud","2024-10-23 00:00:00","29.1853","-166.9979"
"epic_000011","epic_RGB_000011","foxtrot hotel charlie mountain golf ocean bridge valley","2024-08-07 00:00:00","-30.0175","-107.0279"
"epic_000012","epic_RGB_000012","valley alpha market mountain stone india india india","2024-09-12 00:00:00","56.4223","119.9987"
"epic_000013","epic_RGB_000013","foxtrot bravo hotel bridge bravo cloud india valley","2024-02-10 00:00:00","36.1392","-88.8989"
"epic_000014","epic_RGB_000014","juliet ocean bridge forest cloud foxtrot echo alpha","2024-06-15 00:00:00","-0.8514","58.685"
"epic_000015","epic_RGB_000015","bridge cloud tower ocean juliet river alpha bridge","2024-09-19 00:00:00","47.3985","17.282"
"epic_000016","epic_RGB_000016","stone stone tower valley foxtrot foxtrot delta bravo","2024-10-09 00:00:00","48.4454","-119.8555"
"epic_000017","epic_RGB_000017","charlie golf valley bridge india india stone ocean","2024-10-17 00:00:00","-70.6525","-163.9765"
"epic_000018","epic_RGB_000018","foxtrot cloud valley forest forest stone charlie charlie","2024-05-24 00:00:00","-71.3109","-179.2324"
"epic_000019","epic_RGB_000019","ocean river alpha bravo echo foxtrot stone forest","2024-10-23 00:00:00","-17.7229","-101.0972"
