"name","status","landing_date","launch_date","max_sol","max_date","total_photos"
"Curiosity","complete","2007-11-19","2013-12-05","2196","2026-07-24","262698"
"Perseverance","complete","2008-01-01","2018-12-24","1713","2026-10-20","290707"
"Opportunity","active","2008-04-30","2006-09-25","3654","2026-08-13","63350"
"Spirit","complete","2011-04-17","2012-05-21","2435","2026-04-29","355224"
"Rover_5","planned","2028-07-03","2024-10-08","0","2026-03-30","0"
"Rover_6","planned","2029-12-01","2024-12-18","0","2026-04-13","0"
"Rover_7","planned","2029-06-14","2027-12-25","0","2026-11-01","0"
"Rover_8","planned","2029-01-24","2025-10-13","0","2026-06-05","0"
"Rover_9","planned","2027-01-01","2025-08-19","0","2026-09-22","0"
"Rover_10","planned","2026-08-03","2029-03-09","0","2026-12-04","0"
"Rover_11","planned","2028-10-09","2029-05-22","0","2026-11-13","0"
"Rover_12","planned","2027-02-25","2029-12-14","0","2026-05-31","0"
"Rover_13","planned","2028-11-02","2024-05-15","0","2026-05-27","0"
"Rover_14","planned","2028-06-16","2024-06-26","0","2026-05-01","0"
"Rover_15","planned","2028-11-20","2028-03-26","0","2026-07-25","0"
"Rover_16","planned","2030-01-10","2027-01-11","0","2026-10-04","0"
"Rover_17","planned","2026-05-08","2029-09-22","0","2026-03-17","0"
"Rover_18","planned","2025-12-16","2024-01-08","0","2026-12-16","0"
"Rover_19","planned","2030-03-30","2028-08-29","0","2026-10-02","0"
"Rover_20","planned","2025-08-04","2029-09-04","0","2026-10-10","0"
"Rover_21","planned","2026-11-17","2026-08-05","0","2026-06-10","0"
"Rover_22","planned","2030-06-10","2025-01-03","0","2026-11-09","0"
"Rover_23","planned","2026-03-18","2025-03-29","0","2026-03-03","0"
"Rover_24","planned","2026-09-21","2028-02-22","0","2026-07-24","0"
"Rover_25","planned","2029-01-11","2025-06-13","0","2026-10-02","0"
"Rover_26","planned","2026-03-31","2029-03-18","0","2026-04-27","0"
"Rover_27","planned","2026-09-11","2025-04-26","0","2026-06-06","0"
"Rover_28","planned","2027-03-12","2026-02-06","0","2026-07-20","0"
"Rover_29","planned","2025-09-22","2025-10-12","0","2026-09-26","0"
"Rover_30","planned","2030-12-08","2024-05-10","0","2026-10-06","0"
"Rover_31","planned","2029-11-28","2028-05-18","0","2026-10-05","0"
"Rover_32","planned","2030-03-27","2029-03-26","0","2026-04-20","0"
"Rover_33","planned","2030-04-09","2025-04-01","0","2026-09-15","0"
"Rover_34","planned","2030-06-04","2027-07-22","0","2026-03-03","0"
"Rover_35","planned","2029-10-26","2028-08-15","0","2026-02-11","0"
"Rover_36","planned","2025-09-18","2029-02-18","0","2026-09-18","0"
"Rover_37","planned","2028-04-10","2025-02-26","0","2026-05-03","0"
"Rover_38","planned","2030-04-27","2027-12-21","0","2026-06-12","0"
"Rover_39","planned","2030-12-15","2025-02-11","0","2026-05-14","0"
"Rover_40","planned","2027-12-05","2026-06-04","0","2026-05-12","0"
"Rover_41","planned","2028-03-08","2025-09-02","0","2026-01-15","0"
"Rover_42","planned","2030-01-27","2026-09-22","0","2026-11-09","0"
"Rover_43","planned","2030-11-23","2028-09-09","0","2026-05-15","0"
