"date","title","explanation","url","hdurl","media_type","copyright"
"2024-01-01","Cosmic Echo India Tower","bravo tower forest stone cloud golf golf valley river alpha charlie stone market forest golf bravo charlie hotel market juliet","https://apod.nasa.gov/apod/image/0.jpg","https://apod.nasa.gov/apod/image/0_hd.jpg","image",""
"2024-01-02","Cosmic Charlie Stone Bridge","market alpha india charlie india delta mountain golf market forest foxtrot hotel river echo bravo foxtrot stone juliet valley market","https://apod.nasa.gov/apod/image/1.jpg","https://apod.nasa.gov/apod/image/1_hd.jpg","image","NASA"
"2024-01-03","Cosmic Valley Mountain Juliet","foxtrot golf alpha delta juliet foxtrot market foxtrot foxtrot bridge india mountain india india bravo golf ocean ocean forest charlie","https://apod.nasa.gov/apod/image/2.jpg","https://apod.nasa.gov/apod/image/2_hd.jpg","image",""
"2024-01-04","Cosmic Forest Stone Foxtrot","india foxtrot india tower forest hotel charlie valley cloud echo stone charlie market mountain market golf juliet valley charlie echo","https://apod.nasa.gov/apod/image/3.jpg","https://apod.nasa.gov/apod/image/3_hd.jpg","image","David Anderson"
"2024-01-05","Cosmic Juliet Mountain Forest","stone forest juliet india bravo golf stone golf echo tower bravo delta ocean foxtrot delta delta hotel delta stone river","https://apod.nasa.gov/apod/image/4.jpg","https://apod.nasa.gov/apod/image/4_hd.jpg","image","ESO"
"2024-01-06","Cosmic Bravo Hotel Ocean","bridge delta valley charlie juliet stone hotel golf bridge india bridge ocean forest echo golf market charlie delta delta bravo","https://apod.nasa.gov/apod/image/5.jpg","https://apod.nasa.gov/apod/image/5_hd.jpg","image",""
"2024-01-07","Cosmic Alpha Delta Golf","forest tower valley charlie foxtrot juliet alpha india tower india hotel bravo echo delta charlie river hotel mountain stone ocean","https://apod.nasa.gov/apod/image/6.jpg","https://apod.nasa.gov/apod/image/6_hd.jpg","image","NASA"
"2024-01-08","Cosmic Hotel River Bridge","charlie forest tower bridge market foxtrot hotel echo foxtrot bridge bravo bridge alpha alpha valley delta market hotel india alpha","https://apod.nasa.gov/apod/image/7.jpg","https://apod.nasa.gov/apod/image/7_hd.jpg","image","ESA"
"2024-01-09","Cosmic Bravo Hotel Cloud","mountain golf stone juliet ocean valley india golf india echo bridge cloud echo valley delta juliet alpha foxtrot bravo cloud","https://apod.nasa.gov/apod/image/8.jpg","https://apod.nasa.gov/apod/image/8_hd.jpg","video","Joseph Jones"
"2024-01-10","Cosmic Juliet Stone Bridge","valley bridge river forest juliet foxtrot market hotel bravo ocean tower cloud juliet valley juliet echo market valley bravo charlie","https://apod.nasa.gov/apod/image/9.jpg","https://apod.nasa.gov/apod/image/9_hd.jpg","image","ESA"
"2024-01-11","Cosmic Bridge Market Hotel","tower charlie juliet golf foxtrot ocean mountain hotel echo delta foxtrot cloud hotel foxtrot alpha mountain bridge forest india hotel","https://apod.nasa.gov/apod/image/10.jpg","https://apod.nasa.gov/apod/image/10_hd.jpg","image","William Anderson"
"2024-01-12","Cosmic Echo Cloud River","bravo charlie valley cloud bravo hotel mountain ocean golf cloud bravo charlie stone india ocean stone hotel foxtrot river alpha","https://apod.nasa.gov/apod/image/11.jpg","https://apod.nasa.gov/apod/image/11_hd.jpg","image","ESA"
