"id","rover","sol","camera","camera_full_name","img_src","earth_date"
"1","Spirit","655","PANCAM","Panoramic Camera","https://mars.nasa.gov/msl-raw/000001.JPG","2016-02-03"
"2","Curiosity","547","MAST","Mast Camera","https://mars.nasa.gov/msl-raw/000002.JPG","2024-03-23"
"3","Spirit","36","MAHLI","Mars Hand Lens Imager","https://mars.nasa.gov/msl-raw/000003.JPG","2024-12-14"
"4","Perseverance","228","PANCAM","Panoramic Camera","https://mars.nasa.gov/msl-raw/000004.JPG","2021-08-30"
"5","Spirit","1052","PANCAM","Panoramic Camera","https://mars.nasa.gov/msl-raw/000005.JPG","2017-01-25"
"6","Curiosity","383","PANCAM","Panoramic Camera","https://mars.nasa.gov/msl-raw/000006.JPG","2022-12-22"
"7","Perseverance","165","FHAZ","Front Hazard Avoidance Camera","https://mars.nasa.gov/msl-raw/000007.JPG","2016-01-21"
"8","Curiosity","2790","FHAZ","Front Hazard Avoidance Camera","https://mars.nasa.gov/msl-raw/000008.JPG","2019-07-20"
"9","Curiosity","1359","FHAZ","Front Hazard Avoidance Camera","https://mars.nasa.gov/msl-raw/000009.JPG","2017-11-28"
"10","Curiosity","2398","MAST","Mast Camera","https://mars.nasa.gov/msl-raw/000010.JPG","2020-07-17"
"11","Spirit","1641","NAVCAM","Navigation Camera","https://mars.nasa.gov/msl-raw/000011.JPG","2026-06-27"
"12","Curiosity","821","FHAZ","Front Hazard Avoidance Camera","https://mars.nasa.gov/msl-raw/000012.JPG","2023-11-02"
"13","Opportunity","1935","RHAZ","Rear Hazard Avoidance Camera","https://mars.nasa.gov/msl-raw/000013.JPG","2025-11-21"
"14","Perseverance","1882","RHAZ","Rear Hazard Avoidance Camera","https://mars.nasa.gov/msl-raw/000014.JPG","2026-09-29"
"15","Perseverance","2350","MAHLI","Mars Hand Lens Imager","https://mars.nasa.gov/msl-raw/000015.JPG","2017-11-04"
"16","Curiosity","1395","RHAZ","Rear Hazard Avoidance Camera","https://mars.nasa.gov/msl-raw/000016.JPG","2018-04-03"
"17","Opportunity","2166","MAST","Mast Camera","https://mars.nasa.gov/msl-raw/000017.JPG","2023-10-06"
"18","Curiosity","1677","CHEMCAM","Chemistry and Camera Complex","https://mars.nasa.gov/msl-raw/000018.JPG","2024-12-29"
"19","Spirit","1896","MAST","Mast Camera","https://mars.nasa.gov/msl-raw/000019.JPG","2022-07-24"
"20","Opportunity","874","MAST","Mast Camera","https://mars.nasa.gov/msl-raw/000020.JPG","2024-06-29"
"21","Perseverance","2322","NAVCAM","Navigation Camera","https://mars.nasa.gov/msl-raw/000021.JPG","2016-05-11"
"22","Spirit","299","RHAZ","Rear Hazard Avoidance Camera","https://mars.nasa.gov/msl-raw/000022.JPG","2017-12-02"
"23","Opportunity","2801","MAST","Mast Camera","https://mars.nasa.gov/msl-raw/000023.JPG","2018-05-13"
"24","Spirit","2384","MAST","Mast Camera","https://mars.nasa.gov/msl-raw/000024.JPG","2026-12-15"
"25","Curiosity","1664","FHAZ","Front Hazard Avoidance Camera","https://mars.nasa.gov/msl-raw/000025.JPG","2015-09-18"
"26","Opportunity","1907","PANCAM","Panoramic Camera","https://mars.nasa.gov/msl-raw/000026.JPG","2023-12-15"
"27","Curiosity","648","NAVCAM","Navigation Camera","https://mars.nasa.gov/msl-raw/000027.JPG","2017-03-25"
"28","Perseverance","2924","PANCAM","Panoramic Camera","https://mars.nasa.gov/msl-raw/000028.JPG","2019-12-14"
"29","Opportunity","2347","PANCAM","Panoramic Camera","https://mars.nasa.gov/msl-raw/000029.JPG","2019-05-23"
"30","Spirit","2735","MAHLI","Mars Hand Lens Imager","https://mars.nasa.gov/msl-raw/000030.JPG","2019-10-02"
"31","Opportunity","1455","NAVCAM","Navigation Camera","https://mars.nasa.gov/msl-raw/000031.JPG","2025-07-22"
"32","Opportunity","1346","MAST","Mast Camera","https://mars.nasa.gov/msl-raw/000032.JPG","2016-12-24"
"33","Opportunity","484","RHAZ","Rear Hazard Avoidance Camera","https://mars.nasa.gov/msl-raw/000033.JPG","2025-07-08"
"34","Spirit","2543","RHAZ","Rear Hazard Avoidance Camera","https://mars.nasa.gov/msl-raw/000034.JPG","2026-10-28"
"35","Curiosity","543","MAST","Mast Camera","https://mars.nasa.gov/msl-raw/000035.JPG","2021-01-29"
"36","Spirit","899","FHAZ","Front Hazard Avoidance Camera","https://mars.nasa.gov/msl-raw/000036.JPG","2018-10-24"
"37","Curiosity","960","MAST","Mast Camera","https://mars.nasa.gov/msl-raw/000037.JPG","2023-03-08"
"38","Spirit","1154","CHEMCAM","Chemistry and Camera Complex","https://mars.nasa.gov/msl-raw/000038.JPG","2025-07-23"
"39","Curiosity","542","MAHLI","Mars Hand Lens Imager","https://mars.nasa.gov/msl-raw/000039.JPG","2018-11-04"
"40","Opportunity","1082","MAST","Mast Camera","https://mars.nasa.gov/msl-raw/000040.JPG","2020-11-22"
"41","Perseverance","2968","MAST","Mast Camera","https://mars.nasa.gov/msl-raw/000041.JPG","2024-02-27"
"42","Perseverance","708","CHEMCAM","Chemistry and Camera Complex","https://mars.nasa.gov/msl-raw/000042.JPG","2015-07-31"
"43","Spirit","2616","CHEMCAM","Chemistry and Camera Complex","https://mars.nasa.gov/msl-raw/000043.JPG","2025-04-22"
"44","Curiosity","2771","NAVCAM","Navigation Camera","https://mars.nasa.gov/msl-raw/000044.JPG","2022-10-15"
"45","Curiosity","2505","RHAZ","Rear Hazard Avoidance Camera","https://mars.nasa.gov/msl-raw/000045.JPG","2024-04-19"
"46","Opportunity","2291","CHEMCAM","Chemistry and Camera Complex","https://mars.nasa.gov/msl-raw/000046.JPG","2021-03-24"
"47","Curiosity","1962","PANCAM","Panoramic Camera","https://mars.nasa.gov/msl-raw/000047.JPG","2020-04-18"
"48","Curiosity","2456","MAHLI","Mars Hand Lens Imager","https://mars.nasa.gov/msl-raw/000048.JPG","2016-12-03"
"49","Perseverance","648","NAVCAM","Navigation Camera","https://mars.nasa.gov/msl-raw/000049.JPG","2023-12-17"
"50","Curiosity","2955","NAVCAM","Navigation Camera","https://mars.nasa.gov/msl-raw/000050.JPG","2018-06-14"
"51","Curiosity","968","CHEMCAM","Chemistry and Camera Complex","https://mars.nasa.gov/msl-raw/000051.JPG","2024-09-13"
"52","Opportunity","2616","NAVCAM","Navigation Camera","https://mars.nasa.gov/msl-raw/000052.JPG","2020-06-22"
"53","Curiosity","151","MAST","Mast Camera","https://mars.nasa.gov/msl-raw/000053.JPG","2021-09-18"
"54","Curiosity","385","MAST","Mast Camera","https://mars.nasa.gov/msl-raw/000054.JPG","2025-02-14"
"55","Opportunity","546","CHEMCAM","Chemistry and Camera Complex","https://mars.nasa.gov/msl-raw/000055.JPG","2022-09-15"
"56","Opportunity","2600","CHEMCAM","Chemistry and Camera Complex","https://mars.nasa.gov/msl-raw/000056.JPG","2021-03-24"
"57","Curiosity","2893","CHEMCAM","Chemistry and Camera Complex","https://mars.nasa.gov/msl-raw/000057.JPG","2021-03-24"
"58","Spirit","726","PANCAM","Panoramic Camera","https://mars.nasa.gov/msl-raw/000058.JPG","2019-04-28"
"59","Curiosity","1103","MAST","Mast Camera","https://mars.nasa.gov/msl-raw/000059.JPG","2020-07-28"
"60","Opportunity","2906","FHAZ","Front Hazard Avoidance Camera","https://mars.nasa.gov/msl-raw/000060.JPG","2019-10-31"
"61","Spirit","834","MAST","Mast Camera","https://mars.nasa.gov/msl-raw/000061.JPG","2025-01-18"
"62","Curiosity","1064","MAST","Mast Camera","https://mars.nasa.gov/msl-raw/000062.JPG","2021-04-19"
"63","Perseverance","1072","NAVCAM","Navigation Camera","https://mars.nasa.gov/msl-raw/000063.JPG","2020-06-15"
"64","Opportunity","14","MAST","Mast Camera","https://mars.nasa.gov/msl-raw/000064.JPG","2016-03-05"
"65","Perseverance","301","RHAZ","Rear Hazard Avoidance Camera","https://mars.nasa.gov/msl-raw/000065.JPG","2024-12-17"
