alias,title,parent
cafes,Cafes,food
bakeries,Bakeries,food
coffee,Coffee & Tea,food
restaurants,Restaurants,restaurants
steak,Steakhouses,restaurants
chinese,Chinese,restaurants
mexican,Mexican,restaurants
seafood,Seafood,restaurants
burmese,Burmese,restaurants
diners,Diners,restaurants
haze-11,Jade bravo 11,alpha-11
willow-12,Meadow tidal 12,bravo-12
harbor-13,Bravo alpha 13,umber-13
tidal-14,Quartz cedar 14,coral-14
violet-15,Delta willow 15,river-15
ember-16,Willow delta 16,orbit-16
bravo-17,Orbit harbor 17,zephyr-17
willow-18,Pine violet 18,tidal-18
summit-19,Grove kelp 19,cedar-19
haze-20,Ember quartz 20,meadow-20
iris-21,Harbor grove 21,iris-21
grove-22,Meadow summit 22,harbor-22
jade-23,Tidal grove 23,orbit-23
violet-24,Zephyr umber 24,pine-24
ember-25,Zephyr umber 25,quartz-25
willow-26,Quartz orbit 26,haze-26
coral-27,Meadow tidal 27,iris-27
orbit-28,Coral zephyr 28,grove-28
river-29,Grove harbor 29,haze-29
umber-30,Willow haze 30,umber-30
jade-31,River pine 31,frost-31
cedar-32,Haze haze 32,quartz-32
meadow-33,Tidal jade 33,haze-33
willow-34,Quartz frost 34,ember-34
ember-35,Orbit kelp 35,umber-35
bravo-36,Alpha orbit 36,river-36
kelp-37,Bravo river 37,iris-37
quartz-38,Quartz kelp 38,cedar-38
frost-39,Grove summit 39,pine-39
violet-40,Harbor bravo 40,harbor-40
willow-41,Summit alpha 41,harbor-41
tidal-42,River bravo 42,meadow-42
harbor-43,Cedar harbor 43,violet-43
violet-44,Bravo frost 44,frost-44
meadow-45,Summit willow 45,cedar-45
umber-46,Cedar bravo 46,quartz-46
violet-47,Zephyr tidal 47,summit-47
haze-48,Coral quartz 48,quartz-48
tidal-49,Grove river 49,quartz-49
frost-50,Jade haze 50,frost-50
delta-51,Pine jade 51,quartz-51
ember-52,Haze grove 52,cedar-52
alpha-53,Meadow meadow 53,violet-53
bravo-54,Umber meadow 54,bravo-54
alpha-55,Summit alpha 55,kelp-55
cedar-56,River haze 56,frost-56
grove-57,Harbor pine 57,coral-57
umber-58,Willow iris 58,coral-58
bravo-59,Orbit willow 59,umber-59
ember-60,Kelp tidal 60,kelp-60
quartz-61,Iris iris 61,zephyr-61
summit-62,Kelp cedar 62,river-62
cedar-63,Umber cedar 63,jade-63
coral-64,Jade cedar 64,willow-64
ember-65,River jade 65,frost-65
river-66,Summit bravo 66,jade-66
pine-67,Grove iris 67,harbor-67
summit-68,Kelp tidal 68,zephyr-68
frost-69,Harbor kelp 69,river-69
kelp-70,Frost tidal 70,violet-70
coral-71,Bravo kelp 71,grove-71
coral-72,Delta meadow 72,tidal-72
coral-73,Delta summit 73,delta-73
ember-74,Bravo iris 74,pine-74
harbor-75,River willow 75,bravo-75
violet-76,Bravo violet 76,frost-76
orbit-77,Umber grove 77,coral-77
river-78,Pine alpha 78,kelp-78
kelp-79,Jade delta 79,kelp-79
willow-80,Iris alpha 80,quartz-80
willow-81,Zephyr haze 81,violet-81
bravo-82,Frost willow 82,summit-82
kelp-83,Tidal kelp 83,orbit-83
quartz-84,Harbor cedar 84,delta-84
delta-85,Meadow meadow 85,zephyr-85
kelp-86,Violet haze 86,tidal-86
willow-87,Orbit meadow 87,cedar-87
cedar-88,River quartz 88,frost-88
frost-89,Bravo coral 89,ember-89
iris-90,Zephyr quartz 90,zephyr-90
quartz-91,Summit quartz 91,grove-91
ember-92,Alpha harbor 92,ember-92
jade-93,Bravo tidal 93,harbor-93
umber-94,Zephyr jade 94,quartz-94
violet-95,Summit bravo 95,river-95
orbit-96,Haze meadow 96,haze-96
haze-97,Umber tidal 97,haze-97
ember-98,Willow cedar 98,pine-98
summit-99,Grove frost 99,alpha-99
ember-100,Summit coral 100,cedar-100
