id,order_id,kit_sku,channel,ship_to_state,order_date_iso,requested_by_iso,payment_rail,order_total_usd,ship_service_hint
recPS3001,ORD-BC-3001,KIT-SHOW-A,bigcommerce,OH,2026-11-15,2026-12-08,stripe,79.00,ground
recPS3002,ORD-BC-3002,KIT-SHOW-B,bigcommerce,PA,2026-11-15,2026-12-09,stripe,109.00,ground
recPS3003,ORD-BC-3003,KIT-STARTER,bigcommerce,OH,2026-11-16,2026-12-08,stripe,65.00,ground
recPS3004,ORD-BC-3004,KIT-SHOW-A,bigcommerce,IN,2026-11-17,2026-12-08,stripe,79.00,ground
recPS3005,ORD-BC-3005,KIT-SHOW-B,bigcommerce,KY,2026-11-17,2026-12-09,stripe,109.00,ground
recPS3011,ORD-BC-3011,KIT-SHOW-B,bigcommerce,CA,2026-11-20,2026-12-10,stripe,109.00,expedited
recPS4001,ORD-WC-4001,KIT-SHOW-A,woocommerce,TX,2026-11-21,2026-12-11,stripe,79.00,expedited
recPS4002,ORD-WC-4002,KIT-SHOW-B,woocommerce,FL,2026-11-21,2026-12-11,stripe,109.00,expedited
recPS3014,ORD-BC-3014,KIT-SHOW-B,bigcommerce,WA,2026-11-26,2026-12-11,stripe,109.00,expedited
recPS3016,ORD-BC-3016,KIT-SHOW-B,bigcommerce,GA,2026-11-27,2026-12-10,stripe,109.00,expedited
recPS3030,ORD-BC-3030,KIT-SHOW-B,bigcommerce,MA,2026-12-05,2026-12-11,stripe,109.00,expedited
recPS4015,ORD-WC-4015,KIT-SHOW-A,woocommerce,CO,2026-12-05,2026-12-11,stripe,79.00,expedited
recPSA5001,ORD-AMZ-5001,KIT-SHOW-A,amazon,CA,2026-11-24,2026-12-11,amazon,79.00,expedited
recPSA5002,ORD-AMZ-5002,KIT-SHOW-B,amazon,FL,2026-11-27,2026-12-11,amazon,109.00,expedited
recPSA5003,ORD-AMZ-5003,KIT-SHOW-A,amazon,TX,2026-12-01,2026-12-11,amazon,79.00,expedited
recPSE6001,ORD-ETS-6001,KIT-SHOW-A,etsy,NY,2026-11-28,2026-12-10,paypal,79.00,ground
recPSE6002,ORD-ETS-6002,KIT-SHOW-B,etsy,MN,2026-12-02,2026-12-11,paypal,109.00,expedited
