tracking_number,status_code,status_description,carrier_code,service_name,ship_date,estimated_delivery,latest_event,latest_event_location,latest_event_time
778421936504,IT,"In transit, delayed",FDXG,FedEx Ground,2026-09-30,2026-09-30,"In transit, delayed","Amarillo Hydraulic and Diesel / Hydraulic cylinder assembly, replacement part (PMC-2503-9F, Prince brand, OEM-equiv for John Deere 568 baler pickup arm)",2026-09-30T00:00:00Z
776816080201,DL,Delivered,FDXG,FedEx Ground,2025-04-07,2025-04-11,Delivered,TSC.com / Hydraulic hose fittings ($454.45),2025-04-11T00:00:00Z
775661465745,DL,Delivered,FDXG,FedEx Home Delivery,2025-01-30,2025-02-02,Delivered,Pampa Battery Warehouse / Fuel filter cross ($766.74),2025-02-02T00:00:00Z
772040002413,DL,Delivered,FDXG,FedEx Ground,2025-02-10,2025-02-13,Delivered,Panhandle Vet Supply / Baler pickup tine (2) ($91.93),2025-02-13T00:00:00Z
774037583973,DL,Delivered,FDXG,FedEx Express Saver,2026-05-27,2026-06-02,Delivered,Amarillo Hydraulic and Diesel / Hydraulic hose fittings ($395.11),2026-06-02T00:00:00Z
775427650897,DL,Delivered,FDXG,FedEx Ground,2025-07-01,2025-07-07,Delivered,Amarillo Hydraulic and Diesel / PTO shield replacement ($543.12),2025-07-07T00:00:00Z
777487842432,DL,Delivered,FDXG,FedEx Home Delivery,2024-05-31,2024-06-05,Delivered,TSC.com / Hydraulic hose fittings ($634.15),2024-06-05T00:00:00Z
777790047913,DL,Delivered,FDXG,FedEx Home Delivery,2025-08-09,2025-08-13,Delivered,RockAuto / Bearing race kit ($65.31),2025-08-13T00:00:00Z
779383947387,DL,Delivered,FDXG,FedEx Express Saver,2025-11-14,2025-11-17,Delivered,Panhandle Vet Supply / Bearing race kit ($280.07),2025-11-17T00:00:00Z
775432352224,DL,Delivered,FDXG,FedEx Home Delivery,2025-12-17,2025-12-19,Delivered,Panhandle Vet Supply / Hydraulic hose fittings ($507.45),2025-12-19T00:00:00Z
772874559780,DL,Delivered,FDXG,FedEx Express Saver,2024-09-04,2024-09-09,Delivered,Panhandle Vet Supply / Bearing race kit ($768.18),2024-09-09T00:00:00Z
775670881291,DL,Delivered,FDXG,FedEx Home Delivery,2024-12-16,2024-12-21,Delivered,Panhandle Vet Supply / Fuel filter cross ($328.86),2024-12-21T00:00:00Z
776043938944,DL,Delivered,FDXG,FedEx Ground,2024-03-04,2024-03-10,Delivered,Amarillo Hydraulic and Diesel / Hydraulic hose fittings ($319.12),2024-03-10T00:00:00Z
771909918445,DL,Delivered,FDXG,FedEx Ground,2024-08-26,2024-08-31,Delivered,Amarillo Hydraulic and Diesel / Baler pickup tine (2) ($506.71),2024-08-31T00:00:00Z
774608967970,DL,Delivered,FDXG,FedEx Home Delivery,2025-02-22,2025-02-24,Delivered,Prince Manufacturing / Wiring harness plug ($98.38),2025-02-24T00:00:00Z
775128989727,DL,Delivered,FDXG,FedEx Ground,2025-03-06,2025-03-08,Delivered,Panhandle Vet Supply / Baler pickup tine (2) ($301.55),2025-03-08T00:00:00Z
779514803616,DL,Delivered,FDXG,FedEx Ground,2024-06-15,2024-06-21,Delivered,TSC.com / PTO shield replacement ($379.52),2024-06-21T00:00:00Z
779820433897,DL,Delivered,FDXG,FedEx Ground,2024-05-01,2024-05-05,Delivered,TSC.com / Wiring harness plug ($227.11),2024-05-05T00:00:00Z
777199150603,DL,Delivered,FDXG,FedEx Express Saver,2024-05-31,2024-06-06,Delivered,Pampa Battery Warehouse / Hydraulic hose fittings ($357.54),2024-06-06T00:00:00Z
774716471054,DL,Delivered,FDXG,FedEx Home Delivery,2024-04-04,2024-04-09,Delivered,Panhandle Vet Supply / Baler pickup tine (2) ($194.26),2024-04-09T00:00:00Z
778745880701,DL,Delivered,FDXG,FedEx Express Saver,2024-06-04,2024-06-08,Delivered,TSC.com / Fuel filter cross ($421.59),2024-06-08T00:00:00Z
777799486863,DL,Delivered,FDXG,FedEx Ground,2024-02-01,2024-02-03,Delivered,Pampa Battery Warehouse / Fuel filter cross ($244.83),2024-02-03T00:00:00Z
778111239348,DL,Delivered,FDXG,FedEx Home Delivery,2024-10-29,2024-11-02,Delivered,Panhandle Vet Supply / Alternator regulator ($475.0),2024-11-02T00:00:00Z
771848269589,DL,Delivered,FDXG,FedEx Express Saver,2025-06-21,2025-06-25,Delivered,Amarillo Hydraulic and Diesel / Wiring harness plug ($626.87),2025-06-25T00:00:00Z
778536390960,DL,Delivered,FDXG,FedEx Home Delivery,2024-09-06,2024-09-10,Delivered,Amarillo Hydraulic and Diesel / Wiring harness plug ($145.36),2024-09-10T00:00:00Z
778928487266,DL,Delivered,FDXG,FedEx Home Delivery,2026-02-17,2026-02-23,Delivered,Prince Manufacturing / Hydraulic hose fittings ($614.86),2026-02-23T00:00:00Z
774050188736,DL,Delivered,FDXG,FedEx Home Delivery,2024-07-05,2024-07-09,Delivered,Panhandle Vet Supply / Fuel filter cross ($170.24),2024-07-09T00:00:00Z
771443096327,DL,Delivered,FDXG,FedEx Home Delivery,2025-03-27,2025-03-30,Delivered,Panhandle Vet Supply / Bearing race kit ($626.65),2025-03-30T00:00:00Z
777926198031,DL,Delivered,FDXG,FedEx Ground,2024-04-22,2024-04-26,Delivered,Amarillo Hydraulic and Diesel / Alternator regulator ($310.95),2024-04-26T00:00:00Z
775004162695,DL,Delivered,FDXG,FedEx Home Delivery,2024-07-27,2024-07-30,Delivered,RockAuto / Alternator regulator ($740.45),2024-07-30T00:00:00Z
777051096842,DL,Delivered,FDXG,FedEx Express Saver,2024-12-15,2024-12-18,Delivered,Pampa Battery Warehouse / Hydraulic hose fittings ($123.8),2024-12-18T00:00:00Z
775571715422,DL,Delivered,FDXG,FedEx Home Delivery,2025-09-27,2025-10-03,Delivered,Amarillo Hydraulic and Diesel / PTO shield replacement ($308.54),2025-10-03T00:00:00Z
778314534655,DL,Delivered,FDXG,FedEx Express Saver,2025-01-19,2025-01-25,Delivered,TSC.com / Bearing race kit ($160.5),2025-01-25T00:00:00Z
775189662151,DL,Delivered,FDXG,FedEx Home Delivery,2024-08-03,2024-08-06,Delivered,TSC.com / Fuel filter cross ($144.47),2024-08-06T00:00:00Z
777143360516,DL,Delivered,FDXG,FedEx Express Saver,2024-06-13,2024-06-15,Delivered,Prince Manufacturing / PTO shield replacement ($450.58),2024-06-15T00:00:00Z
778315928684,DL,Delivered,FDXG,FedEx Ground,2024-01-23,2024-01-29,Delivered,TSC.com / Fuel filter cross ($47.18),2024-01-29T00:00:00Z
778543971460,DL,Delivered,FDXG,FedEx Ground,2025-05-22,2025-05-24,Delivered,TSC.com / Hydraulic hose fittings ($445.82),2025-05-24T00:00:00Z
771972785751,DL,Delivered,FDXG,FedEx Home Delivery,2025-05-11,2025-05-15,Delivered,Amarillo Hydraulic and Diesel / Baler pickup tine (2) ($608.32),2025-05-15T00:00:00Z
778371533914,DL,Delivered,FDXG,FedEx Home Delivery,2024-11-12,2024-11-15,Delivered,Amarillo Hydraulic and Diesel / Alternator regulator ($621.13),2024-11-15T00:00:00Z
779891128937,DL,Delivered,FDXG,FedEx Ground,2025-02-24,2025-03-01,Delivered,Prince Manufacturing / Fuel filter cross ($558.01),2025-03-01T00:00:00Z
774406510349,DL,Delivered,FDXG,FedEx Ground,2025-04-15,2025-04-19,Delivered,Prince Manufacturing / PTO shield replacement ($395.27),2025-04-19T00:00:00Z
779313109578,DL,Delivered,FDXG,FedEx Ground,2025-05-15,2025-05-17,Delivered,TSC.com / Alternator regulator ($464.19),2025-05-17T00:00:00Z
777846654144,DL,Delivered,FDXG,FedEx Home Delivery,2024-02-03,2024-02-08,Delivered,RockAuto / Fuel filter cross ($114.47),2024-02-08T00:00:00Z
778654544227,DL,Delivered,FDXG,FedEx Home Delivery,2024-01-12,2024-01-16,Delivered,Panhandle Vet Supply / PTO shield replacement ($319.35),2024-01-16T00:00:00Z
773275993424,DL,Delivered,FDXG,FedEx Home Delivery,2025-07-25,2025-07-31,Delivered,Prince Manufacturing / Alternator regulator ($63.98),2025-07-31T00:00:00Z
776175753367,DL,Delivered,FDXG,FedEx Express Saver,2026-02-21,2026-02-25,Delivered,Panhandle Vet Supply / Wiring harness plug ($301.65),2026-02-25T00:00:00Z
771955644320,DL,Delivered,FDXG,FedEx Ground,2026-03-21,2026-03-24,Delivered,Prince Manufacturing / Wiring harness plug ($436.05),2026-03-24T00:00:00Z
776927235588,DL,Delivered,FDXG,FedEx Express Saver,2025-05-25,2025-05-27,Delivered,RockAuto / Bearing race kit ($101.9),2025-05-27T00:00:00Z
779580966710,DL,Delivered,FDXG,FedEx Ground,2025-01-10,2025-01-14,Delivered,TSC.com / Alternator regulator ($182.02),2025-01-14T00:00:00Z
771391676954,DL,Delivered,FDXG,FedEx Express Saver,2024-09-11,2024-09-14,Delivered,Pampa Battery Warehouse / Hydraulic hose fittings ($694.86),2024-09-14T00:00:00Z
775014631969,DL,Delivered,FDXG,FedEx Express Saver,2024-03-05,2024-03-11,Delivered,RockAuto / Bearing race kit ($353.67),2024-03-11T00:00:00Z
778115187310,DL,Delivered,FDXG,FedEx Ground,2026-03-27,2026-03-31,Delivered,Panhandle Vet Supply / Bearing race kit ($489.4),2026-03-31T00:00:00Z
771563757266,DL,Delivered,FDXG,FedEx Express Saver,2024-11-26,2024-12-02,Delivered,RockAuto / Hydraulic hose fittings ($160.77),2024-12-02T00:00:00Z
777826125554,DL,Delivered,FDXG,FedEx Express Saver,2024-04-20,2024-04-22,Delivered,Amarillo Hydraulic and Diesel / Bearing race kit ($314.58),2024-04-22T00:00:00Z
771021602674,DL,Delivered,FDXG,FedEx Express Saver,2024-04-18,2024-04-23,Delivered,TSC.com / PTO shield replacement ($775.98),2024-04-23T00:00:00Z
776585759807,DL,Delivered,FDXG,FedEx Express Saver,2026-01-08,2026-01-10,Delivered,RockAuto / Baler pickup tine (2) ($174.43),2026-01-10T00:00:00Z
773879375536,DL,Delivered,FDXG,FedEx Home Delivery,2024-10-21,2024-10-24,Delivered,RockAuto / Fuel filter cross ($722.77),2024-10-24T00:00:00Z
774928385443,DL,Delivered,FDXG,FedEx Home Delivery,2026-05-14,2026-05-16,Delivered,TSC.com / Baler pickup tine (2) ($52.95),2026-05-16T00:00:00Z
771335912730,DL,Delivered,FDXG,FedEx Home Delivery,2025-01-13,2025-01-19,Delivered,Panhandle Vet Supply / Wiring harness plug ($432.92),2025-01-19T00:00:00Z
774345473444,DL,Delivered,FDXG,FedEx Ground,2025-10-10,2025-10-16,Delivered,Prince Manufacturing / Baler pickup tine (2) ($779.23),2025-10-16T00:00:00Z
774766582355,DL,Delivered,FDXG,FedEx Ground,2025-03-20,2025-03-25,Delivered,RockAuto / PTO shield replacement ($700.52),2025-03-25T00:00:00Z
779909665142,DL,Delivered,FDXG,FedEx Express Saver,2025-08-02,2025-08-08,Delivered,RockAuto / Wiring harness plug ($440.84),2025-08-08T00:00:00Z
776036452670,DL,Delivered,FDXG,FedEx Ground,2025-10-16,2025-10-22,Delivered,Prince Manufacturing / Bearing race kit ($35.4),2025-10-22T00:00:00Z
779730487805,DL,Delivered,FDXG,FedEx Home Delivery,2024-03-09,2024-03-13,Delivered,TSC.com / PTO shield replacement ($764.7),2024-03-13T00:00:00Z
779725195408,DL,Delivered,FDXG,FedEx Ground,2024-05-16,2024-05-22,Delivered,RockAuto / Wiring harness plug ($286.67),2024-05-22T00:00:00Z
773787274558,DL,Delivered,FDXG,FedEx Home Delivery,2024-02-26,2024-03-03,Delivered,Panhandle Vet Supply / Bearing race kit ($517.08),2024-03-03T00:00:00Z
