album_id,name,artist_id,album_type,release_date,total_tracks,label
al-0000,Chopin Nocturnes Complete,ar-0000,compilation,2016-11-12,2,UMG
al-0001,Debussy Piano Works Vol 1,ar-0001,compilation,2015-06-20,7,UMG
al-0002,Born to Run,ar-0002,compilation,2015-12-01,9,WMG
al-0003,Uh-Huh,ar-0003,album,2021-11-20,14,Independent
al-0004,Nebraska,ar-0004,album,2010-07-24,11,Sony
al-0005,Piano Preludes Book 1,ar-0005,album,2021-05-12,4,Sony
al-0006,The River,ar-0006,album,2020-01-28,10,UMG
al-0007,Scarecrow,ar-0007,compilation,2025-05-18,13,Sony
al-0008,Live/1975-85,ar-0008,album,2020-06-02,12,Sony
al-0009,Devil Without a Cause,ar-0009,album,2017-10-07,15,Independent
al-0010,John Mellencamp Best Of,ar-0010,album,2023-03-07,5,Independent
al-0011,Ballades and Impromptus,ar-0011,compilation,2020-08-26,11,Independent
al-0012,American Fool,ar-0012,single,2016-10-16,6,WMG
al-0013,Suite Bergamasque,ar-0013,compilation,2022-01-19,3,UMG
al-0014,Human Wheels,ar-0014,single,2025-09-11,14,UMG
al-0015,Wonder Boy,ar-0015,compilation,2018-08-02,13,WMG
al-0016,Etudes Op. 10 & 25,ar-0016,album,2021-04-04,12,Independent
al-0017,Whenever We Wanted,ar-0017,compilation,2020-11-10,1,Sony
al-0018,Dance Naked,ar-0018,single,2011-06-08,3,UMG
al-0019,Preludes Book 2,ar-0019,album,2018-06-28,12,Independent
al-0020,Cuttin' Heads,ar-0020,single,2012-04-06,9,UMG
al-0021,Freedom's Road,ar-0021,album,2012-01-15,14,Sony
al-0022,"Life, Death, Love and Freedom",ar-0022,single,2024-01-27,11,UMG
al-0023,No Better Than This,ar-0023,compilation,2011-04-16,3,UMG
al-0024,Plain Spoken,ar-0024,compilation,2010-12-24,11,Sony
al-0025,Sad Clowns & Hillbillies,ar-0025,album,2015-05-26,2,WMG
al-0026,Other People's Stuff,ar-0026,album,2014-04-05,1,UMG
al-0027,Chopin: The Poet at the Piano,ar-0027,compilation,2011-10-28,3,WMG
al-0028,Kind of Blue,ar-0028,compilation,2010-08-10,14,UMG
al-0029,A Love Supreme,ar-0029,single,2022-05-21,14,WMG
al-0030,Giant Steps,ar-0030,compilation,2022-05-09,8,WMG
al-0031,Time Out,ar-0031,single,2018-11-05,6,UMG
al-0032,Sketches of Spain,ar-0032,album,2019-11-10,14,WMG
al-0033,Bitches Brew,ar-0033,single,2011-06-07,9,UMG
al-0034,Miles Ahead,ar-0034,album,2023-12-07,13,UMG
al-0035,Milestones,ar-0035,compilation,2013-08-02,8,Sony
al-0036,Round About Midnight,ar-0036,single,2011-02-28,4,Independent
al-0037,In a Silent Way,ar-0037,album,2020-03-28,1,UMG
al-0038,On the Corner,ar-0038,compilation,2019-06-21,15,WMG
al-0039,The Complete Studio Recordings,ar-0039,single,2023-03-22,9,Independent
al-0040,Blue Train,ar-0040,album,2020-06-24,3,Sony
al-0041,My Favorite Things,ar-0041,album,2010-05-22,15,WMG
al-0042,Live at Birdland,ar-0042,single,2013-11-25,7,Sony
al-0043,The Blues Roar,ar-0043,album,2020-06-09,4,UMG
al-0044,Something Else,ar-0044,album,2014-07-25,11,UMG
al-0045,Somethin' Else,ar-0045,album,2023-02-22,8,WMG
al-0046,Speak No Evil,ar-0046,album,2023-01-10,12,UMG
al-0047,Maiden Voyage,ar-0047,album,2014-12-13,4,Sony
al-0048,The Sidewinder,ar-0048,single,2019-10-26,12,Independent
al-0049,Nefertiti,ar-0049,album,2023-05-25,1,WMG
al-0050,Chopin Nocturnes Complete,ar-0050,album,2022-09-05,6,WMG
al-0051,Debussy Piano Works Vol 1,ar-0051,single,2011-01-04,14,Sony
al-0052,Born to Run,ar-0052,compilation,2012-02-05,3,Sony
al-0053,Uh-Huh,ar-0053,single,2025-04-28,12,Sony
al-0054,Nebraska,ar-0054,single,2017-12-18,3,Sony
al-0055,Piano Preludes Book 1,ar-0055,album,2021-05-01,15,UMG
al-0056,The River,ar-0056,album,2019-12-09,2,Sony
