artist_id,name,genres,followers,popularity
ar-0000,Frédéric Chopin,rock,985645,83
ar-0001,Claude Debussy,pop,4202984,56
ar-0002,Bruce Springsteen,indie,5365732,59
ar-0003,John Mellencamp,pop,1219861,11
ar-0004,Ludwig van Beethoven,rock,6834706,4
ar-0005,Wolfgang Amadeus Mozart,jazz,7819345,25
ar-0006,Johann Sebastian Bach,indie,5514263,5
ar-0007,Franz Schubert,classical,8303505,39
ar-0008,Robert Schumann,jazz,8850444,57
ar-0009,Franz Liszt,rock,397366,19
ar-0010,Sergei Rachmaninoff,indie,4255724,28
ar-0011,Maurice Ravel,pop,4005739,0
ar-0012,Erik Satie,pop,8526645,31
ar-0013,Gabriel Fauré,indie,7014976,15
ar-0014,Camille Saint-Saëns,rock,624393,23
ar-0015,Antonin Dvořák,indie,7815758,40
ar-0016,Miles Davis,classical,661082,24
ar-0017,John Coltrane,jazz,6652940,53
ar-0018,Bill Evans,indie,2780199,34
ar-0019,Herbie Hancock,indie,9911408,42
ar-0020,Wayne Shorter,rock,9325300,57
ar-0021,Sonny Rollins,classical,1160030,60
ar-0022,Charlie Parker,rock,6921949,2
ar-0023,Dizzy Gillespie,classical,9264041,15
ar-0024,Thelonious Monk,classical,1920196,77
ar-0025,Duke Ellington,jazz,5768654,11
ar-0026,Louis Armstrong,pop,8273478,63
ar-0027,Ella Fitzgerald,classical,6751028,47
ar-0028,Nina Simone,pop,1687459,40
ar-0029,Etta James,jazz,7155851,39
ar-0030,Aretha Franklin,rock,3498346,23
ar-0031,Ray Charles,rock,5122212,17
ar-0032,B.B. King,jazz,578322,69
ar-0033,Muddy Waters,rock,6507708,71
ar-0034,Howlin' Wolf,jazz,3161865,14
ar-0035,Robert Johnson,rock,6205914,28
ar-0036,Chuck Berry,jazz,1387320,85
ar-0037,Fats Domino,pop,5317568,70
ar-0038,Little Richard,classical,9437303,93
ar-0039,Sam Cooke,jazz,6517213,50
ar-0040,Otis Redding,classical,3012303,31
ar-0041,Marvin Gaye,jazz,5829844,13
ar-0042,Al Green,jazz,6885017,7
ar-0043,Curtis Mayfield,rock,320560,99
ar-0044,Stevie Wonder,rock,9358123,98
ar-0045,Prince,jazz,1524884,47
ar-0046,Van Morrison,pop,4717529,2
ar-0047,Neil Young,indie,5586545,71
ar-0048,Tom Petty,rock,288170,88
ar-0049,Bob Dylan,pop,6805329,78
ar-0050,Bob Seger,classical,5535855,46
ar-0051,Joni Mitchell,classical,2365974,45
ar-0052,Carole King,pop,6774340,29
ar-0053,Aimee Mann,jazz,9665647,84
ar-0054,Joan Baez,pop,6701265,69
ar-0055,Emmylou Harris,indie,4926718,39
ar-0056,Frédéric Chopin,pop,2088094,85
ar-0057,Claude Debussy,indie,6495803,52
ar-0058,Bruce Springsteen,rock,4149402,47
ar-0059,John Mellencamp,jazz,3553454,13
ar-0060,Ludwig van Beethoven,rock,3864330,14
ar-0061,Wolfgang Amadeus Mozart,indie,676212,60
ar-0062,Johann Sebastian Bach,jazz,4286741,80
ar-0063,Franz Schubert,jazz,5018472,40
ar-0064,Robert Schumann,indie,4605824,17
ar-0065,Franz Liszt,classical,4292130,17
ar-0066,Sergei Rachmaninoff,classical,8707488,22
ar-0067,Maurice Ravel,rock,4820287,90
ar-0068,Erik Satie,rock,6467937,62
ar-0069,Gabriel Fauré,classical,7841807,61
ar-0070,Camille Saint-Saëns,classical,6857953,20
ar-0071,Antonin Dvořák,rock,1683221,13
ar-0072,Miles Davis,classical,344187,90
ar-0073,John Coltrane,indie,7904788,89
ar-0074,Bill Evans,rock,3156306,97
ar-0075,Herbie Hancock,indie,1652644,22
ar-0076,Wayne Shorter,jazz,7671811,45
ar-0077,Sonny Rollins,rock,6148890,28
ar-0078,Charlie Parker,classical,1929064,7
ar-0079,Dizzy Gillespie,jazz,1158353,87
ar-0080,Thelonious Monk,jazz,6261561,98
ar-0081,Duke Ellington,indie,3739577,55
ar-0082,Louis Armstrong,indie,9657155,53
ar-0083,Ella Fitzgerald,pop,4593612,38
ar-0084,Nina Simone,classical,866583,20
ar-0085,Etta James,classical,9657157,57
ar-0086,Aretha Franklin,pop,4481356,17
ar-0087,Ray Charles,indie,1953772,14
ar-0088,B.B. King,classical,3433631,91
ar-0089,Muddy Waters,classical,71641,60
ar-0090,Howlin' Wolf,rock,8889840,16
ar-0091,Robert Johnson,jazz,7779278,33
ar-0092,Chuck Berry,classical,4648681,55
ar-0093,Fats Domino,classical,1117803,17
ar-0094,Little Richard,classical,9371740,81
ar-0095,Sam Cooke,rock,7937230,7
ar-0096,Otis Redding,pop,1540411,93
ar-0097,Marvin Gaye,jazz,2816797,71
ar-0098,Al Green,classical,1368784,89
ar-0099,Curtis Mayfield,jazz,7922875,78
ar-0100,Stevie Wonder,indie,1493502,74
ar-0101,Prince,indie,6036133,82
ar-0102,Van Morrison,rock,5030452,96
ar-0103,Neil Young,jazz,3137709,63
ar-0104,Tom Petty,jazz,2202220,56
ar-0105,Bob Dylan,jazz,6704111,15
ar-0106,Bob Seger,classical,7623171,38
ar-0107,Joni Mitchell,rock,821510,33
ar-0108,Carole King,jazz,1483487,80
ar-0109,Aimee Mann,jazz,3278963,65
