asset_tag	item	category	quantity	condition	stored_location	serial_or_id	acquired_year	last_checked	checked_by	assigned_event	checkout_status	est_replacement_usd_note	notes
AV-001	Yamaha StagePas 600BT PA	Sound	1	good	Hall closet B	YMH-600BT-1183	2021	2027-02-20	Marcus Trulove	unassigned	in-storage	"approx 55 (illustrative, not the system of record)"	Battery pack needs replacement before April; order spare
AV-002	Shure SM58 handheld mic	Sound	4	good	Hall closet B	SM58-A/B/C/D	2020	2027-02-20	Marcus Trulove	unassigned	in-storage	"approx 12 each (illustrative)"	One windscreen missing; buy a 3-pack
AV-003	Rode Wireless GO II lav	Sound	2	fair	Media cart	RODE-WG2-0442	2022	2027-02-20	Marcus Trulove	unassigned	in-storage	"approx 40 (illustrative)"	Left channel intermittent; test before go-live at both spring events
AV-004	Epson EX3260 projector	Video	1	good	Media cart	EPS-EX3260-7791	2021	2027-01-30	Devon Pratt	unassigned	in-storage	"approx 60 (illustrative)"	VGA + HDMI; bring adapter for Ben's laptop
AV-005	Portable projection screen 80in	Video	1	good	Hall closet A	SCR-80-002	2019	2027-01-30	Devon Pratt	unassigned	in-storage	"approx 18 (illustrative)"	Tripod base; check crank tension
AV-006	Extension cords 25ft	Power	6	good	Hall closet A	CORD-25-01..06	2020	2027-02-20	Devon Pratt	unassigned	in-storage	"approx 6 each (illustrative)"	Gaff-tape the runs at the meal event for trip safety
AV-007	Power strip surge 8-outlet	Power	4	good	Hall closet A	PS8-01..04	2020	2027-02-20	Devon Pratt	unassigned	in-storage	"approx 5 each (illustrative)"	Label which are surge-rated
AV-008	Folding registration tables 6ft	Furniture	8	good	Storage room	TBL-6-01..08	2018	2027-02-11	Devon Pratt	unassigned	in-storage	"n/a (church-owned)"	Two have wobbly legs (TBL-6-03, TBL-6-07); shim
AV-009	Welcome banner (vinyl 3x6)	Signage	1	good	Storage room	BAN-WEL-01	2024	2026-11-05	Alicia Nwosu	unassigned	in-storage	"approx 22 (illustrative)"	Reprint if spring theme changes; proof to Ben first
AV-010	Directional yard signs	Signage	10	fair	Storage room	YRD-01..10	2022	2027-02-11	Devon Pratt	unassigned	in-storage	"approx 3 each (illustrative)"	Three faded; reprint for parking wayfinding
AV-011	Laptop loaner (Chromebook)	Compute	2	fair	Office cabinet	CHR-01, CHR-02	2021	2027-02-20	Marcus Trulove	unassigned	in-storage	"approx 45 each (illustrative)"	For on-site registration desk backup; church-site login only
AV-012	Cash box	Ops	2	good	Office safe	BOX-01, BOX-02	2019	2027-02-20	Grace Okonkwo	unassigned	in-storage	"n/a"	Registration is free; used for the voluntary donation table only; no cash kept overnight
AV-013	First-aid kit	Safety	3	good	Hall closet A / kitchen / office	FAK-01..03	2023	2027-02-20	Anthony Delgado	standing	deployed	"approx 20 each (illustrative)"	Check expiry on burn gel and epi info card
AV-014	Coffee urns 100-cup	Hospitality	3	good	Kitchen	URN-01..03	2020	2027-02-18	Grace Okonkwo	unassigned	in-storage	"approx 35 each (illustrative)"	Descale before the meal event
AV-015	Hand-truck / dolly	Logistics	2	good	Storage room	DOL-01, DOL-02	2019	2027-02-11	Devon Pratt	unassigned	in-storage	"approx 30 each (illustrative)"	For urn and table moves
AV-016	Wheelchair ramp (portable)	Accessibility	1	good	Storage room	RMP-01	2022	2027-02-20	Anthony Delgado	standing	deployed	"n/a"	Confirms the accessibility note on the event pages
AV-017	ASL interpreter riser/light	Accessibility	1	fair	Media cart	ASL-KIT-01	2023	2027-02-20	Anthony Delgado	unassigned	in-storage	"approx 15 (illustrative)"	Pair with interpreter booking for the Wellness Fair
AV-018	Registration tablets	Compute	4	good	Office cabinet	TAB-01..04	2023	2027-02-20	Marcus Trulove	unassigned	in-storage	"approx 50 each (illustrative)"	Kiosk mode to the church-hosted registration page only
AV-019	Portable speaker (battery)	Sound	1	good	Media cart	SPK-BT-01	2022	2027-02-20	Marcus Trulove	unassigned	in-storage	"approx 25 (illustrative)"	Outdoor announcements / parking area
AV-020	Tablecloths + skirting	Hospitality	12	good	Storage room	LIN-01..12	2021	2027-02-18	Grace Okonkwo	unassigned	in-storage	"n/a"	Launder two stained cloths
AV-021	Name-tag + lanyard kit	Ops	1	good	Office cabinet	NTG-KIT-01	2024	2027-02-20	Deborah Kessler	unassigned	in-storage	"approx 14 (illustrative)"	Refill blanks before the retreat
AV-022	Retreat easel + flip pad	Office	2	good	Office cabinet	EAS-01, EAS-02	2020	2027-02-20	Serena Whitfield	retreat-2027-03-27	reserved	"approx 20 each (illustrative)"	For the March 27 retreat working sessions
