tableId,id,name,type
tblTasks00000001,fldTask00000000,id,singleLineText
tblTasks00000001,fldTask00000001,createdTime,singleLineText
tblTasks00000001,fldTask00000002,Name,singleLineText
tblTasks00000001,fldTask00000003,Status,singleSelect
tblTasks00000001,fldTask00000004,Project,singleLineText
tblTasks00000001,fldTask00000005,EstimateHours,number
tblTasks00000001,fldTask00000006,Done,checkbox
tblProjects00001,fldProj00000000,Name,singleLineText
tblProjects00001,fldProj00000001,Status,singleSelect
tblProjects00001,fldProj00000002,Owner,singleLineText
tblProjects00001,fldProj00000003,Budget,number
tblContacts00001,fldCont00000000,Name,singleLineText
tblContacts00001,fldCont00000001,Email,singleLineText
tblContacts00001,fldCont00000002,Company,singleLineText
tblContacts00001,fldCont00000003,Role,singleLineText
tblNF7Ledger001,fldNF700000000,id,singleLineText
tblNF7Ledger001,fldNF700000001,createdTime,singleLineText
tblNF7Ledger001,fldNF700000002,Name,singleLineText
tblNF7Ledger001,fldNF700000003,provenance,singleLineText
tblNF7Ledger001,fldNF700000004,condition,singleSelect
tblNF7Ledger001,fldNF700000005,chain_of_custody,singleLineText
tblNF7Ledger001,fldNF700000006,verdict,singleSelect
tblNF7Ledger001,fldNF700000007,exclusion_reason,singleLineText
tblNF7Ledger001,fldNF700000008,blocking_ticket,singleLineText
