id,createdTime,Name,provenance,condition,chain_of_custody,verdict,exclusion_reason,blocking_ticket
recNF7obj00000001,2025-08-15T10:00:00.000Z,NF7-001 ceramic sherd,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000002,2025-08-15T10:00:00.000Z,NF7-002 iron fitting,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000003,2025-08-15T10:00:00.000Z,NF7-003 rope fragment,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000004,2025-08-15T10:00:00.000Z,NF7-004 lead weight,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000005,2025-08-15T10:00:00.000Z,NF7-005 barrel stave,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000006,2025-08-15T10:00:00.000Z,NF7-006 coin,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000007,2025-08-15T10:00:00.000Z,NF7-007 glass bead,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000008,2025-08-15T10:00:00.000Z,NF7-008 bone tool,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000009,2025-08-15T10:00:00.000Z,NF7-009 leather scrap,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000010,2025-08-15T10:00:00.000Z,NF7-010 timber,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000011,2025-08-15T10:00:00.000Z,NF7-011 ceramic sherd,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000012,2025-08-15T10:00:00.000Z,NF7-012 iron fitting,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000013,2025-08-15T10:00:00.000Z,NF7-013 rope fragment,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000014,2025-08-15T10:00:00.000Z,NF7-014 lead weight,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000015,2025-08-15T10:00:00.000Z,NF7-015 barrel stave,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000016,2025-08-15T10:00:00.000Z,NF7-016 coin,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000017,2025-08-15T10:00:00.000Z,NF7-017 glass bead,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000018,2025-08-15T10:00:00.000Z,NF7-018 bone tool,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000019,2025-08-15T10:00:00.000Z,NF7-019 leather scrap,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000020,2025-08-15T10:00:00.000Z,NF7-020 timber,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000021,2025-08-15T10:00:00.000Z,NF7-021 ceramic sherd,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000022,2025-08-15T10:00:00.000Z,NF7-022 iron fitting,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000023,2025-08-15T10:00:00.000Z,NF7-023 rope fragment,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000024,2025-08-15T10:00:00.000Z,NF7-024 lead weight,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000025,2025-08-15T10:00:00.000Z,NF7-025 barrel stave,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000026,2025-08-15T10:00:00.000Z,NF7-026 coin,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000027,2025-08-15T10:00:00.000Z,NF7-027 glass bead,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000028,2025-08-15T10:00:00.000Z,NF7-028 bone tool,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000029,2025-08-15T10:00:00.000Z,NF7-029 leather scrap,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000030,2025-08-15T10:00:00.000Z,NF7-030 timber,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000031,2025-08-15T10:00:00.000Z,NF7-031 ceramic sherd,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000032,2025-08-15T10:00:00.000Z,NF7-032 iron fitting,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000033,2025-08-15T10:00:00.000Z,NF7-033 rope fragment,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000034,2025-08-15T10:00:00.000Z,NF7-034 lead weight,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000035,2025-08-15T10:00:00.000Z,NF7-035 barrel stave,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000036,2025-08-15T10:00:00.000Z,NF7-036 coin,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000037,2025-08-15T10:00:00.000Z,NF7-037 glass bead,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000038,2025-08-15T10:00:00.000Z,NF7-038 bone tool,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000039,2025-08-15T10:00:00.000Z,NF7-039 leather scrap,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000040,2025-08-15T10:00:00.000Z,NF7-040 timber,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000041,2025-08-15T10:00:00.000Z,NF7-041 ceramic sherd,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000042,2025-08-15T10:00:00.000Z,NF7-042 iron fitting,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000043,2025-08-15T10:00:00.000Z,NF7-043 rope fragment,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000044,2025-08-15T10:00:00.000Z,NF7-044 lead weight,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000045,2025-08-15T10:00:00.000Z,NF7-045 barrel stave,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000046,2025-08-15T10:00:00.000Z,NF7-046 coin,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000047,2025-08-15T10:00:00.000Z,NF7-047 glass bead,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000048,2025-08-15T10:00:00.000Z,NF7-048 bone tool,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000049,2025-08-15T10:00:00.000Z,NF7-049 leather scrap,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000050,2025-08-15T10:00:00.000Z,NF7-050 timber,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000051,2025-08-15T10:00:00.000Z,NF7-051 ceramic sherd,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000052,2025-08-15T10:00:00.000Z,NF7-052 iron fitting,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000053,2025-08-15T10:00:00.000Z,NF7-053 rope fragment,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000054,2025-08-15T10:00:00.000Z,NF7-054 lead weight,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000055,2025-08-15T10:00:00.000Z,NF7-055 barrel stave,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000056,2025-08-15T10:00:00.000Z,NF7-056 coin,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000057,2025-08-15T10:00:00.000Z,NF7-057 glass bead,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000058,2025-08-15T10:00:00.000Z,NF7-058 bone tool,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000059,2025-08-15T10:00:00.000Z,NF7-059 leather scrap,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000060,2025-08-15T10:00:00.000Z,NF7-060 timber,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000061,2025-08-15T10:00:00.000Z,NF7-061 ceramic sherd,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000062,2025-08-15T10:00:00.000Z,NF7-062 iron fitting,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000063,2025-08-15T10:00:00.000Z,NF7-063 rope fragment,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
recNF7obj00000064,2025-08-15T10:00:00.000Z,NF7-064 lead weight,Site NF-7 Phase 3,stable,field->lab->store,report_ready,,
