id,name,close_approach_date,absolute_magnitude_h,est_diameter_min_km,est_diameter_max_km,is_potentially_hazardous,miss_distance_km,relative_velocity_kph,orbiting_body
4000000,(4000000) Farmer Ceres Reference 1,2026-10-01,19.41,0.092,0.4681,True,29855792.06,34547.76,Earth
4000007,(4000007) Farmer Ceres Reference 2,2026-10-05,19.38,0.1986,0.6535,False,3537018.11,65451.57,Earth
4000014,(4000014) Farmer Ceres Reference 3,2026-10-09,20.3,0.1291,0.2799,False,23401426.91,35228.85,Earth
4000021,(4000021) Farmer Ceres Reference 4,2026-10-13,20.37,0.1333,0.9256,False,1497608.01,39824.21,Earth
4000028,(4000028) Farmer Ceres Reference 5,2026-10-17,21.34,0.1323,0.7958,False,32941742.27,36485.86,Earth
4000035,(4000035) Farmer Ceres Reference 6,2026-10-21,21.98,0.0916,0.7981,True,31514564.68,53390.26,Earth
4000042,(4000042) Farmer Ceres Reference 7,2026-10-25,20.89,0.2607,0.2436,False,21739449.34,58471.07,Earth
4000049,(4000049) Farmer Ceres Reference 8,2026-10-29,20.61,0.2943,0.3935,False,38928414.27,50026.27,Earth
4000056,(4000056) Farmer Ceres Reference 9,2026-11-02,20.92,0.1595,0.2951,False,37199819.82,54214.23,Earth
4000063,(4000063) Farmer Ceres Reference 10,2026-11-06,19.59,0.2928,0.2583,False,15186919.02,24409.83,Earth
4000070,(4000070) Farmer Ceres Reference 11,2026-11-10,20.52,0.101,0.6926,True,9635286.97,36756.02,Earth
4000077,(4000077) Farmer Ceres Reference 12,2026-11-14,20.62,0.2729,0.9016,False,32727576.54,66045.82,Earth
4000084,(4000084) Farmer Ceres Reference 13,2026-11-18,19.93,0.1674,0.9414,False,38629661.07,23328.71,Earth
4000091,(4000091) Farmer Ceres Reference 14,2026-11-22,19.59,0.0638,0.2331,False,3316209.12,42395.85,Earth
4000098,(4000098) Farmer Ceres Reference 15,2026-11-26,20.17,0.304,0.2412,False,14440337.39,54308.35,Earth
4000105,(4000105) Farmer Ceres Reference 16,2026-11-30,19.72,0.0721,0.1612,False,8123441.55,38217.44,Earth
4000112,(4000112) Farmer Ceres Reference 17,2026-12-04,20.03,0.0455,0.1018,False,19233087.1,51022.63,Earth
4000119,(4000119) Farmer Ceres Reference 18,2026-12-09,19.11,0.1204,0.2692,False,6612945.88,47188.02,Earth
4000126,(4000126) Farmer Ceres Reference 19,2026-12-15,18.94,0.1533,0.3428,True,2988771.34,61540.19,Earth
