id,client_order_id,symbol,qty,filled_qty,side,type,time_in_force,limit_price,status,filled_avg_price,submitted_at,filled_at
ORD-tidepool-0001,cli-0001,VTI,0.5,0.500,buy,market,day,268.40,filled,268.40,2025-02-12T15:00:00Z,2025-02-12T15:00:00Z
ORD-tidepool-0002,cli-0002,SCHB,1,1,buy,market,day,56.10,filled,56.10,2025-03-12T15:00:00Z,2025-03-12T15:00:00Z
ORD-tidepool-0003,cli-0003,VEA,2,2,buy,market,day,48.20,filled,48.20,2024-10-12T15:00:00Z,2024-10-12T15:00:00Z
ORD-tidepool-0004,cli-0004,ICLN,4,4,buy,market,day,13.80,filled,13.80,2024-11-12T15:00:00Z,2024-11-12T15:00:00Z
ORD-tidepool-0005,cli-0005,SCHD,0.3,0.300,buy,market,day,78.10,filled,78.10,2024-12-12T15:00:00Z,2024-12-12T15:00:00Z
ORD-tidepool-0006,cli-0006,VTI,0.2,0.200,buy,market,day,255.00,filled,255.00,2025-01-12T15:00:00Z,2025-01-12T15:00:00Z
ORD-tidepool-0008,cli-0008,VTI,0.5,0.500,buy,market,day,268.40,filled,268.40,2024-12-12T15:00:00Z,2024-12-13T15:00:00Z
ORD-tidepool-0010,cli-0010,SCHB,1,1,buy,market,day,56.10,filled,56.10,2025-02-10T15:00:00Z,2025-02-11T15:00:00Z
ORD-tidepool-0012,cli-0012,VEA,2,2,buy,market,day,48.20,filled,48.20,2024-10-19T15:00:00Z,2024-10-26T15:00:00Z
ORD-tidepool-0014,cli-0014,ICLN,4,4,buy,market,day,13.80,filled,13.80,2024-11-05T15:00:00Z,2025-01-10T15:00:00Z
ORD-tidepool-0016,cli-0016,SCHD,0.3,0.300,buy,market,day,78.10,filled,78.10,2021-03-12T15:00:00Z,2021-03-12T16:00:00Z
ORD-tidepool-0018,cli-0018,VTI,0.2,0.200,buy,market,day,255.00,filled,255.00,2024-10-12T15:00:00Z,2024-12-29T15:00:00Z
ORD-tidepool-0020,cli-0020,ICLN,4,4,buy,market,day,13.80,filled,13.80,2024-10-29T15:00:00Z,2024-11-11T15:00:00Z
ORD-tidepool-0022,cli-0022,SCHD,0.3,0.300,buy,market,day,78.10,filled,78.10,2025-02-09T15:00:00Z,2025-03-12T15:00:00Z
ORD-tidepool-0024,cli-0024,VTI,0.2,0.200,buy,market,day,255.00,filled,255.00,2025-03-13T15:00:00Z,2025-03-14T15:00:00Z
ORD-tidepool-0026,cli-0026,ICLN,4,4,buy,market,day,13.80,filled,13.80,2025-01-11T15:00:00Z,2025-01-11T15:00:00Z
