symbol,bid_price,bid_size,ask_price,ask_size,timestamp
AAPL,191.20,3,191.25,2,2025-11-26T20:00:00Z
MSFT,418.55,1,418.60,4,2025-11-26T20:00:00Z
TSLA,228.70,5,228.75,3,2025-11-26T20:00:00Z
NVDA,131.85,2,131.90,2,2025-11-26T20:00:00Z
AMZN,188.40,6,188.45,1,2025-11-26T20:00:00Z
GOOGL,174.10,2,174.15,3,2025-11-26T20:00:00Z
SPY,531.20,8,531.25,7,2025-11-26T20:00:00Z
AAPL #2,191.20,3,191.25,2,2025-12-03T20:00:00Z
MSFT #2,418.55,1,418.60,4,2025-12-03T20:00:00Z
TSLA #2,228.70,5,228.75,3,2025-12-26T20:00:00Z
NVDA #2,131.85,2,131.90,2,2025-11-19T20:00:00Z
AMZN #2,188.40,6,188.45,1,2025-11-19T20:00:00Z
GOOGL #2,174.10,2,174.15,3,2026-01-25T20:00:00Z
SPY #2,531.20,8,531.25,7,2026-03-26T20:00:00Z
AAPL #3,191.20,3,191.25,2,2025-12-10T20:00:00Z
MSFT #3,418.55,1,418.60,4,2025-11-12T20:00:00Z
TSLA #3,228.70,5,228.75,3,2025-12-03T20:00:00Z
NVDA #3,131.85,2,131.90,2,2026-03-26T20:00:00Z
AMZN #3,188.40,6,188.45,1,2026-01-24T20:00:00Z
GOOGL #3,174.10,2,174.15,3,2025-11-12T20:00:00Z
SPY #3,531.20,8,531.25,7,2025-12-03T20:00:00Z
AAPL #4,191.20,3,191.25,2,2025-02-28T20:00:00Z
