id,customer_id,location_id,line_items,total_amount,currency,state,created_at
SQORD00000,SQCUS00000,LOC001,1,1200,CAD,COMPLETED,2026-06-01T00:00:00Z
SQORD00001,SQCUS00001,LOC001,1,1200,CAD,COMPLETED,2026-06-01T04:00:00Z
SQORD00002,SQCUS00002,LOC001,5,2400,CAD,COMPLETED,2026-06-01T08:00:00Z
SQORD00003,SQCUS00003,LOC001,4,1200,CAD,COMPLETED,2026-06-01T12:00:00Z
SQORD00004,SQCUS00004,LOC001,4,2400,CAD,COMPLETED,2026-06-01T16:00:00Z
SQORD00005,SQCUS00005,LOC001,5,2400,CAD,COMPLETED,2026-06-01T20:00:00Z
SQORD00006,SQCUS00006,LOC001,2,1200,CAD,COMPLETED,2026-06-02T00:00:00Z
SQORD00007,SQCUS00007,LOC001,2,500,CAD,COMPLETED,2026-06-02T04:00:00Z
SQORD00008,SQCUS00008,LOC001,3,500,CAD,COMPLETED,2026-06-02T08:00:00Z
SQORD00009,SQCUS00009,LOC001,3,500,CAD,COMPLETED,2026-06-02T12:00:00Z
SQORD00010,SQCUS00010,LOC001,3,500,CAD,COMPLETED,2026-06-02T16:00:00Z
SQORD00011,SQCUS00011,LOC001,5,2400,CAD,COMPLETED,2026-06-02T20:00:00Z
SQORD00012,SQCUS00012,LOC001,3,500,CAD,COMPLETED,2026-06-03T00:00:00Z
SQORD00013,SQCUS00013,LOC001,5,500,CAD,COMPLETED,2026-06-03T04:00:00Z
SQORD00014,SQCUS00014,LOC001,3,1200,CAD,COMPLETED,2026-06-03T08:00:00Z
SQORD00015,SQCUS00015,LOC001,4,1200,CAD,COMPLETED,2026-06-03T12:00:00Z
SQORD00016,SQCUS00016,LOC001,3,500,CAD,COMPLETED,2026-06-03T16:00:00Z
SQORD00017,SQCUS00017,LOC001,2,2400,CAD,COMPLETED,2026-06-03T20:00:00Z
SQORD00018,SQCUS00018,LOC001,3,2400,CAD,COMPLETED,2026-06-04T00:00:00Z
SQORD00019,SQCUS00019,LOC001,3,1200,CAD,COMPLETED,2026-06-04T04:00:00Z
SQORD00020,SQCUS00020,LOC001,4,2400,CAD,COMPLETED,2026-06-04T08:00:00Z
SQORD00021,SQCUS00021,LOC001,5,1200,CAD,COMPLETED,2026-06-04T12:00:00Z
SQORD00022,SQCUS00022,LOC001,5,2400,CAD,COMPLETED,2026-06-04T16:00:00Z
SQORD00023,SQCUS00023,LOC001,3,500,CAD,COMPLETED,2026-06-04T20:00:00Z
SQORD00024,SQCUS00024,LOC001,1,2400,CAD,COMPLETED,2026-06-05T00:00:00Z
SQORD00025,SQCUS00025,LOC001,3,500,CAD,COMPLETED,2026-06-05T04:00:00Z
SQORD00026,SQCUS00026,LOC001,2,500,CAD,COMPLETED,2026-06-05T08:00:00Z
SQORD00027,SQCUS00027,LOC001,1,500,CAD,COMPLETED,2026-06-05T12:00:00Z
