Item	Brand/Model	Purchased	Cost	Condition	Notes
Telescope (OTA+Mount)	Celestron NexStar 8SE	2020	$1,299.00	Good	8" SCT, GoTo mount, main scope
Eyepiece - 32mm	Celestron Omni 32mm Plossl	2020	$44.95	Good	Came with scope, low power wide field
Eyepiece - 13mm	Celestron X-Cel LX 13mm	2021	$89.95	Good	Mid-power, great for planets
Eyepiece - 8mm	Explore Scientific 82° 8mm	2022	$169.99	Good	High power, planetary detail, gift from Ben
Barlow Lens - 2x	Celestron Omni 2x	2020	$39.95	Good	Doubles effective magnification
Red Dot Finder	Celestron StarPointer	2020	$0 (included)	Fair	Battery cap cracked, taped, works fine
Dew Shield	Astrozap Flexi-Heat	2021	$59.99	Good	Prevents dew on corrector plate, essential in fall
Power Tank	Celestron PowerTank Lithium	2021	$129.95	Good	Lasts full session, 8+ hours
Planisphere	David Chandler 35°N	2020	$12.95	Good	Quick reference at the eyepiece
Filter - Moon	Celestron #94119-A	2020	$19.95	Good	1.25", reduces glare for lunar
Filter - Light Pollution	Orion SkyGlow	2022	$69.95	Good	Helps from the yard, Gallup lights aren't terrible
Carrying Case	Celestron NexStar 8SE Case	2020	$99.95	Good	Padded, fits OTA + mount + accessories
Binoculars	Celestron SkyMaster 15x70	2023	$79.95	Good	Great for Milky Way scanning, Perseid watching
Collimation Tool	HoTech SCA Laser	2022	$79.95	Good	For SCT secondary mirror alignment, use 2x/year
Star Atlas	Sky & Telescope Pocket Atlas	2020	$24.95	Good	Annotated, dog-eared, coffee-stained
Camp Chair	Helinox Chair Zero	2021	$149.95	Good	Lightweight, essential for long observing sessions
