tracking_number,status_type,status_code,status_description,service_name,ship_date,scheduled_delivery,latest_activity,latest_activity_location,latest_activity_time
1Z93129413,D,011,Delivered,UPS Ground,2026-05-20,2026-05-25,Delivered,"Los Angeles, CA, US",2026-05-25T14:07:00Z
1Z22698268,D,011,Delivered,UPS Ground,2026-05-20,2026-05-25,Delivered,"Los Angeles, CA, US",2026-05-25T14:07:00Z
1Z14822116,D,011,Delivered,UPS Ground,2026-05-20,2026-05-25,Delivered,"Los Angeles, CA, US",2026-05-25T14:07:00Z
1Z16661169,D,011,Delivered,UPS Ground,2026-05-20,2026-05-25,Delivered,"Los Angeles, CA, US",2026-05-25T14:07:00Z
1Z70808753,D,011,Delivered,UPS Ground,2026-05-20,2026-05-25,Delivered,"Los Angeles, CA, US",2026-05-25T14:07:00Z
1Z83704155,D,011,Delivered,UPS Ground,2026-05-20,2026-05-25,Delivered,"Los Angeles, CA, US",2026-05-25T14:07:00Z
1Z43799012,D,011,Delivered,UPS Ground,2026-05-20,2026-05-25,Delivered,"Los Angeles, CA, US",2026-05-25T14:07:00Z
1Z34679054,D,011,Delivered,UPS Ground,2026-05-20,2026-05-25,Delivered,"Los Angeles, CA, US",2026-05-25T14:07:00Z
1Z81065135,D,011,Delivered,UPS Ground,2026-05-20,2026-05-25,Delivered,"Los Angeles, CA, US",2026-05-25T14:07:00Z
1Z80975533,D,011,Delivered,UPS Ground,2026-05-20,2026-05-25,Delivered,"Los Angeles, CA, US",2026-05-25T14:07:00Z
1Z85712473,D,011,Delivered,UPS Ground,2026-05-20,2026-05-25,Delivered,"Los Angeles, CA, US",2026-05-25T14:07:00Z
1Z61628496,D,011,Delivered,UPS Ground,2026-05-20,2026-05-25,Delivered,"Los Angeles, CA, US",2026-05-25T14:07:00Z
1Z15486507,D,011,Delivered,UPS Ground,2026-05-20,2026-05-25,Delivered,"Los Angeles, CA, US",2026-05-25T14:07:00Z
1Z74642799,D,011,Delivered,UPS Ground,2026-05-20,2026-05-25,Delivered,"Los Angeles, CA, US",2026-05-25T14:07:00Z
1Z54709693,D,011,Delivered,UPS Ground,2026-05-20,2026-05-25,Delivered,"Los Angeles, CA, US",2026-05-25T14:07:00Z
1Z59459339,D,011,Delivered,UPS Ground,2026-05-20,2026-05-25,Delivered,"Los Angeles, CA, US",2026-05-25T14:07:00Z
1Z43899559,D,011,Delivered,UPS Ground,2026-05-20,2026-05-25,Delivered,"Los Angeles, CA, US",2026-05-25T14:07:00Z
