service_code,service_name,origin_zip,dest_zip,weight_lb,currency,total_charge,transit_days,delivery_date
03,UPS Ground,10001,90001,5.0,USD,16.20,5,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,4,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,3,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,2,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,4,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,4,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,5,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,4,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,5,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,2,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,4,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,4,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,2,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,4,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,2,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,4,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,2,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,3,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,3,2026-05-30
03,UPS Ground,10001,90001,5.0,USD,16.20,2,2026-05-30
03,UPS Ground,74104,74008,2.0,USD,40.61,1,2026-09-15
12,UPS 3 Day Select,74104,74401,3.0,USD,25.96,4,2026-01-27
01,UPS Next Day Air,74104,74008,3.2,USD,17.96,1,2026-07-17
01,UPS Next Day Air,74104,74012,6.5,USD,14.44,4,2026-03-11
01,UPS Next Day Air,74104,73003,2.3,USD,31.06,3,2026-01-26
01,UPS Next Day Air,74104,74008,1.5,USD,25.85,2,2026-06-09
03,UPS Ground,74104,74074,1.0,USD,11.17,5,2026-03-01
