tracking_number,service_code,service_name,ship_date,origin_zip,dest_zip,weight_lb,currency,total_charge,label_url
1Z93129413,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z22698268,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z14822116,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z16661169,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z70808753,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z83704155,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z43799012,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z34679054,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z81065135,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z80975533,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z85712473,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z61628496,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z15486507,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z74642799,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z54709693,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z59459339,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z43899559,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z77895164,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z85845240,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z43794601,03,UPS Ground,2026-05-20,10001,90001,5.0,USD,16.20,https://ups.example/labels/1Z999AA10123456784.gif
1Z99970000020,03,UPS Ground,2026-06-04,74104,74401,2.6,USD,9.60,https://ups.example/labels/70000020.pdf
1Z99970000021,03,UPS Ground,2026-03-03,74104,74037,1.4,USD,11.95,https://ups.example/labels/70000021.pdf
1Z99970000022,03,UPS Ground,2026-06-01,74104,74008,3.0,USD,9.57,https://ups.example/labels/70000022.pdf
1Z99970000023,03,UPS Ground,2026-04-09,74104,74401,2.8,USD,16.88,https://ups.example/labels/70000023.pdf
1Z99970000024,03,UPS Ground,2026-06-05,74104,74055,4.6,USD,10.51,https://ups.example/labels/70000024.pdf
1Z99970000025,03,UPS Ground,2026-03-01,74104,73069,3.1,USD,15.50,https://ups.example/labels/70000025.pdf
1Z99970000026,03,UPS Ground,2026-07-17,74104,74012,4.0,USD,13.34,https://ups.example/labels/70000026.pdf
1Z99970000027,03,UPS Ground,2026-03-23,74104,73069,3.6,USD,13.25,https://ups.example/labels/70000027.pdf
1Z99970000028,03,UPS Ground,2026-07-18,74104,74037,4.7,USD,11.08,https://ups.example/labels/70000028.pdf
1Z99970000029,03,UPS Ground,2026-03-21,74104,74008,3.4,USD,14.13,https://ups.example/labels/70000029.pdf
1Z99970000030,03,UPS Ground,2026-05-14,74104,74063,3.1,USD,16.41,https://ups.example/labels/70000030.pdf
1Z99970000031,03,UPS Ground,2026-08-28,74104,74401,2.0,USD,11.47,https://ups.example/labels/70000031.pdf
1Z99970000032,03,UPS Ground,2026-05-15,74104,73003,3.2,USD,10.18,https://ups.example/labels/70000032.pdf
1Z99970000033,03,UPS Ground,2026-02-27,74104,74063,1.5,USD,11.12,https://ups.example/labels/70000033.pdf
1Z99970000034,03,UPS Ground,2026-09-08,74104,74063,4.6,USD,8.91,https://ups.example/labels/70000034.pdf
1Z99970000035,03,UPS Ground,2026-08-26,74104,74008,4.7,USD,9.95,https://ups.example/labels/70000035.pdf
1Z99970000036,03,UPS Ground,2026-08-27,74104,74104,4.4,USD,8.43,https://ups.example/labels/70000036.pdf
1Z99970000037,03,UPS Ground,2026-04-10,74104,74074,2.7,USD,15.60,https://ups.example/labels/70000037.pdf
