exercise_id,date,exercise_type_id,exercise_name,duration_minutes,calories_burned,notes
1,2026-07-01,2,Running,76,760,
2,2026-07-01,6,Yard work,82,410,
3,2026-07-01,3,Walking,76,288,
4,2026-07-01,3,Walking,63,239,
5,2026-07-01,1,Hiking,72,468,
6,2026-07-01,1,Hiking,46,299,
7,2026-07-01,5,Metalwork bench (light),28,89,
8,2026-07-01,2,Running,119,1190,
9,2026-07-01,6,Yard work,26,130,
10,2026-07-01,3,Walking,70,266,
11,2026-07-01,4,Rotator cuff stretches,37,92,
12,2026-07-01,1,Hiking,49,318,
13,2026-07-01,2,Running,81,810,
14,2026-07-01,2,Running,98,980,
15,2026-07-01,1,Hiking,62,403,
16,2026-07-01,1,Hiking,83,539,
17,2026-07-01,1,Hiking,95,617,
18,2026-07-01,6,Yard work,23,115,
19,2026-07-01,3,Walking,37,140,
20,2026-07-01,5,Metalwork bench (light),115,368,
21,2026-07-01,6,Yard work,93,465,
22,2026-07-01,6,Yard work,55,275,
23,2026-07-01,1,Hiking,21,136,
24,2026-07-01,5,Metalwork bench (light),88,281,
25,2026-07-01,2,Running,86,860,
26,2026-07-01,1,Hiking,64,416,
27,2026-07-01,3,Walking,51,193,
28,2026-07-01,6,Yard work,119,595,
29,2026-07-01,3,Walking,75,285,
30,2026-07-01,5,Metalwork bench (light),60,192,
31,2026-07-01,2,Running,31,310,
32,2026-07-01,6,Yard work,52,260,
33,2026-07-01,5,Metalwork bench (light),115,368,
34,2026-07-01,1,Hiking,54,351,
35,2026-07-01,6,Yard work,96,480,
36,2026-07-01,5,Metalwork bench (light),75,240,
37,2026-07-01,6,Yard work,37,185,
38,2026-07-01,2,Running,94,940,
39,2026-07-01,3,Walking,71,269,
40,2026-07-01,5,Metalwork bench (light),77,246,
41,2026-07-01,5,Metalwork bench (light),81,259,
42,2026-07-01,1,Hiking,42,273,
43,2026-07-01,5,Metalwork bench (light),108,345,
44,2026-07-01,6,Yard work,65,325,
45,2026-07-01,1,Hiking,46,299,
46,2026-07-01,2,Running,15,150,
47,2026-07-01,4,Rotator cuff stretches,21,52,
48,2026-07-01,2,Running,69,690,
49,2026-07-01,1,Hiking,50,325,
50,2026-07-01,2,Running,18,180,
51,2026-07-01,5,Metalwork bench (light),98,313,
52,2026-07-01,5,Metalwork bench (light),102,326,
53,2026-07-01,2,Running,85,850,
54,2026-07-01,4,Rotator cuff stretches,60,150,
55,2026-07-01,3,Walking,67,254,
56,2026-07-01,4,Rotator cuff stretches,21,52,
57,2026-07-01,4,Rotator cuff stretches,80,200,
58,2026-07-01,1,Hiking,109,708,
59,2026-07-01,2,Running,93,930,
60,2026-07-01,6,Yard work,80,400,
61,2026-07-01,5,Metalwork bench (light),72,230,
62,2026-07-01,3,Walking,28,106,
63,2026-07-01,4,Rotator cuff stretches,23,57,
64,2026-07-01,6,Yard work,115,575,
65,2026-07-01,1,Hiking,71,461,
66,2026-07-01,4,Rotator cuff stretches,105,262,
67,2026-07-01,4,Rotator cuff stretches,42,105,
68,2026-07-01,1,Hiking,84,546,
69,2026-07-01,4,Rotator cuff stretches,18,45,
70,2026-07-01,5,Metalwork bench (light),38,121,
71,2026-07-01,5,Metalwork bench (light),43,137,
72,2026-07-01,5,Metalwork bench (light),17,54,
73,2026-07-01,3,Walking,58,220,
74,2026-07-01,4,Rotator cuff stretches,91,227,
75,2026-07-01,1,Hiking,108,702,
76,2026-07-01,1,Hiking,24,156,
77,2026-07-01,3,Walking,23,87,
78,2026-07-01,1,Hiking,88,572,
79,2026-07-01,5,Metalwork bench (light),64,204,
80,2026-07-01,6,Yard work,35,175,
81,2026-07-01,4,Rotator cuff stretches,48,120,
82,2026-07-01,6,Yard work,99,495,
83,2026-07-01,5,Metalwork bench (light),18,57,
84,2026-07-01,4,Rotator cuff stretches,28,70,
85,2026-07-01,1,Hiking,53,344,
86,2026-07-01,3,Walking,87,330,
87,2026-07-01,1,Hiking,16,104,
88,2026-07-01,3,Walking,59,224,
