food_id,food_name,brand,serving_size,serving_unit,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g,potassium_mg,is_verified
1,Black coffee,generic,1 cup,cup,-11,2,7,67,526,42,3,13,28,135,False
2,Two eggs,generic,2 eggs,each,188,20,5,92,741,25,1,4,5,459,False
3,Oatmeal with berries,generic,1 bowl,bowl,317,6,8,80,369,16,3,23,5,379,True
4,Chicken burrito,El Sombrero Gallup,1 burrito,each,656,18,8,187,929,62,0,3,12,78,True
5,Southwest salad,generic,1 bowl,bowl,397,20,4,93,221,37,11,5,22,492,True
6,Grilled trout,generic,6 oz,oz,325,25,6,103,27,35,3,19,41,538,False
7,Green chile stew,El Sombrero Gallup,1 bowl,bowl,499,21,4,201,575,31,9,7,31,402,True
8,Blue corn tortillas,generic,3 tortillas,each,256,11,6,4,471,31,3,23,21,214,True
9,Beef and beans,generic,1 plate,plate,534,24,4,91,169,40,8,1,31,329,False
10,Pinto beans and rice,generic,1 plate,plate,410,22,6,170,129,55,1,20,26,447,True
11,Black coffee v1,generic,1 cup,cup,24,18,3,0,826,51,9,2,19,239,True
12,Two eggs v1,generic,2 eggs,each,136,10,6,201,576,55,11,20,29,109,True
13,Oatmeal with berries v1,generic,1 bowl,bowl,311,6,2,220,185,50,8,18,34,591,True
14,Chicken burrito v1,El Sombrero Gallup,1 burrito,each,658,13,1,52,893,39,7,21,30,99,True
15,Southwest salad v1,generic,1 bowl,bowl,407,10,0,13,594,48,5,21,31,366,True
16,Grilled trout v1,generic,6 oz,oz,327,16,4,190,199,17,5,7,35,447,True
17,Green chile stew v1,El Sombrero Gallup,1 bowl,bowl,493,22,0,194,674,30,0,7,35,110,True
18,Blue corn tortillas v1,generic,3 tortillas,each,226,21,3,155,879,10,3,5,36,459,False
19,Beef and beans v1,generic,1 plate,plate,575,14,1,100,743,38,12,22,22,176,True
20,Pinto beans and rice v1,generic,1 plate,plate,425,2,1,150,149,41,4,21,32,517,False
21,Black coffee v2,generic,1 cup,cup,36,25,7,71,116,17,3,9,13,61,False
22,Two eggs v2,generic,2 eggs,each,136,14,0,36,711,41,1,9,39,326,True
23,Oatmeal with berries v2,generic,1 bowl,bowl,328,25,4,125,386,53,7,5,17,169,False
24,Chicken burrito v2,El Sombrero Gallup,1 burrito,each,642,21,6,199,391,24,11,14,33,235,False
25,Southwest salad v2,generic,1 bowl,bowl,363,17,6,28,428,57,9,16,34,408,False
26,Grilled trout v2,generic,6 oz,oz,345,25,5,133,225,27,4,22,35,348,False
27,Green chile stew v2,El Sombrero Gallup,1 bowl,bowl,505,8,6,72,235,15,12,3,7,113,True
28,Blue corn tortillas v2,generic,3 tortillas,each,258,7,4,190,792,55,11,17,31,318,False
