entry_id,date,meal,food_id,food_name,brand,serving_size,serving_unit,servings,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g
1,2026-07-01,snack,62,Two eggs v6,generic,2 eggs,each,1,176,10,7,24,324,48,4,12,28
2,2026-07-01,dinner,4,Chicken burrito,El Sombrero Gallup,1 burrito,each,1,656,18,8,187,929,62,0,3,12
3,2026-07-01,breakfast,50,Pinto beans and rice v4,generic,1 plate,plate,1,421,25,4,60,246,59,3,7,37
4,2026-07-01,lunch,64,Chicken burrito v6,El Sombrero Gallup,1 burrito,each,1,643,21,2,5,532,29,2,3,21
5,2026-07-01,snack,36,Grilled trout v3,generic,6 oz,oz,1,304,22,6,51,684,41,6,20,20
6,2026-07-01,lunch,4,Chicken burrito,El Sombrero Gallup,1 burrito,each,1,656,18,8,187,929,62,0,3,12
7,2026-07-01,lunch,5,Southwest salad,generic,1 bowl,bowl,1,397,20,4,93,221,37,11,5,22
8,2026-07-01,dinner,69,Beef and beans v6,generic,1 plate,plate,1,548,6,2,80,76,45,2,13,15
9,2026-07-01,dinner,6,Grilled trout,generic,6 oz,oz,1,325,25,6,103,27,35,3,19,41
10,2026-07-01,dinner,42,Two eggs v4,generic,2 eggs,each,1,140,3,6,16,270,19,7,9,23
11,2026-07-01,lunch,56,Grilled trout v5,generic,6 oz,oz,1,303,23,1,128,710,8,4,17,8
12,2026-07-01,lunch,12,Two eggs v1,generic,2 eggs,each,1,136,10,6,201,576,55,11,20,29
13,2026-07-01,dinner,19,Beef and beans v1,generic,1 plate,plate,1,575,14,1,100,743,38,12,22,22
14,2026-07-01,breakfast,32,Two eggs v3,generic,2 eggs,each,1,188,25,7,15,111,37,5,22,37
15,2026-07-01,snack,14,Chicken burrito v1,El Sombrero Gallup,1 burrito,each,1,658,13,1,52,893,39,7,21,30
16,2026-07-01,snack,74,Chicken burrito v7,El Sombrero Gallup,1 burrito,each,1,608,2,3,104,533,43,8,20,13
17,2026-07-01,snack,30,Pinto beans and rice v2,generic,1 plate,plate,1,400,5,8,205,137,20,10,6,41
18,2026-07-01,breakfast,29,Beef and beans v2,generic,1 plate,plate,1,577,17,0,216,82,41,9,14,30
19,2026-07-01,breakfast,64,Chicken burrito v6,El Sombrero Gallup,1 burrito,each,1,643,21,2,5,532,29,2,3,21
20,2026-07-01,lunch,38,Blue corn tortillas v3,generic,3 tortillas,each,1,258,12,3,194,470,28,0,10,38
21,2026-07-01,snack,32,Two eggs v3,generic,2 eggs,each,1,188,25,7,15,111,37,5,22,37
22,2026-07-01,lunch,47,Green chile stew v4,El Sombrero Gallup,1 bowl,bowl,1,499,23,6,172,116,44,12,21,21
23,2026-07-01,lunch,65,Southwest salad v6,generic,1 bowl,bowl,1,374,13,5,180,626,49,0,22,34
24,2026-07-01,lunch,46,Grilled trout v4,generic,6 oz,oz,1,329,15,8,60,182,42,5,21,34
25,2026-07-01,breakfast,29,Beef and beans v2,generic,1 plate,plate,1,577,17,0,216,82,41,9,14,30
26,2026-07-01,breakfast,42,Two eggs v4,generic,2 eggs,each,1,140,3,6,16,270,19,7,9,23
27,2026-07-01,snack,54,Chicken burrito v5,El Sombrero Gallup,1 burrito,each,1,619,4,4,91,248,32,8,22,41
28,2026-07-01,dinner,40,Pinto beans and rice v3,generic,1 plate,plate,1,409,25,1,191,444,37,8,20,38
29,2026-07-01,lunch,40,Pinto beans and rice v3,generic,1 plate,plate,1,409,25,1,191,444,37,8,20,38
30,2026-07-01,dinner,76,Grilled trout v7,generic,6 oz,oz,1,347,7,2,31,739,56,12,16,38
31,2026-07-01,breakfast,13,Oatmeal with berries v1,generic,1 bowl,bowl,1,311,6,2,220,185,50,8,18,34
32,2026-07-01,breakfast,88,Blue corn tortillas v8,generic,3 tortillas,each,1,254,19,2,145,901,38,3,19,13
33,2026-07-01,snack,66,Grilled trout v6,generic,6 oz,oz,1,341,10,4,3,537,59,2,12,38
34,2026-07-01,snack,51,Black coffee v5,generic,1 cup,cup,1,5,3,7,117,892,21,1,2,10
35,2026-07-01,breakfast,83,Oatmeal with berries v8,generic,1 bowl,bowl,1,304,23,8,212,164,12,11,1,40
36,2026-07-01,lunch,67,Green chile stew v6,El Sombrero Gallup,1 bowl,bowl,1,517,15,5,198,267,8,10,8,24
37,2026-07-01,breakfast,9,Beef and beans,generic,1 plate,plate,1,534,24,4,91,169,40,8,1,31
38,2026-07-01,snack,50,Pinto beans and rice v4,generic,1 plate,plate,1,421,25,4,60,246,59,3,7,37
39,2026-07-01,breakfast,36,Grilled trout v3,generic,6 oz,oz,1,304,22,6,51,684,41,6,20,20
40,2026-07-01,dinner,71,Black coffee v7,generic,1 cup,cup,1,-13,25,0,106,131,39,8,7,32
41,2026-07-01,dinner,57,Green chile stew v5,El Sombrero Gallup,1 bowl,bowl,1,504,16,2,118,548,41,6,23,16
42,2026-07-01,dinner,85,Southwest salad v8,generic,1 bowl,bowl,1,392,14,5,26,34,39,6,4,37
43,2026-07-01,snack,77,Green chile stew v7,El Sombrero Gallup,1 bowl,bowl,1,460,19,3,47,207,35,4,23,19
44,2026-07-01,dinner,45,Southwest salad v4,generic,1 bowl,bowl,1,374,15,0,44,754,47,5,19,15
45,2026-07-01,lunch,85,Southwest salad v8,generic,1 bowl,bowl,1,392,14,5,26,34,39,6,4,37
46,2026-07-01,snack,79,Beef and beans v7,generic,1 plate,plate,1,570,6,5,127,659,38,8,1,12
47,2026-07-01,snack,43,Oatmeal with berries v4,generic,1 bowl,bowl,1,327,6,3,140,89,22,11,13,35
48,2026-07-01,lunch,89,Beef and beans v8,generic,1 plate,plate,1,550,7,1,66,687,54,3,16,7
49,2026-07-01,breakfast,66,Grilled trout v6,generic,6 oz,oz,1,341,10,4,3,537,59,2,12,38
50,2026-07-01,lunch,2,Two eggs,generic,2 eggs,each,1,188,20,5,92,741,25,1,4,5
51,2026-07-01,dinner,88,Blue corn tortillas v8,generic,3 tortillas,each,1,254,19,2,145,901,38,3,19,13
52,2026-07-01,breakfast,84,Chicken burrito v8,El Sombrero Gallup,1 burrito,each,1,652,11,8,55,196,62,6,23,9
53,2026-07-01,dinner,75,Southwest salad v7,generic,1 bowl,bowl,1,402,14,4,128,843,54,5,18,22
54,2026-07-01,dinner,51,Black coffee v5,generic,1 cup,cup,1,5,3,7,117,892,21,1,2,10
55,2026-07-01,lunch,9,Beef and beans,generic,1 plate,plate,1,534,24,4,91,169,40,8,1,31
56,2026-07-01,lunch,28,Blue corn tortillas v2,generic,3 tortillas,each,1,258,7,4,190,792,55,11,17,31
57,2026-07-01,dinner,59,Beef and beans v5,generic,1 plate,plate,1,544,9,0,202,560,47,7,12,8
58,2026-07-01,snack,52,Two eggs v5,generic,2 eggs,each,1,175,2,1,165,123,10,6,24,26
59,2026-07-01,snack,65,Southwest salad v6,generic,1 bowl,bowl,1,374,13,5,180,626,49,0,22,34
60,2026-07-01,snack,54,Chicken burrito v5,El Sombrero Gallup,1 burrito,each,1,619,4,4,91,248,32,8,22,41
61,2026-07-01,breakfast,57,Green chile stew v5,El Sombrero Gallup,1 bowl,bowl,1,504,16,2,118,548,41,6,23,16
62,2026-07-01,snack,11,Black coffee v1,generic,1 cup,cup,1,24,18,3,0,826,51,9,2,19
63,2026-07-01,snack,9,Beef and beans,generic,1 plate,plate,1,534,24,4,91,169,40,8,1,31
64,2026-07-01,dinner,8,Blue corn tortillas,generic,3 tortillas,each,1,256,11,6,4,471,31,3,23,21
65,2026-07-01,breakfast,61,Black coffee v6,generic,1 cup,cup,1,-12,6,5,37,126,42,4,1,32
66,2026-07-01,snack,67,Green chile stew v6,El Sombrero Gallup,1 bowl,bowl,1,517,15,5,198,267,8,10,8,24
67,2026-07-01,breakfast,6,Grilled trout,generic,6 oz,oz,1,325,25,6,103,27,35,3,19,41
68,2026-07-01,breakfast,5,Southwest salad,generic,1 bowl,bowl,1,397,20,4,93,221,37,11,5,22
69,2026-07-01,breakfast,66,Grilled trout v6,generic,6 oz,oz,1,341,10,4,3,537,59,2,12,38
70,2026-07-01,breakfast,3,Oatmeal with berries,generic,1 bowl,bowl,1,317,6,8,80,369,16,3,23,5
71,2026-07-01,breakfast,11,Black coffee v1,generic,1 cup,cup,1,24,18,3,0,826,51,9,2,19
72,2026-07-01,snack,77,Green chile stew v7,El Sombrero Gallup,1 bowl,bowl,1,460,19,3,47,207,35,4,23,19
73,2026-07-01,breakfast,46,Grilled trout v4,generic,6 oz,oz,1,329,15,8,60,182,42,5,21,34
74,2026-07-01,breakfast,18,Blue corn tortillas v1,generic,3 tortillas,each,1,226,21,3,155,879,10,3,5,36
75,2026-07-01,dinner,15,Southwest salad v1,generic,1 bowl,bowl,1,407,10,0,13,594,48,5,21,31
76,2026-07-01,breakfast,78,Blue corn tortillas v7,generic,3 tortillas,each,1,267,13,3,0,109,19,12,10,28
77,2026-07-01,lunch,11,Black coffee v1,generic,1 cup,cup,1,24,18,3,0,826,51,9,2,19
78,2026-07-01,dinner,81,Black coffee v8,generic,1 cup,cup,1,25,24,7,2,541,20,4,16,32
79,2026-07-01,dinner,40,Pinto beans and rice v3,generic,1 plate,plate,1,409,25,1,191,444,37,8,20,38
80,2026-07-01,breakfast,17,Green chile stew v1,El Sombrero Gallup,1 bowl,bowl,1,493,22,0,194,674,30,0,7,35
81,2026-07-01,snack,19,Beef and beans v1,generic,1 plate,plate,1,575,14,1,100,743,38,12,22,22
82,2026-07-01,lunch,39,Beef and beans v3,generic,1 plate,plate,1,560,3,0,39,537,27,12,19,18
83,2026-07-01,snack,50,Pinto beans and rice v4,generic,1 plate,plate,1,421,25,4,60,246,59,3,7,37
84,2026-07-01,lunch,3,Oatmeal with berries,generic,1 bowl,bowl,1,317,6,8,80,369,16,3,23,5
85,2026-07-01,breakfast,39,Beef and beans v3,generic,1 plate,plate,1,560,3,0,39,537,27,12,19,18
86,2026-07-01,dinner,10,Pinto beans and rice,generic,1 plate,plate,1,410,22,6,170,129,55,1,20,26
87,2026-07-01,snack,47,Green chile stew v4,El Sombrero Gallup,1 bowl,bowl,1,499,23,6,172,116,44,12,21,21
88,2026-07-01,snack,32,Two eggs v3,generic,2 eggs,each,1,188,25,7,15,111,37,5,22,37
89,2026-07-01,breakfast,56,Grilled trout v5,generic,6 oz,oz,1,303,23,1,128,710,8,4,17,8
90,2026-07-01,lunch,66,Grilled trout v6,generic,6 oz,oz,1,341,10,4,3,537,59,2,12,38
91,2026-07-01,lunch,7,Green chile stew,El Sombrero Gallup,1 bowl,bowl,1,499,21,4,201,575,31,9,7,31
92,2026-07-01,snack,40,Pinto beans and rice v3,generic,1 plate,plate,1,409,25,1,191,444,37,8,20,38
