exercise_type_id,exercise_name,category,calories_per_minute_low,calories_per_minute_high,met_value
1,Hiking,cardio,6.0,9.5,6.5
2,Running,cardio,8.0,14.0,10.0
3,Walking,cardio,3.0,5.5,3.8
4,Rotator cuff stretches,flexibility,2.5,3.5,2.5
5,Metalwork bench (light),activity,3.0,4.0,3.2
6,Yard work,activity,4.0,6.5,5.0
7,Activity 6,activity,3.0,5.0,3.5
8,Activity 7,activity,3.0,5.0,3.5
9,Activity 8,activity,3.0,5.0,3.5
10,Activity 9,activity,3.0,5.0,3.5
11,Activity 10,activity,3.0,5.0,3.5
12,Activity 11,activity,3.0,5.0,3.5
13,Activity 12,activity,3.0,5.0,3.5
14,Activity 13,activity,3.0,5.0,3.5
15,Activity 14,activity,3.0,5.0,3.5
16,Activity 15,activity,3.0,5.0,3.5
17,Activity 16,activity,3.0,5.0,3.5
18,Activity 17,activity,3.0,5.0,3.5
19,Activity 18,activity,3.0,5.0,3.5
20,Activity 19,activity,3.0,5.0,3.5
21,Activity 20,activity,3.0,5.0,3.5
22,Activity 21,activity,3.0,5.0,3.5
23,Activity 22,activity,3.0,5.0,3.5
24,Activity 23,activity,3.0,5.0,3.5
25,Activity 24,activity,3.0,5.0,3.5
26,Activity 25,activity,3.0,5.0,3.5
27,Activity 26,activity,3.0,5.0,3.5
28,Activity 27,activity,3.0,5.0,3.5
29,Activity 28,activity,3.0,5.0,3.5
30,Activity 29,activity,3.0,5.0,3.5
31,Activity 30,activity,3.0,5.0,3.5
32,Activity 31,activity,3.0,5.0,3.5
33,Activity 32,activity,3.0,5.0,3.5
34,Activity 33,activity,3.0,5.0,3.5
35,Activity 34,activity,3.0,5.0,3.5
36,Activity 35,activity,3.0,5.0,3.5
37,Activity 36,activity,3.0,5.0,3.5
38,Activity 37,activity,3.0,5.0,3.5
39,Activity 38,activity,3.0,5.0,3.5
40,Activity 39,activity,3.0,5.0,3.5
41,Activity 40,activity,3.0,5.0,3.5
42,Activity 41,activity,3.0,5.0,3.5
43,Activity 42,activity,3.0,5.0,3.5
44,Activity 43,activity,3.0,5.0,3.5
45,Activity 44,activity,3.0,5.0,3.5
46,Activity 45,activity,3.0,5.0,3.5
47,Activity 46,activity,3.0,5.0,3.5
48,Activity 47,activity,3.0,5.0,3.5
49,Activity 48,activity,3.0,5.0,3.5
50,Activity 49,activity,3.0,5.0,3.5
51,Activity 50,activity,3.0,5.0,3.5
52,Activity 51,activity,3.0,5.0,3.5
53,Activity 52,activity,3.0,5.0,3.5
54,Activity 53,activity,3.0,5.0,3.5
55,Activity 54,activity,3.0,5.0,3.5
56,Activity 55,activity,3.0,5.0,3.5
57,Activity 56,activity,3.0,5.0,3.5
58,Activity 57,activity,3.0,5.0,3.5
59,Activity 58,activity,3.0,5.0,3.5
60,Activity 59,activity,3.0,5.0,3.5
61,Activity 60,activity,3.0,5.0,3.5
62,Activity 61,activity,3.0,5.0,3.5
63,Activity 62,activity,3.0,5.0,3.5
64,Activity 63,activity,3.0,5.0,3.5
65,Activity 64,activity,3.0,5.0,3.5
66,Activity 65,activity,3.0,5.0,3.5
67,Activity 66,activity,3.0,5.0,3.5
68,Activity 67,activity,3.0,5.0,3.5
69,Activity 68,activity,3.0,5.0,3.5
70,Activity 69,activity,3.0,5.0,3.5
71,Activity 70,activity,3.0,5.0,3.5
72,Activity 71,activity,3.0,5.0,3.5
73,Activity 72,activity,3.0,5.0,3.5
74,Activity 73,activity,3.0,5.0,3.5
75,Activity 74,activity,3.0,5.0,3.5
76,Activity 75,activity,3.0,5.0,3.5
77,Activity 76,activity,3.0,5.0,3.5
78,Activity 77,activity,3.0,5.0,3.5
79,Activity 78,activity,3.0,5.0,3.5
80,Activity 79,activity,3.0,5.0,3.5
81,Activity 80,activity,3.0,5.0,3.5
82,Activity 81,activity,3.0,5.0,3.5
