album_id,name,artist_id,album_type,release_date,total_tracks,label
alb-01,Down Every Road,art-01,compilation,1996-05-14,100,Capitol Nashville
alb-02,Wrecking Ball,art-02,album,1995-09-26,12,Asylum Records
sp-alb-0300,Classic Cuts Vol.1,sp-art-0200,album,1980-01-01,10,MCA
sp-alb-0301,Greatest Hits Vol.2,sp-art-0201,album,1981-02-01,11,RCA
sp-alb-0302,Live at the Ryman Vol.3,sp-art-0202,album,1982-03-01,12,Columbia
sp-alb-0303,Best Of Vol.4,sp-art-0203,album,1983-04-01,13,Capitol
sp-alb-0304,Late Sessions Vol.1,sp-art-0204,album,1984-05-01,14,Warner
sp-alb-0305,Farewell Concert Vol.2,sp-art-0205,album,1985-06-01,15,MCA
sp-alb-0306,Classic Cuts Vol.3,sp-art-0206,album,1986-07-01,10,RCA
sp-alb-0307,Greatest Hits Vol.4,sp-art-0207,album,1987-08-01,11,Columbia
sp-alb-0308,Live at the Ryman Vol.1,sp-art-0208,album,1988-09-01,12,Capitol
sp-alb-0309,Best Of Vol.2,sp-art-0209,album,1989-10-01,13,Warner
sp-alb-0310,Late Sessions Vol.3,sp-art-0210,album,1990-11-01,14,MCA
sp-alb-0311,Farewell Concert Vol.4,sp-art-0211,album,1991-12-01,15,RCA
sp-alb-0312,Classic Cuts Vol.1,sp-art-0212,album,1992-01-01,10,Columbia
sp-alb-0313,Greatest Hits Vol.2,sp-art-0213,album,1993-02-01,11,Capitol
sp-alb-0314,Live at the Ryman Vol.3,sp-art-0214,album,1994-03-01,12,Warner
sp-alb-0315,Best Of Vol.4,sp-art-0215,album,1995-04-01,13,MCA
sp-alb-0316,Late Sessions Vol.1,sp-art-0200,album,1996-05-01,14,RCA
sp-alb-0317,Farewell Concert Vol.2,sp-art-0201,album,1997-06-01,15,Columbia
sp-alb-0318,Classic Cuts Vol.3,sp-art-0202,album,1998-07-01,10,Capitol
sp-alb-0319,Greatest Hits Vol.4,sp-art-0203,album,1999-08-01,11,Warner
sp-alb-0320,Live at the Ryman Vol.1,sp-art-0204,album,2000-09-01,12,MCA
sp-alb-0321,Best Of Vol.2,sp-art-0205,album,2001-10-01,13,RCA
sp-alb-0322,Late Sessions Vol.3,sp-art-0206,album,2002-11-01,14,Columbia
sp-alb-0323,Farewell Concert Vol.4,sp-art-0207,album,2003-12-01,15,Capitol
sp-alb-0324,Classic Cuts Vol.1,sp-art-0208,album,2004-01-01,10,Warner
sp-alb-0325,Greatest Hits Vol.2,sp-art-0209,album,2005-02-01,11,MCA
sp-alb-0326,Live at the Ryman Vol.3,sp-art-0210,album,2006-03-01,12,RCA
sp-alb-0327,Best Of Vol.4,sp-art-0211,album,2007-04-01,13,Columbia
sp-alb-0328,Late Sessions Vol.1,sp-art-0212,album,2008-05-01,14,Capitol
sp-alb-0329,Farewell Concert Vol.2,sp-art-0213,album,2009-06-01,15,Warner
