SKU	Description	Vendor	On Hand	Reorder Point	Unit Cost USD	Reorder Now
BRK-PAD-FR-STD	Front Brake Pad Set, ceramic	Firdale Parts	42	12	28.50	no
BRK-PAD-RR-STD	Rear Brake Pad Set, ceramic	Firdale Parts	31	10	26.00	no
BRK-ROT-FR-11	Front Rotor 11.6in (pair)	Firdale Parts	16	6	70.00	no
OIL-FLT-A	Oil Filter, spin-on A	Firdale Parts	64	20	4.25	no
OIL-5W30-QT	Synthetic 5W-30, quart	Firdale Parts	58	24	5.10	no
AIR-FLT-STD	Engine Air Filter, standard	Firdale Parts	27	12	9.40	no
WIP-BLD-22	Wiper Blade 22in	Firdale Parts	33	15	7.80	no
BAT-H6	Battery Group H6, 760CCA	Firdale Parts	9	4	118.00	no
SPK-PLG-IR	Iridium Spark Plug	Firdale Parts	80	30	6.60	no
BRK-FLD-DOT3	Brake Fluid DOT 3, 32oz	Firdale Parts	22	8	6.00	no
