id,name,domain,industry,city,state,numberofemployees,annualrevenue,createdate
hc-00000,Company 0,company0.example.com,Education,Toronto,ON,288,1898982,2025-01-01
hc-00001,Company 1,company1.example.com,Education,Toronto,ON,171,2960911,2025-01-02
hc-00002,Company 2,company2.example.com,Education,Toronto,ON,129,4333215,2025-01-03
hc-00003,Company 3,company3.example.com,Retail,Toronto,ON,429,1330363,2025-01-04
hc-00004,Company 4,company4.example.com,Services,Toronto,ON,194,5182098,2025-01-05
hc-00005,Company 5,company5.example.com,Education,Toronto,ON,135,6849529,2025-01-06
hc-00006,Company 6,company6.example.com,Education,Toronto,ON,110,6749361,2025-01-07
hc-00007,Company 7,company7.example.com,Retail,Toronto,ON,267,4296839,2025-01-08
hc-00008,Company 8,company8.example.com,Retail,Toronto,ON,101,5188755,2025-01-09
hc-00009,Company 9,company9.example.com,Retail,Toronto,ON,357,6090216,2025-01-10
hc-00010,Company 10,company10.example.com,Retail,Toronto,ON,162,3817602,2025-01-11
hc-00011,Company 11,company11.example.com,Retail,Toronto,ON,84,280385,2025-01-12
hc-00012,Company 12,company12.example.com,Education,Toronto,ON,263,8676514,2025-01-13
hc-00013,Company 13,company13.example.com,Services,Toronto,ON,271,4013892,2025-01-14
hc-00014,Company 14,company14.example.com,Nonprofit,Toronto,ON,127,2034643,2025-01-15
hc-00015,Company 15,company15.example.com,Retail,Toronto,ON,333,6573853,2025-01-16
hc-00016,Company 16,company16.example.com,Education,Toronto,ON,324,7064804,2025-01-17
hc-00017,Company 17,company17.example.com,Retail,Toronto,ON,270,2188579,2025-01-18
hc-00018,Company 18,company18.example.com,Education,Toronto,ON,320,4336069,2025-01-19
hc-00019,Company 19,company19.example.com,Education,Toronto,ON,11,6604218,2025-01-20
hc-00020,Company 20,company20.example.com,Education,Toronto,ON,156,6418020,2025-01-21
hc-00021,Company 21,company21.example.com,Services,Toronto,ON,368,6745415,2025-01-22
hc-00022,Company 22,company22.example.com,Education,Toronto,ON,330,452700,2025-01-23
hc-00023,Company 23,company23.example.com,Education,Toronto,ON,46,1285876,2025-01-24
hc-00024,Company 24,company24.example.com,Nonprofit,Toronto,ON,434,6594045,2025-01-25
hc-00025,Company 25,company25.example.com,Education,Toronto,ON,21,7312371,2025-01-26
hc-00026,Company 26,company26.example.com,Nonprofit,Toronto,ON,462,2666481,2025-01-27
hc-00027,Company 27,company27.example.com,Education,Toronto,ON,287,3292015,2025-01-28
hc-00028,Company 28,company28.example.com,Services,Toronto,ON,432,2359310,2025-01-29
hc-00029,Company 29,company29.example.com,Nonprofit,Toronto,ON,453,2702751,2025-01-30
hc-00030,Company 30,company30.example.com,Retail,Toronto,ON,246,1426033,2025-01-31
hc-00031,Company 31,company31.example.com,Education,Toronto,ON,337,3704957,2025-02-01
hc-00032,Company 32,company32.example.com,Retail,Toronto,ON,215,3206173,2025-02-02
hc-00033,Company 33,company33.example.com,Education,Toronto,ON,328,1854871,2025-02-03
hc-00034,Company 34,company34.example.com,Nonprofit,Toronto,ON,130,7258581,2025-02-04
hc-00035,Company 35,company35.example.com,Services,Toronto,ON,259,736388,2025-02-05
hc-00036,Company 36,company36.example.com,Services,Toronto,ON,98,7915346,2025-02-06
hc-00037,Company 37,company37.example.com,Services,Toronto,ON,409,3426046,2025-02-07
hc-00038,Company 38,company38.example.com,Nonprofit,Toronto,ON,367,3455984,2025-02-08
hc-00039,Company 39,company39.example.com,Education,Toronto,ON,367,1379521,2025-02-09
hc-00040,Company 40,company40.example.com,Services,Toronto,ON,345,2692484,2025-02-10
hc-00041,Company 41,company41.example.com,Retail,Toronto,ON,322,206370,2025-02-11
hc-00042,Company 42,company42.example.com,Nonprofit,Toronto,ON,252,5005170,2025-02-12
hc-00043,Company 43,company43.example.com,Services,Toronto,ON,475,6097927,2025-02-13
hc-00044,Company 44,company44.example.com,Education,Toronto,ON,268,4021509,2025-02-14
hc-00045,Company 45,company45.example.com,Retail,Toronto,ON,60,5765379,2025-02-15
hc-00046,Company 46,company46.example.com,Education,Toronto,ON,319,5775942,2025-02-16
hc-00047,Company 47,company47.example.com,Education,Toronto,ON,311,4324374,2025-02-17
hc-00048,Company 48,company48.example.com,Education,Toronto,ON,9,2172654,2025-02-18
hc-00049,Company 49,company49.example.com,Nonprofit,Toronto,ON,186,1376062,2025-02-19
hc-00050,Company 50,company50.example.com,Retail,Toronto,ON,335,8568148,2025-02-20
hc-00051,Company 51,company51.example.com,Education,Toronto,ON,9,8702259,2025-02-21
hc-00052,Company 52,company52.example.com,Services,Toronto,ON,151,2874823,2025-02-22
hc-00053,Company 53,company53.example.com,Retail,Toronto,ON,186,4737386,2025-02-23
hc-00054,Company 54,company54.example.com,Nonprofit,Toronto,ON,218,6192093,2025-02-24
hc-00055,Company 55,company55.example.com,Education,Toronto,ON,17,800666,2025-02-25
hc-00056,Company 56,company56.example.com,Retail,Toronto,ON,269,7928941,2025-02-26
hc-00057,Company 57,company57.example.com,Education,Toronto,ON,288,8124387,2025-02-27
hc-00058,Company 58,company58.example.com,Services,Toronto,ON,263,235421,2025-02-28
hc-00059,Company 59,company59.example.com,Nonprofit,Toronto,ON,62,8462526,2025-03-01
hc-00060,Company 60,company60.example.com,Nonprofit,Toronto,ON,473,3943782,2025-03-02
hc-00061,Company 61,company61.example.com,Services,Toronto,ON,266,6704424,2025-03-03
hc-00062,Company 62,company62.example.com,Education,Toronto,ON,274,6210793,2025-03-04
hc-00063,Company 63,company63.example.com,Education,Toronto,ON,493,7834509,2025-03-05
hc-00064,Company 64,company64.example.com,Nonprofit,Toronto,ON,358,3446059,2025-03-06
hc-00065,Company 65,company65.example.com,Services,Toronto,ON,421,3783426,2025-03-07
hc-00066,Company 66,company66.example.com,Nonprofit,Toronto,ON,43,8356456,2025-03-08
hc-00067,Company 67,company67.example.com,Education,Toronto,ON,198,318345,2025-03-09
hc-00068,Company 68,company68.example.com,Nonprofit,Toronto,ON,341,8726981,2025-03-10
hc-00069,Company 69,company69.example.com,Services,Toronto,ON,157,1452488,2025-03-11
hc-00070,Company 70,company70.example.com,Services,Toronto,ON,222,2362556,2025-03-12
hc-00071,Company 71,company71.example.com,Nonprofit,Toronto,ON,385,6788249,2025-03-13
hc-00072,Company 72,company72.example.com,Services,Toronto,ON,55,5253987,2025-03-14
hc-00073,Company 73,company73.example.com,Nonprofit,Toronto,ON,281,4154095,2025-03-15
hc-00074,Company 74,company74.example.com,Nonprofit,Toronto,ON,416,1866232,2025-03-16
hc-00075,Company 75,company75.example.com,Education,Toronto,ON,231,3784393,2025-03-17
hc-00076,Company 76,company76.example.com,Education,Toronto,ON,414,5023735,2025-03-18
hc-00077,Company 77,company77.example.com,Services,Toronto,ON,287,741216,2025-03-19
hc-00078,Company 78,company78.example.com,Retail,Toronto,ON,436,386510,2025-03-20
hc-00079,Company 79,company79.example.com,Education,Toronto,ON,354,3698520,2025-03-21
hc-00080,Company 80,company80.example.com,Retail,Toronto,ON,71,5711761,2025-03-22
hc-00081,Company 81,company81.example.com,Nonprofit,Toronto,ON,201,4885024,2025-03-23
hc-00082,Company 82,company82.example.com,Services,Toronto,ON,110,7424473,2025-03-24
hc-00083,Company 83,company83.example.com,Retail,Toronto,ON,394,4957723,2025-03-25
hc-00084,Company 84,company84.example.com,Retail,Toronto,ON,42,4375966,2025-03-26
hc-00085,Company 85,company85.example.com,Retail,Toronto,ON,170,2829765,2025-03-27
hc-00086,Company 86,company86.example.com,Retail,Toronto,ON,397,8946269,2025-03-28
hc-00087,Company 87,company87.example.com,Nonprofit,Toronto,ON,266,8201695,2025-03-29
hc-00088,Company 88,company88.example.com,Nonprofit,Toronto,ON,227,2869992,2025-03-30
hc-00089,Company 89,company89.example.com,Nonprofit,Toronto,ON,121,8457931,2025-03-31
