Date	Activity	Distance_mi	Duration	Avg_pace	Avg_HR	Max_HR	Notes
2026-01-05	Easy run	6.02	48:10	8:00	139	152	Crestwood South loop
2026-01-06	Rest	0	0	-	-	-	Strength at clinic gym
2026-01-07	Tempo	6.40	47:30	7:25	158	171	6 x 1k
2026-01-08	Easy run	6.05	49:05	8:07	137	149	
2026-01-09	Easy run	4.01	32:40	8:08	135	146	Shakeout
2026-01-10	Long run	10.10	1:22:15	8:09	142	156	Saturday anchor
2026-01-11	Rest	0	0	-	-	-	Church and Sunday dinner
2026-01-12	Easy run	5.00	40:20	8:04	138	150	
2026-01-14	Easy run	6.00	48:30	8:05	140	153	
2026-01-17	Long run	11.02	1:29:40	8:08	143	158	Felt smooth

# Exported from Apple Health and Strava. Device: Apple Watch Series 9. Resting HR 48 bpm.
