id,page_id,name,prefix
lbl-001,cf-anagama-current,kiln,global
lbl-002,cf-kiln-protocol,safety,global
lbl-003,cf-safety,loan,global
lbl-004,cf-museum-loan,museum,global
lbl-005,cf-rota-01,collective,global
lbl-006,cf-rota-02,reduction,global
lbl-007,cf-rota-03,schedule,global
lbl-008,cf-rota-04,anagama,global
lbl-009,cf-rota-05,kiln,global
lbl-010,cf-rota-06,safety,global
lbl-011,cf-rota-07,loan,global
lbl-012,cf-rota-08,museum,global
lbl-013,cf-rota-09,collective,global
lbl-014,cf-rota-10,reduction,global
lbl-015,cf-rota-11,schedule,global
