id,name,type,messages_total,messages_unread,threads_total,threads_unread
Label_001,INBOX,system,420,38,156,12
Label_002,SENT,system,1820,0,612,0
Label_003,DRAFT,system,5,0,5,0
Label_004,TRASH,system,88,0,32,0
Label_005,SPAM,system,12,0,8,0
Label_006,STARRED,system,42,0,21,0
Label_007,IMPORTANT,system,110,14,48,5
Label_008,Tangerine_Fall,user,62,4,18,2
Label_009,Oatly_Q4,user,41,6,12,3
Label_010,SaltPress_Cookbook,user,54,9,16,4
Label_011,Praxa_Cohort,user,23,8,8,4
Label_012,Tax_2026,user,18,2,9,1
