Date	Stage	Task	Hours	Parts Cost USD	Source	Notes
2024-06-09	Teardown	Strip interior and remove trim	6.0	0	shop	Catalogued every fastener
2024-07-14	Teardown	Pull 454 big block for rebuild	8.5	0	shop	Engine stand in back bay
2024-09-22	Bodywork	Media blast quarter panels	5.0	220	Frank Hardware	Surface rust on driver side
2024-11-03	Bodywork	Patch panel weld driver floor	9.0	185	online	Fit checked twice
2025-01-19	Engine	Machine block and hone cylinders	0.0	640	machine shop	Dropped off, two week turn
2025-02-23	Engine	Reassemble short block	7.5	930	Firdale Parts	New pistons and bearings
2025-04-13	Engine	Install heads and intake	6.0	410	Firdale Parts	Torqued to spec
2025-10-26	Brakes	Front disc conversion kit	4.5	520	online	Better stopping for cruise
2025-12-07	Electrical	New harness and gauges	6.5	380	online	Labelled every circuit
2026-01-25	Paint	Final prep and primer	8.0	260	paint supply	Color is original blue
2026-02-15	Paint	Base and clear driver side	0.0	0	body shop	Booth time booked
2026-10-18	Assembly	Reinstall glass and chrome	5.0	290	online	Target for fall cruise season
