item	category	qty	unit_price	source	purine_note
Cod fillets	fish	2	8.40	the market	low, white fish is fine
Brown rice	grain	1 bag	3.20	the grocery	low
Pearl barley	grain	1 box	2.80	the grocery	low
Carrots	produce	2 lb	1.90	farmers market	low
Parsnips	produce	1 lb	2.40	farmers market	low
Sweet potato	produce	3	2.10	the grocery	low
Mixed salad greens	produce	1 box	3.50	the grocery	low
Low sodium vegetable stock	pantry	2	2.60	the grocery	avoid bouillon cubes
Eggs	protein	1 dozen	3.40	farmers market	moderate, fine in limit
Olive oil	pantry	1	9.80	the grocery	low
Lemons	produce	4	0.60	the grocery	low
Red wine, one bottle	other	1	12.00	wine shop	occasional glass only
