exercise_type_id,exercise_name,category,calories_per_minute_low,calories_per_minute_high,met_value
g43qitai,g43qitai,g43qitai,g43qitai,g43qitai,g43qitai
cbeps6m8,cbeps6m8,cbeps6m8,cbeps6m8,cbeps6m8,cbeps6m8
i5383buk,i5383buk,i5383buk,i5383buk,i5383buk,i5383buk
3je5t4a8,3je5t4a8,3je5t4a8,3je5t4a8,3je5t4a8,3je5t4a8
1lzkfk2j,1lzkfk2j,1lzkfk2j,1lzkfk2j,1lzkfk2j,1lzkfk2j
syqwq1zm,syqwq1zm,syqwq1zm,syqwq1zm,syqwq1zm,syqwq1zm
ju47bq9k,ju47bq9k,ju47bq9k,ju47bq9k,ju47bq9k,ju47bq9k
s8wxisjk,s8wxisjk,s8wxisjk,s8wxisjk,s8wxisjk,s8wxisjk
kns0jj1q,kns0jj1q,kns0jj1q,kns0jj1q,kns0jj1q,kns0jj1q
87apan6u,87apan6u,87apan6u,87apan6u,87apan6u,87apan6u
x1okni2q,x1okni2q,x1okni2q,x1okni2q,x1okni2q,x1okni2q
wzbt2v9w,wzbt2v9w,wzbt2v9w,wzbt2v9w,wzbt2v9w,wzbt2v9w
us7ly8tr,us7ly8tr,us7ly8tr,us7ly8tr,us7ly8tr,us7ly8tr
1jvs2io4,1jvs2io4,1jvs2io4,1jvs2io4,1jvs2io4,1jvs2io4
lgsedboq,lgsedboq,lgsedboq,lgsedboq,lgsedboq,lgsedboq
eeftaj5j,eeftaj5j,eeftaj5j,eeftaj5j,eeftaj5j,eeftaj5j
wkhi3lc5,wkhi3lc5,wkhi3lc5,wkhi3lc5,wkhi3lc5,wkhi3lc5
dsgvsfso,dsgvsfso,dsgvsfso,dsgvsfso,dsgvsfso,dsgvsfso
qqceylgg,qqceylgg,qqceylgg,qqceylgg,qqceylgg,qqceylgg
41rfefe4,41rfefe4,41rfefe4,41rfefe4,41rfefe4,41rfefe4
4hyayxr9,4hyayxr9,4hyayxr9,4hyayxr9,4hyayxr9,4hyayxr9
5md31g88,5md31g88,5md31g88,5md31g88,5md31g88,5md31g88
zb2fn8lk,zb2fn8lk,zb2fn8lk,zb2fn8lk,zb2fn8lk,zb2fn8lk
m83waeu6,m83waeu6,m83waeu6,m83waeu6,m83waeu6,m83waeu6
n6m8ti5v,n6m8ti5v,n6m8ti5v,n6m8ti5v,n6m8ti5v,n6m8ti5v
wfxb52ot,wfxb52ot,wfxb52ot,wfxb52ot,wfxb52ot,wfxb52ot
bfzdr4wq,bfzdr4wq,bfzdr4wq,bfzdr4wq,bfzdr4wq,bfzdr4wq
nvis3o9s,nvis3o9s,nvis3o9s,nvis3o9s,nvis3o9s,nvis3o9s
qx5vghz2,qx5vghz2,qx5vghz2,qx5vghz2,qx5vghz2,qx5vghz2
ofmn264s,ofmn264s,ofmn264s,ofmn264s,ofmn264s,ofmn264s
g5mhelyv,g5mhelyv,g5mhelyv,g5mhelyv,g5mhelyv,g5mhelyv
qu9t7lyq,qu9t7lyq,qu9t7lyq,qu9t7lyq,qu9t7lyq,qu9t7lyq
yz0jzo91,yz0jzo91,yz0jzo91,yz0jzo91,yz0jzo91,yz0jzo91
ebquspg8,ebquspg8,ebquspg8,ebquspg8,ebquspg8,ebquspg8
vpa9ktdt,vpa9ktdt,vpa9ktdt,vpa9ktdt,vpa9ktdt,vpa9ktdt
1d5o7xqv,1d5o7xqv,1d5o7xqv,1d5o7xqv,1d5o7xqv,1d5o7xqv
qvao6kss,qvao6kss,qvao6kss,qvao6kss,qvao6kss,qvao6kss
hi2cl8v6,hi2cl8v6,hi2cl8v6,hi2cl8v6,hi2cl8v6,hi2cl8v6
307b9pbt,307b9pbt,307b9pbt,307b9pbt,307b9pbt,307b9pbt
dc7x4p82,dc7x4p82,dc7x4p82,dc7x4p82,dc7x4p82,dc7x4p82
bnvz9h1o,bnvz9h1o,bnvz9h1o,bnvz9h1o,bnvz9h1o,bnvz9h1o
kiybv731,kiybv731,kiybv731,kiybv731,kiybv731,kiybv731
izunntg3,izunntg3,izunntg3,izunntg3,izunntg3,izunntg3
tjvddcwb,tjvddcwb,tjvddcwb,tjvddcwb,tjvddcwb,tjvddcwb
btajdebh,btajdebh,btajdebh,btajdebh,btajdebh,btajdebh
