food_id,food_name,brand,serving_size,serving_unit,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g,potassium_mg,is_verified
1,37xn6tqq,37xn6tqq,37xn6tqq,37xn6tqq,37xn6tqq,37xn6tqq,37xn6tqq,37xn6tqq,37xn6tqq,37xn6tqq,37xn6tqq,37xn6tqq,37xn6tqq,37xn6tqq,37xn6tqq
klcuvkeu,klcuvkeu,klcuvkeu,klcuvkeu,klcuvkeu,klcuvkeu,klcuvkeu,klcuvkeu,klcuvkeu,klcuvkeu,klcuvkeu,klcuvkeu,klcuvkeu,klcuvkeu,klcuvkeu,klcuvkeu
l9tfkj9a,l9tfkj9a,l9tfkj9a,l9tfkj9a,l9tfkj9a,l9tfkj9a,l9tfkj9a,l9tfkj9a,l9tfkj9a,l9tfkj9a,l9tfkj9a,l9tfkj9a,l9tfkj9a,l9tfkj9a,l9tfkj9a,l9tfkj9a
7s06k7v8,7s06k7v8,7s06k7v8,7s06k7v8,7s06k7v8,7s06k7v8,7s06k7v8,7s06k7v8,7s06k7v8,7s06k7v8,7s06k7v8,7s06k7v8,7s06k7v8,7s06k7v8,7s06k7v8,7s06k7v8
2csk5dm5,2csk5dm5,2csk5dm5,2csk5dm5,2csk5dm5,2csk5dm5,2csk5dm5,2csk5dm5,2csk5dm5,2csk5dm5,2csk5dm5,2csk5dm5,2csk5dm5,2csk5dm5,2csk5dm5,2csk5dm5
6mxvhzaf,6mxvhzaf,6mxvhzaf,6mxvhzaf,6mxvhzaf,6mxvhzaf,6mxvhzaf,6mxvhzaf,6mxvhzaf,6mxvhzaf,6mxvhzaf,6mxvhzaf,6mxvhzaf,6mxvhzaf,6mxvhzaf,6mxvhzaf
dposucuw,dposucuw,dposucuw,dposucuw,dposucuw,dposucuw,dposucuw,dposucuw,dposucuw,dposucuw,dposucuw,dposucuw,dposucuw,dposucuw,dposucuw,dposucuw
abqq834v,abqq834v,abqq834v,abqq834v,abqq834v,abqq834v,abqq834v,abqq834v,abqq834v,abqq834v,abqq834v,abqq834v,abqq834v,abqq834v,abqq834v,abqq834v
6ai7nshy,6ai7nshy,6ai7nshy,6ai7nshy,6ai7nshy,6ai7nshy,6ai7nshy,6ai7nshy,6ai7nshy,6ai7nshy,6ai7nshy,6ai7nshy,6ai7nshy,6ai7nshy,6ai7nshy,6ai7nshy
c6r1hwv2,c6r1hwv2,c6r1hwv2,c6r1hwv2,c6r1hwv2,c6r1hwv2,c6r1hwv2,c6r1hwv2,c6r1hwv2,c6r1hwv2,c6r1hwv2,c6r1hwv2,c6r1hwv2,c6r1hwv2,c6r1hwv2,c6r1hwv2
