water_id,date,cups,notes
5a61syj4,5a61syj4,5a61syj4,5a61syj4
fxeqjfzw,fxeqjfzw,fxeqjfzw,fxeqjfzw
6ystegen,6ystegen,6ystegen,6ystegen
2511fyev,2511fyev,2511fyev,2511fyev
hw6e0xvb,hw6e0xvb,hw6e0xvb,hw6e0xvb
n65ra0vz,n65ra0vz,n65ra0vz,n65ra0vz
j2m3o29h,j2m3o29h,j2m3o29h,j2m3o29h
gx1ells8,gx1ells8,gx1ells8,gx1ells8
2200h1l3,2200h1l3,2200h1l3,2200h1l3
61a1a9bb,61a1a9bb,61a1a9bb,61a1a9bb
n6o8alyz,n6o8alyz,n6o8alyz,n6o8alyz
rzx1wbz3,rzx1wbz3,rzx1wbz3,rzx1wbz3
hyr06g7q,hyr06g7q,hyr06g7q,hyr06g7q
yl17i5lj,yl17i5lj,yl17i5lj,yl17i5lj
e9naus78,e9naus78,e9naus78,e9naus78
i33yup4i,i33yup4i,i33yup4i,i33yup4i
8b2otffc,8b2otffc,8b2otffc,8b2otffc
glvwux3o,glvwux3o,glvwux3o,glvwux3o
hyb04pdr,hyb04pdr,hyb04pdr,hyb04pdr
jroh8sfp,jroh8sfp,jroh8sfp,jroh8sfp
bi7c7032,bi7c7032,bi7c7032,bi7c7032
1ugvqfhq,1ugvqfhq,1ugvqfhq,1ugvqfhq
ahilq4qx,ahilq4qx,ahilq4qx,ahilq4qx
e1zxrnj7,e1zxrnj7,e1zxrnj7,e1zxrnj7
76xthjo9,76xthjo9,76xthjo9,76xthjo9
69fs1gdq,69fs1gdq,69fs1gdq,69fs1gdq
atasihhg,atasihhg,atasihhg,atasihhg
58bmmaeb,58bmmaeb,58bmmaeb,58bmmaeb
6wxpvsr1,6wxpvsr1,6wxpvsr1,6wxpvsr1
9warmcnq,9warmcnq,9warmcnq,9warmcnq
ixxo0fmt,ixxo0fmt,ixxo0fmt,ixxo0fmt
1ea4jyal,1ea4jyal,1ea4jyal,1ea4jyal
nm5okrdf,nm5okrdf,nm5okrdf,nm5okrdf
ep2009yn,ep2009yn,ep2009yn,ep2009yn
d9vfwjiu,d9vfwjiu,d9vfwjiu,d9vfwjiu
xt1xvr28,xt1xvr28,xt1xvr28,xt1xvr28
5fz1zli5,5fz1zli5,5fz1zli5,5fz1zli5
kvago5uc,kvago5uc,kvago5uc,kvago5uc
wv01yciy,wv01yciy,wv01yciy,wv01yciy
xny7fnuv,xny7fnuv,xny7fnuv,xny7fnuv
6dcieruv,6dcieruv,6dcieruv,6dcieruv
ultmlg3h,ultmlg3h,ultmlg3h,ultmlg3h
gk7daxrd,gk7daxrd,gk7daxrd,gk7daxrd
yxbu41vy,yxbu41vy,yxbu41vy,yxbu41vy
w2xdke30,w2xdke30,w2xdke30,w2xdke30
y1hyhe8t,y1hyhe8t,y1hyhe8t,y1hyhe8t
2nbudfdk,2nbudfdk,2nbudfdk,2nbudfdk
82ivi6gg,82ivi6gg,82ivi6gg,82ivi6gg
okcw9bh4,okcw9bh4,okcw9bh4,okcw9bh4
3fj4ad74,3fj4ad74,3fj4ad74,3fj4ad74
3ki99ba0,3ki99ba0,3ki99ba0,3ki99ba0
bvu6xzk4,bvu6xzk4,bvu6xzk4,bvu6xzk4
y0u9nxsm,y0u9nxsm,y0u9nxsm,y0u9nxsm
