exercise_id,date,exercise_type_id,exercise_name,duration_minutes,calories_burned,notes
1uxt2yq3,1uxt2yq3,1uxt2yq3,1uxt2yq3,1uxt2yq3,1uxt2yq3,1uxt2yq3
nkke9p6l,nkke9p6l,nkke9p6l,nkke9p6l,nkke9p6l,nkke9p6l,nkke9p6l
rah4yjg0,rah4yjg0,rah4yjg0,rah4yjg0,rah4yjg0,rah4yjg0,rah4yjg0
qmsee150,qmsee150,qmsee150,qmsee150,qmsee150,qmsee150,qmsee150
b44d24bs,b44d24bs,b44d24bs,b44d24bs,b44d24bs,b44d24bs,b44d24bs
vm3047vj,vm3047vj,vm3047vj,vm3047vj,vm3047vj,vm3047vj,vm3047vj
72qippyf,72qippyf,72qippyf,72qippyf,72qippyf,72qippyf,72qippyf
dceu6b9t,dceu6b9t,dceu6b9t,dceu6b9t,dceu6b9t,dceu6b9t,dceu6b9t
xnrvioxc,xnrvioxc,xnrvioxc,xnrvioxc,xnrvioxc,xnrvioxc,xnrvioxc
fpwmoad0,fpwmoad0,fpwmoad0,fpwmoad0,fpwmoad0,fpwmoad0,fpwmoad0
3jvc3qsn,3jvc3qsn,3jvc3qsn,3jvc3qsn,3jvc3qsn,3jvc3qsn,3jvc3qsn
jzz3ij2p,jzz3ij2p,jzz3ij2p,jzz3ij2p,jzz3ij2p,jzz3ij2p,jzz3ij2p
j642yaus,j642yaus,j642yaus,j642yaus,j642yaus,j642yaus,j642yaus
bp0xveld,bp0xveld,bp0xveld,bp0xveld,bp0xveld,bp0xveld,bp0xveld
vg18g1h4,vg18g1h4,vg18g1h4,vg18g1h4,vg18g1h4,vg18g1h4,vg18g1h4
i2oz87n4,i2oz87n4,i2oz87n4,i2oz87n4,i2oz87n4,i2oz87n4,i2oz87n4
rnytuipb,rnytuipb,rnytuipb,rnytuipb,rnytuipb,rnytuipb,rnytuipb
dneqkbj8,dneqkbj8,dneqkbj8,dneqkbj8,dneqkbj8,dneqkbj8,dneqkbj8
4uu1iwkw,4uu1iwkw,4uu1iwkw,4uu1iwkw,4uu1iwkw,4uu1iwkw,4uu1iwkw
0yomvjrn,0yomvjrn,0yomvjrn,0yomvjrn,0yomvjrn,0yomvjrn,0yomvjrn
ogiotn5j,ogiotn5j,ogiotn5j,ogiotn5j,ogiotn5j,ogiotn5j,ogiotn5j
wji622so,wji622so,wji622so,wji622so,wji622so,wji622so,wji622so
xdpqqvih,xdpqqvih,xdpqqvih,xdpqqvih,xdpqqvih,xdpqqvih,xdpqqvih
hyzxutox,hyzxutox,hyzxutox,hyzxutox,hyzxutox,hyzxutox,hyzxutox
c4icajav,c4icajav,c4icajav,c4icajav,c4icajav,c4icajav,c4icajav
3a4chq92,3a4chq92,3a4chq92,3a4chq92,3a4chq92,3a4chq92,3a4chq92
5678xy3p,5678xy3p,5678xy3p,5678xy3p,5678xy3p,5678xy3p,5678xy3p
lxmcqj7s,lxmcqj7s,lxmcqj7s,lxmcqj7s,lxmcqj7s,lxmcqj7s,lxmcqj7s
iuidzhds,iuidzhds,iuidzhds,iuidzhds,iuidzhds,iuidzhds,iuidzhds
tdddh0nh,tdddh0nh,tdddh0nh,tdddh0nh,tdddh0nh,tdddh0nh,tdddh0nh
v7cs8hok,v7cs8hok,v7cs8hok,v7cs8hok,v7cs8hok,v7cs8hok,v7cs8hok
