entry_id,date,meal,food_id,food_name,brand,serving_size,serving_unit,servings,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g
ukpbgyza,ukpbgyza,ukpbgyza,ukpbgyza,ukpbgyza,ukpbgyza,ukpbgyza,ukpbgyza,ukpbgyza,ukpbgyza,ukpbgyza,ukpbgyza,ukpbgyza,ukpbgyza,ukpbgyza,ukpbgyza,ukpbgyza,ukpbgyza
7nmmelcd,7nmmelcd,7nmmelcd,7nmmelcd,7nmmelcd,7nmmelcd,7nmmelcd,7nmmelcd,7nmmelcd,7nmmelcd,7nmmelcd,7nmmelcd,7nmmelcd,7nmmelcd,7nmmelcd,7nmmelcd,7nmmelcd,7nmmelcd
yu2uj8t6,yu2uj8t6,yu2uj8t6,yu2uj8t6,yu2uj8t6,yu2uj8t6,yu2uj8t6,yu2uj8t6,yu2uj8t6,yu2uj8t6,yu2uj8t6,yu2uj8t6,yu2uj8t6,yu2uj8t6,yu2uj8t6,yu2uj8t6,yu2uj8t6,yu2uj8t6
qs19gmup,qs19gmup,qs19gmup,qs19gmup,qs19gmup,qs19gmup,qs19gmup,qs19gmup,qs19gmup,qs19gmup,qs19gmup,qs19gmup,qs19gmup,qs19gmup,qs19gmup,qs19gmup,qs19gmup,qs19gmup
sniabe8g,sniabe8g,sniabe8g,sniabe8g,sniabe8g,sniabe8g,sniabe8g,sniabe8g,sniabe8g,sniabe8g,sniabe8g,sniabe8g,sniabe8g,sniabe8g,sniabe8g,sniabe8g,sniabe8g,sniabe8g
noyx5w4u,noyx5w4u,noyx5w4u,noyx5w4u,noyx5w4u,noyx5w4u,noyx5w4u,noyx5w4u,noyx5w4u,noyx5w4u,noyx5w4u,noyx5w4u,noyx5w4u,noyx5w4u,noyx5w4u,noyx5w4u,noyx5w4u,noyx5w4u
962ccq4a,962ccq4a,962ccq4a,962ccq4a,962ccq4a,962ccq4a,962ccq4a,962ccq4a,962ccq4a,962ccq4a,962ccq4a,962ccq4a,962ccq4a,962ccq4a,962ccq4a,962ccq4a,962ccq4a,962ccq4a
lvbdue4n,lvbdue4n,lvbdue4n,lvbdue4n,lvbdue4n,lvbdue4n,lvbdue4n,lvbdue4n,lvbdue4n,lvbdue4n,lvbdue4n,lvbdue4n,lvbdue4n,lvbdue4n,lvbdue4n,lvbdue4n,lvbdue4n,lvbdue4n
ej4d0jwz,ej4d0jwz,ej4d0jwz,ej4d0jwz,ej4d0jwz,ej4d0jwz,ej4d0jwz,ej4d0jwz,ej4d0jwz,ej4d0jwz,ej4d0jwz,ej4d0jwz,ej4d0jwz,ej4d0jwz,ej4d0jwz,ej4d0jwz,ej4d0jwz,ej4d0jwz
szo6ud05,szo6ud05,szo6ud05,szo6ud05,szo6ud05,szo6ud05,szo6ud05,szo6ud05,szo6ud05,szo6ud05,szo6ud05,szo6ud05,szo6ud05,szo6ud05,szo6ud05,szo6ud05,szo6ud05,szo6ud05
8jetw1sy,8jetw1sy,8jetw1sy,8jetw1sy,8jetw1sy,8jetw1sy,8jetw1sy,8jetw1sy,8jetw1sy,8jetw1sy,8jetw1sy,8jetw1sy,8jetw1sy,8jetw1sy,8jetw1sy,8jetw1sy,8jetw1sy,8jetw1sy
yfsvq935,yfsvq935,yfsvq935,yfsvq935,yfsvq935,yfsvq935,yfsvq935,yfsvq935,yfsvq935,yfsvq935,yfsvq935,yfsvq935,yfsvq935,yfsvq935,yfsvq935,yfsvq935,yfsvq935,yfsvq935
3fb27fse,3fb27fse,3fb27fse,3fb27fse,3fb27fse,3fb27fse,3fb27fse,3fb27fse,3fb27fse,3fb27fse,3fb27fse,3fb27fse,3fb27fse,3fb27fse,3fb27fse,3fb27fse,3fb27fse,3fb27fse
sk4aqyg3,sk4aqyg3,sk4aqyg3,sk4aqyg3,sk4aqyg3,sk4aqyg3,sk4aqyg3,sk4aqyg3,sk4aqyg3,sk4aqyg3,sk4aqyg3,sk4aqyg3,sk4aqyg3,sk4aqyg3,sk4aqyg3,sk4aqyg3,sk4aqyg3,sk4aqyg3
tvbeqxje,tvbeqxje,tvbeqxje,tvbeqxje,tvbeqxje,tvbeqxje,tvbeqxje,tvbeqxje,tvbeqxje,tvbeqxje,tvbeqxje,tvbeqxje,tvbeqxje,tvbeqxje,tvbeqxje,tvbeqxje,tvbeqxje,tvbeqxje
fq2bmx1s,fq2bmx1s,fq2bmx1s,fq2bmx1s,fq2bmx1s,fq2bmx1s,fq2bmx1s,fq2bmx1s,fq2bmx1s,fq2bmx1s,fq2bmx1s,fq2bmx1s,fq2bmx1s,fq2bmx1s,fq2bmx1s,fq2bmx1s,fq2bmx1s,fq2bmx1s
ic0fow4b,ic0fow4b,ic0fow4b,ic0fow4b,ic0fow4b,ic0fow4b,ic0fow4b,ic0fow4b,ic0fow4b,ic0fow4b,ic0fow4b,ic0fow4b,ic0fow4b,ic0fow4b,ic0fow4b,ic0fow4b,ic0fow4b,ic0fow4b
ko9pl1xm,ko9pl1xm,ko9pl1xm,ko9pl1xm,ko9pl1xm,ko9pl1xm,ko9pl1xm,ko9pl1xm,ko9pl1xm,ko9pl1xm,ko9pl1xm,ko9pl1xm,ko9pl1xm,ko9pl1xm,ko9pl1xm,ko9pl1xm,ko9pl1xm,ko9pl1xm
