city_id,dt,dt_txt,temp,feels_like,temp_min,temp_max,pressure,humidity,weather_id,weather_main,weather_description,weather_icon,wind_speed,wind_deg,clouds,pop
2911315,1813665600,2027-06-15 12:00:00,16.0,15.0,14.0,18.0,1016,70,800,Clear,clear sky,01d,4.0,250,10,0.05
2911315,1813752000,2027-06-16 12:00:00,16.0,15.0,14.0,18.0,1016,70,800,Clouds,few clouds,01d,4.0,250,10,0.15
2911315,1813838400,2027-06-17 12:00:00,16.0,15.0,14.0,18.0,1016,70,800,Clouds,scattered clouds,01d,4.0,250,10,0.20
2911315,1813924800,2027-06-24 12:00:00,16.0,15.0,14.0,18.0,1016,70,800,Rain,moderate rain,01d,4.0,250,10,0.80
2911315,1814011200,2027-06-25 12:00:00,16.0,15.0,14.0,18.0,1016,70,800,Rain,heavy rain,01d,4.0,250,10,0.85
1005,1005,iris-6,1005.0,1005.0,266,213,1005,1005,1005,ember-6,violet bravo cedar note 6,ember-6,528,1005,1005,1005.0
1006,1006,summit-7,1006.0,1006.0,211,82,1006,1006,1006,orbit-7,frost zephyr umber note 7,coral-7,678,1006,1006,1006.0
1007,1007,ember-8,1007.0,1007.0,849,37,1007,1007,1007,zephyr-8,umber delta frost note 8,bravo-8,258,1007,1007,1007.0
1008,1008,orbit-9,1008.0,1008.0,103,654,1008,1008,1008,willow-9,iris quartz bravo note 9,jade-9,895,1008,1008,1008.0
1009,1009,cedar-10,1009.0,1009.0,713,706,1009,1009,1009,cedar-10,iris kelp bravo note 10,ember-10,636,1009,1009,1009.0
1010,1010,alpha-11,1010.0,1010.0,896,165,1010,1010,1010,bravo-11,grove kelp haze note 11,cedar-11,110,1010,1010,1010.0
1011,1011,coral-12,1011.0,1011.0,632,451,1011,1011,1011,violet-12,zephyr haze zephyr note 12,harbor-12,619,1011,1011,1011.0
1012,1012,kelp-13,1012.0,1012.0,131,350,1012,1012,1012,summit-13,harbor orbit bravo note 13,haze-13,661,1012,1012,1012.0
1013,1013,cedar-14,1013.0,1013.0,490,422,1013,1013,1013,pine-14,zephyr frost orbit note 14,river-14,453,1013,1013,1013.0
1014,1014,ember-15,1014.0,1014.0,138,336,1014,1014,1014,jade-15,haze delta kelp note 15,quartz-15,681,1014,1014,1014.0
1015,1015,delta-16,1015.0,1015.0,57,104,1015,1015,1015,iris-16,willow tidal pine note 16,zephyr-16,150,1015,1015,1015.0
1016,1016,umber-17,1016.0,1016.0,821,334,1016,1016,1016,kelp-17,ember coral cedar note 17,bravo-17,389,1016,1016,1016.0
1017,1017,alpha-18,1017.0,1017.0,527,449,1017,1017,1017,alpha-18,summit harbor pine note 18,coral-18,734,1017,1017,1017.0
1018,1018,jade-19,1018.0,1018.0,322,450,1018,1018,1018,iris-19,umber violet pine note 19,haze-19,6,1018,1018,1018.0
1019,1019,iris-20,1019.0,1019.0,682,60,1019,1019,1019,coral-20,river delta delta note 20,bravo-20,390,1019,1019,1019.0
1020,1020,willow-21,1020.0,1020.0,369,351,1020,1020,1020,violet-21,willow bravo grove note 21,delta-21,122,1020,1020,1020.0
1021,1021,cedar-22,1021.0,1021.0,289,738,1021,1021,1021,alpha-22,kelp coral ember note 22,quartz-22,271,1021,1021,1021.0
1022,1022,umber-23,1022.0,1022.0,247,42,1022,1022,1022,tidal-23,frost willow orbit note 23,coral-23,578,1022,1022,1022.0
1023,1023,frost-24,1023.0,1023.0,587,343,1023,1023,1023,harbor-24,alpha bravo cedar note 24,harbor-24,171,1023,1023,1023.0
1024,1024,harbor-25,1024.0,1024.0,761,494,1024,1024,1024,harbor-25,iris alpha grove note 25,umber-25,453,1024,1024,1024.0
1025,1025,alpha-26,1025.0,1025.0,157,691,1025,1025,1025,harbor-26,willow alpha delta note 26,river-26,347,1025,1025,1025.0
1026,1026,harbor-27,1026.0,1026.0,327,352,1026,1026,1026,iris-27,frost umber jade note 27,haze-27,788,1026,1026,1026.0
1027,1027,summit-28,1027.0,1027.0,440,172,1027,1027,1027,umber-28,kelp alpha kelp note 28,tidal-28,555,1027,1027,1027.0
1028,1028,jade-29,1028.0,1028.0,26,67,1028,1028,1028,zephyr-29,ember ember zephyr note 29,grove-29,485,1028,1028,1028.0
1029,1029,pine-30,1029.0,1029.0,398,5,1029,1029,1029,kelp-30,kelp jade grove note 30,ember-30,378,1029,1029,1029.0
1030,1030,kelp-31,1030.0,1030.0,833,886,1030,1030,1030,grove-31,river kelp iris note 31,bravo-31,879,1030,1030,1030.0
1031,1031,iris-32,1031.0,1031.0,303,749,1031,1031,1031,kelp-32,violet pine quartz note 32,quartz-32,348,1031,1031,1031.0
1032,1032,willow-33,1032.0,1032.0,832,10,1032,1032,1032,bravo-33,coral tidal zephyr note 33,iris-33,21,1032,1032,1032.0
1033,1033,willow-34,1033.0,1033.0,388,19,1033,1033,1033,umber-34,quartz zephyr iris note 34,quartz-34,803,1033,1033,1033.0
1034,1034,coral-35,1034.0,1034.0,839,402,1034,1034,1034,violet-35,delta grove meadow note 35,quartz-35,405,1034,1034,1034.0
1035,1035,umber-36,1035.0,1035.0,5,490,1035,1035,1035,coral-36,pine river summit note 36,tidal-36,871,1035,1035,1035.0
1036,1036,alpha-37,1036.0,1036.0,695,726,1036,1036,1036,haze-37,jade river iris note 37,harbor-37,647,1036,1036,1036.0
1037,1037,coral-38,1037.0,1037.0,593,240,1037,1037,1037,delta-38,frost harbor coral note 38,pine-38,476,1037,1037,1037.0
1038,1038,pine-39,1038.0,1038.0,3,529,1038,1038,1038,willow-39,alpha summit zephyr note 39,kelp-39,418,1038,1038,1038.0
1039,1039,orbit-40,1039.0,1039.0,387,763,1039,1039,1039,violet-40,river frost river note 40,umber-40,433,1039,1039,1039.0
1040,1040,quartz-41,1040.0,1040.0,839,268,1040,1040,1040,summit-41,haze haze frost note 41,meadow-41,5,1040,1040,1040.0
1041,1041,ember-42,1041.0,1041.0,283,860,1041,1041,1041,kelp-42,orbit tidal zephyr note 42,grove-42,94,1041,1041,1041.0
1042,1042,summit-43,1042.0,1042.0,87,460,1042,1042,1042,haze-43,summit meadow coral note 43,quartz-43,659,1042,1042,1042.0
1043,1043,quartz-44,1043.0,1043.0,49,631,1043,1043,1043,ember-44,alpha quartz orbit note 44,alpha-44,654,1043,1043,1043.0
1044,1044,river-45,1044.0,1044.0,57,760,1044,1044,1044,orbit-45,alpha quartz zephyr note 45,ember-45,144,1044,1044,1044.0
1045,1045,frost-46,1045.0,1045.0,764,737,1045,1045,1045,iris-46,violet violet orbit note 46,willow-46,171,1045,1045,1045.0
1046,1046,pine-47,1046.0,1046.0,443,101,1046,1046,1046,haze-47,bravo haze summit note 47,zephyr-47,189,1046,1046,1046.0
1047,1047,delta-48,1047.0,1047.0,468,620,1047,1047,1047,orbit-48,frost willow cedar note 48,violet-48,408,1047,1047,1047.0
1048,1048,iris-49,1048.0,1048.0,164,107,1048,1048,1048,orbit-49,ember kelp tidal note 49,river-49,315,1048,1048,1048.0
1049,1049,river-50,1049.0,1049.0,630,715,1049,1049,1049,cedar-50,summit cedar harbor note 50,meadow-50,814,1049,1049,1049.0
1050,1050,haze-51,1050.0,1050.0,382,560,1050,1050,1050,meadow-51,meadow iris coral note 51,umber-51,361,1050,1050,1050.0
1051,1051,bravo-52,1051.0,1051.0,683,583,1051,1051,1051,summit-52,harbor bravo bravo note 52,quartz-52,511,1051,1051,1051.0
1052,1052,delta-53,1052.0,1052.0,362,533,1052,1052,1052,iris-53,alpha harbor harbor note 53,frost-53,539,1052,1052,1052.0
1053,1053,haze-54,1053.0,1053.0,893,203,1053,1053,1053,summit-54,summit pine orbit note 54,zephyr-54,469,1053,1053,1053.0
1054,1054,orbit-55,1054.0,1054.0,680,863,1054,1054,1054,haze-55,kelp willow pine note 55,pine-55,89,1054,1054,1054.0
1055,1055,frost-56,1055.0,1055.0,877,544,1055,1055,1055,haze-56,iris ember pine note 56,grove-56,352,1055,1055,1055.0
1056,1056,alpha-57,1056.0,1056.0,462,436,1056,1056,1056,quartz-57,delta zephyr delta note 57,grove-57,170,1056,1056,1056.0
1057,1057,tidal-58,1057.0,1057.0,605,397,1057,1057,1057,delta-58,alpha harbor cedar note 58,cedar-58,199,1057,1057,1057.0
1058,1058,cedar-59,1058.0,1058.0,580,770,1058,1058,1058,quartz-59,violet umber coral note 59,pine-59,131,1058,1058,1058.0
1059,1059,river-60,1059.0,1059.0,127,246,1059,1059,1059,willow-60,delta tidal jade note 60,willow-60,218,1059,1059,1059.0
1060,1060,cedar-61,1060.0,1060.0,584,445,1060,1060,1060,summit-61,harbor frost cedar note 61,coral-61,378,1060,1060,1060.0
1061,1061,umber-62,1061.0,1061.0,891,497,1061,1061,1061,tidal-62,kelp tidal umber note 62,pine-62,642,1061,1061,1061.0
1062,1062,jade-63,1062.0,1062.0,448,328,1062,1062,1062,iris-63,bravo summit kelp note 63,summit-63,485,1062,1062,1062.0
