city_id,weather_id,weather_main,weather_description,weather_icon,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,visibility,dt
2911315,801,Clouds,few clouds,02d,12.5,11.0,11.0,14.0,1015,78,5.2,270,20,10000,1762066800
1001,1001,haze-2,haze ember river note 2,tidal-2,1001.0,1001.0,723,517,1001,1001,856,1001,1001,1001,1001
1002,1002,orbit-3,cedar haze summit note 3,kelp-3,1002.0,1002.0,822,53,1002,1002,514,1002,1002,1002,1002
1003,1003,willow-4,jade jade haze note 4,frost-4,1003.0,1003.0,35,323,1003,1003,38,1003,1003,1003,1003
1004,1004,violet-5,kelp willow harbor note 5,quartz-5,1004.0,1004.0,316,582,1004,1004,89,1004,1004,1004,1004
1005,1005,umber-6,tidal willow alpha note 6,grove-6,1005.0,1005.0,478,104,1005,1005,241,1005,1005,1005,1005
1006,1006,pine-7,tidal alpha willow note 7,meadow-7,1006.0,1006.0,307,801,1006,1006,374,1006,1006,1006,1006
1007,1007,alpha-8,orbit ember coral note 8,haze-8,1007.0,1007.0,580,805,1007,1007,11,1007,1007,1007,1007
1008,1008,bravo-9,haze tidal tidal note 9,harbor-9,1008.0,1008.0,624,740,1008,1008,86,1008,1008,1008,1008
1009,1009,river-10,quartz coral river note 10,zephyr-10,1009.0,1009.0,499,728,1009,1009,244,1009,1009,1009,1009
1010,1010,kelp-11,willow willow coral note 11,delta-11,1010.0,1010.0,616,18,1010,1010,489,1010,1010,1010,1010
1011,1011,ember-12,frost iris delta note 12,haze-12,1011.0,1011.0,129,564,1011,1011,581,1011,1011,1011,1011
1012,1012,harbor-13,ember orbit haze note 13,alpha-13,1012.0,1012.0,248,563,1012,1012,76,1012,1012,1012,1012
1013,1013,tidal-14,meadow kelp grove note 14,willow-14,1013.0,1013.0,477,855,1013,1013,133,1013,1013,1013,1013
1014,1014,tidal-15,jade pine zephyr note 15,violet-15,1014.0,1014.0,226,864,1014,1014,676,1014,1014,1014,1014
1015,1015,iris-16,pine cedar iris note 16,coral-16,1015.0,1015.0,87,746,1015,1015,130,1015,1015,1015,1015
1016,1016,orbit-17,orbit tidal haze note 17,violet-17,1016.0,1016.0,103,560,1016,1016,516,1016,1016,1016,1016
1017,1017,tidal-18,grove meadow bravo note 18,frost-18,1017.0,1017.0,177,247,1017,1017,160,1017,1017,1017,1017
1018,1018,jade-19,orbit willow coral note 19,zephyr-19,1018.0,1018.0,14,644,1018,1018,828,1018,1018,1018,1018
1019,1019,umber-20,umber meadow delta note 20,alpha-20,1019.0,1019.0,412,458,1019,1019,750,1019,1019,1019,1019
1020,1020,bravo-21,cedar pine grove note 21,grove-21,1020.0,1020.0,361,6,1020,1020,491,1020,1020,1020,1020
1021,1021,haze-22,tidal haze frost note 22,river-22,1021.0,1021.0,220,716,1021,1021,403,1021,1021,1021,1021
