Session_ID	Date	Provider	Session_Title	Type	Credit_Hours	Running_Total	APC_Category
CPE-2025-001	Jan 11 2025	Association of Professional Chaplains	Ethics in End-of-Life Care	Webinar	1.5	1.5	Ethics
CPE-2025-002	Jan 25 2025	Bluff City Medical Center	Trauma-Informed Spiritual Care for ICU Families	In-Service	2.0	3.5	Clinical Practice
CPE-2025-003	Feb 8 2025	Tennessee Association of Chaplains	Chaplaincy and Palliative Care Team Integration	Workshop	2.0	5.5	Interprofessional
CPE-2025-004	Feb 22 2025	APC Pre-Conference Workshop	Cultural Humility in Chaplaincy Practice	Half-Day Workshop	3.0	8.5	Diversity and Inclusion
CPE-2025-005	Mar 15 2025	Memphis Divinity School	Theological Reflection and Narrative Medicine	Seminar	2.0	10.5	Theological Reflection
CPE-2025-006	Apr 12 2025	Bluff City Medical Center	Grief Support for Pediatric Families	In-Service	1.5	12.0	Clinical Practice
CPE-2025-007	May 3 2025	Association of Professional Chaplains	Documentation Best Practices in Pastoral Care	Online Module	1.0	13.0	Professional Practice
CPE-2025-008	May 17 2025	Mid-South Chaplaincy Network	Evidence-Based Chaplaincy Research	Seminar	2.0	15.0	Research
CPE-2025-009	Jun 7 2025	APC Webinar Series	Spiritual Distress Assessment Tools: FICA and SRS	Webinar	1.5	16.5	Assessment
CPE-2025-010	Jun 28 2025	Bluff City Medical Center	Moral Distress Among Clinical Staff: Chaplaincy Response	Interdisciplinary Training	2.0	18.5	Interprofessional
CPE-2025-011	Aug 9 2025	Tennessee Chaplaincy Summit	Chaplaincy in Community and Faith Settings	Conference	2.0	20.5	Professional Development
CPE-2025-012	Sep 20 2025	Association of Professional Chaplains	Supervision and Mentoring CPE Residents	Online Course	2.0	22.5	Supervision
CPE-2025-013	Oct 11 2025	Bluff City Medical Center	Neonatal Loss and Bereaved Parent Support	In-Service	1.5	24.0	Clinical Practice
CPE-2025-014	Nov 8 2025	Memphis Interfaith Council	Interfaith Chaplaincy Practice	Workshop	2.0	26.0	Diversity and Inclusion
CPE-2025-015	Jan 17 2026	APC Webinar Series	Chaplaincy and Social Determinants of Health	Webinar	1.0	27.0	Health Equity
CPE-2025-016	Feb 14 2026	Bluff City Medical Center	End-of-Year CPE Resident Group Supervision	Supervision	1.0	28.0	Supervision
