id,order_id,status,amount_value,currency_code,final_capture,create_time
CAP_86419A366A6DE0F6,ORDER-83547070160338429,COMPLETED,351.32,USD,true,2025-12-12T00:00:00Z
CAP_0940FC0B5D0C3749,ORDER-57434293133108632,COMPLETED,305.04,USD,true,2025-12-07T00:00:00Z
CAP_B80DD1C2E509D9FA,ORDER-30470192747436669,COMPLETED,388.49,USD,true,2025-12-02T00:00:00Z
CAP_BBF0AEFC0A627D8F,ORDER-66178548238884185,COMPLETED,405.99,USD,true,2025-11-23T00:00:00Z
CAP_000ABFAB3703871D,ORDER-44779244902402815,COMPLETED,401.14,USD,true,2025-11-18T00:00:00Z
CAP_A2DFA42C226121EB,ORDER-55889052777944860,COMPLETED,370.03,USD,true,2025-11-13T00:00:00Z
CAP_A452246B16711623,ORDER-36705415949158763,COMPLETED,363.74,USD,true,2025-11-03T00:00:00Z
CAP_DF1114BD7A863EDF,ORDER-71116311010958664,COMPLETED,73.15,USD,true,2025-10-28T00:00:00Z
CAP_9FC465D614270085,ORDER-39926257329027288,COMPLETED,255.41,USD,true,2026-08-23T00:00:00Z
CAP_645ED02D2EA1B225,ORDER-95046109610724320,COMPLETED,367.44,USD,true,2026-05-07T00:00:00Z
CAP_8770B600706F7F85,ORDER-55473679935314544,COMPLETED,236.50,USD,true,2026-08-16T00:00:00Z
CAP_C63A0C15FE4A621F,ORDER-84590143936029712,COMPLETED,98.50,USD,true,2026-04-06T00:00:00Z
CAP_7BB2E9E1FC4B97BF,ORDER-14009526005950534,COMPLETED,75.40,USD,true,2026-08-06T00:00:00Z
CAP_13DD504AB93CE592,ORDER-36473672714304952,COMPLETED,231.27,USD,true,2026-08-10T00:00:00Z
CAP_88120BDB2369F1C8,ORDER-06116509626673772,COMPLETED,145.41,USD,true,2026-08-13T00:00:00Z
CAP_DE188BA1F8C8CA62,ORDER-30328144380044260,COMPLETED,155.61,USD,true,2026-08-25T00:00:00Z
CAP_F4EB3C73382B2424,ORDER-28414331436350164,COMPLETED,209.01,USD,true,2026-03-09T00:00:00Z
CAP_B452704C5EA14906,ORDER-01575155463803166,COMPLETED,446.68,USD,true,2026-07-12T00:00:00Z
CAP_3EA0B67069D36DAF,ORDER-50725218863564184,COMPLETED,284.83,USD,true,2026-05-25T00:00:00Z
CAP_EAC9D69D61623DF9,ORDER-92225048827112208,COMPLETED,385.74,USD,true,2026-06-06T00:00:00Z
CAP_A8A80A4C1BBB6EC9,ORDER-92649115013260912,COMPLETED,116.35,USD,true,2026-06-11T00:00:00Z
CAP_62455EF5B83202E8,ORDER-85478188090714720,COMPLETED,200.10,USD,true,2026-09-20T00:00:00Z
CAP_16032BB7A593DB4E,ORDER-21881252583992320,COMPLETED,387.03,USD,true,2026-03-26T00:00:00Z
CAP_DD902D6E9532B255,ORDER-23683135455326708,COMPLETED,264.36,USD,true,2026-06-27T00:00:00Z
CAP_19BF873533AEB1FC,ORDER-05921221387535902,COMPLETED,107.82,USD,true,2026-06-13T00:00:00Z
CAP_21FD9714C46866EE,ORDER-55577454788413568,COMPLETED,293.17,USD,true,2026-07-16T00:00:00Z
CAP_AFDB09D899E1FE95,ORDER-65558376566301280,COMPLETED,238.33,USD,true,2026-09-17T00:00:00Z
CAP_A591D5923FA158C5,ORDER-56320482332408648,COMPLETED,364.68,USD,true,2026-09-07T00:00:00Z
CAP_01A5AEE5F8B3667F,ORDER-05350579975801790,COMPLETED,417.88,USD,true,2026-09-25T00:00:00Z
CAP_4CD38B53786903FE,ORDER-00324812159093475,COMPLETED,328.75,USD,true,2026-07-22T00:00:00Z
CAP_5E511D46CB558DA5,ORDER-29990643975320576,COMPLETED,331.93,USD,true,2026-05-09T00:00:00Z
CAP_7C4136893B875294,ORDER-60233811503385104,COMPLETED,137.84,USD,true,2026-03-22T00:00:00Z
CAP_5DC00311A055305E,ORDER-28860036297170460,COMPLETED,297.98,USD,true,2026-09-25T00:00:00Z
CAP_D937B3BEC54F0326,ORDER-28807175266000988,COMPLETED,282.46,USD,true,2026-09-12T00:00:00Z
CAP_BAC91E102D6CD6C5,ORDER-02302333573951542,COMPLETED,337.85,USD,true,2026-08-14T00:00:00Z
CAP_EF6622EBA8DEFB93,ORDER-92838223833981072,COMPLETED,245.22,USD,true,2026-04-04T00:00:00Z
CAP_0C6E8E9A7FD32C4F,ORDER-03679084779545238,COMPLETED,77.65,USD,true,2026-04-21T00:00:00Z
CAP_0F37663071FAB606,ORDER-79843184016571936,COMPLETED,368.64,USD,true,2026-09-10T00:00:00Z
CAP_CA50B5110F66E572,ORDER-05081502210852458,COMPLETED,360.11,USD,true,2026-08-17T00:00:00Z
CAP_8975CB352C67C158,ORDER-25719395897220536,COMPLETED,186.09,USD,true,2026-08-04T00:00:00Z
CAP_115E373D798D73F4,ORDER-41293727951726752,COMPLETED,445.44,USD,true,2026-07-01T00:00:00Z
CAP_B1FB3F13739547DF,ORDER-82360363929700272,COMPLETED,137.99,USD,true,2026-06-24T00:00:00Z
CAP_E4C1A1005939D4C0,ORDER-93726731275081040,COMPLETED,440.30,USD,true,2026-08-07T00:00:00Z
CAP_AD8DC5B908D077D6,ORDER-38502419105964904,COMPLETED,66.44,USD,true,2026-03-25T00:00:00Z
CAP_A03103481F4B7A3A,ORDER-08353049405083549,COMPLETED,89.63,USD,true,2026-08-21T00:00:00Z
CAP_C6E926252749095E,ORDER-57528081097420344,COMPLETED,394.78,USD,true,2026-03-12T00:00:00Z
CAP_8B69118D48CEFD76,ORDER-63996456919236320,COMPLETED,398.89,USD,true,2026-08-04T00:00:00Z
CAP_F23835DCD14A9F04,ORDER-80976184355549600,COMPLETED,40.71,USD,true,2026-05-05T00:00:00Z
CAP_753309006DA4685B,ORDER-36626785824367208,COMPLETED,259.78,USD,true,2026-04-22T00:00:00Z
CAP_92E35B301D2C0DCF,ORDER-32824087856721172,COMPLETED,300.75,USD,true,2026-04-19T00:00:00Z
CAP_AAD01DE6046DBB10,ORDER-65782305535758992,COMPLETED,192.80,USD,true,2026-05-25T00:00:00Z
CAP_E975BFC60F3497A2,ORDER-11725824750832200,COMPLETED,195.05,USD,true,2026-07-09T00:00:00Z
CAP_4D5D76792F8254C4,ORDER-94168126068156272,COMPLETED,305.11,USD,true,2026-08-13T00:00:00Z
CAP_2C103838AFFDA42A,ORDER-33076626031229560,COMPLETED,87.66,USD,true,2026-03-05T00:00:00Z
CAP_CF8AD47115A31563,ORDER-06959642193727028,COMPLETED,360.39,USD,true,2026-07-02T00:00:00Z
CAP_3ED801157DFCD8D5,ORDER-34308925612973480,COMPLETED,333.95,USD,true,2026-07-07T00:00:00Z
CAP_C2C75F49293A49E1,ORDER-45809835123740992,COMPLETED,220.07,USD,true,2026-08-27T00:00:00Z
CAP_03E0933E90E053AB,ORDER-36963273089827632,COMPLETED,383.16,USD,true,2026-07-10T00:00:00Z
CAP_9BA5D156B7CC37FB,ORDER-16485078780206422,COMPLETED,404.53,USD,true,2026-05-23T00:00:00Z
CAP_8E2AFAF725644FD5,ORDER-96175406126387136,COMPLETED,289.89,USD,true,2026-07-16T00:00:00Z
CAP_7357EE8123217A65,ORDER-28805482773485352,COMPLETED,106.06,USD,true,2026-06-12T00:00:00Z
CAP_BB79D4121F7B6921,ORDER-75454536348327312,COMPLETED,323.34,USD,true,2026-04-05T00:00:00Z
CAP_6B7FD67EFA0AB74B,ORDER-61706829751705208,COMPLETED,117.78,USD,true,2026-09-23T00:00:00Z
CAP_FB9A602919E1D653,ORDER-11908690124707618,COMPLETED,62.13,USD,true,2026-03-25T00:00:00Z
CAP_694E7100B6C733B1,ORDER-56473821660724392,COMPLETED,260.41,USD,true,2026-07-27T00:00:00Z
CAP_646E5807D9C3121A,ORDER-79522775569708448,COMPLETED,458.42,USD,true,2026-04-11T00:00:00Z
CAP_20F73B06E93E913A,ORDER-08668868433995577,COMPLETED,106.83,USD,true,2026-09-25T00:00:00Z
CAP_7AB564D50DBD2D9D,ORDER-67151594426087848,COMPLETED,350.35,USD,true,2026-06-24T00:00:00Z
CAP_A10B05989887E783,ORDER-49948016996471216,COMPLETED,166.19,USD,true,2026-09-15T00:00:00Z
CAP_BA6DA3837721369D,ORDER-37167641025580304,COMPLETED,251.61,USD,true,2026-08-04T00:00:00Z
CAP_1510C65D385072D1,ORDER-29513131887425264,COMPLETED,305.71,USD,true,2026-03-08T00:00:00Z
CAP_838900F85EE6696B,ORDER-39677002904786264,COMPLETED,208.46,USD,true,2026-08-03T00:00:00Z
CAP_0E551A16C1CB5D77,ORDER-22116765669601396,COMPLETED,92.00,USD,true,2026-04-25T00:00:00Z
CAP_4824AE0EFC34AE27,ORDER-50975456205650912,COMPLETED,339.37,USD,true,2026-03-24T00:00:00Z
CAP_70EF14DC7FA9464E,ORDER-79160272599738208,COMPLETED,116.76,USD,true,2026-05-06T00:00:00Z
CAP_3D215E6ADA5A4BEE,ORDER-84783337490997904,COMPLETED,226.46,USD,true,2026-09-22T00:00:00Z
CAP_E00E0543C53B2F38,ORDER-14601152443606944,COMPLETED,363.09,USD,true,2026-09-09T00:00:00Z
