id,capture_id,status,amount_value,currency_code,note_to_payer,create_time
REF_BA980DADB772A96F,CAP_86419A366A6DE0F6,COMPLETED,175.66,USD,Partial refund — adjusted line item.,2025-12-12T00:00:00Z
REF_F73C67BB7C5BA0FE,CAP_0940FC0B5D0C3749,COMPLETED,152.52,USD,Partial refund — adjusted line item.,2025-12-07T00:00:00Z
REF_B1815BC9A3E63F7E,CAP_88120BDB2369F1C8,COMPLETED,83.60,USD,Partial refund - adjusted line item.,2026-08-13T00:00:00Z
REF_2456819B9445B04A,CAP_62455EF5B83202E8,COMPLETED,125.74,USD,Partial refund - adjusted line item.,2026-09-20T00:00:00Z
REF_AAC9BFF7F82F9BD4,CAP_16032BB7A593DB4E,COMPLETED,142.10,USD,Partial refund - adjusted line item.,2026-03-26T00:00:00Z
REF_95ECECFB798E5E23,CAP_5DC00311A055305E,COMPLETED,98.20,USD,Partial refund - adjusted line item.,2026-09-25T00:00:00Z
REF_C59A824231ECD5D9,CAP_D937B3BEC54F0326,COMPLETED,182.33,USD,Partial refund - adjusted line item.,2026-09-12T00:00:00Z
REF_623B0DFA1EF871A0,CAP_AD8DC5B908D077D6,COMPLETED,25.58,USD,Partial refund - adjusted line item.,2026-03-25T00:00:00Z
REF_83A6B096201684D1,CAP_A03103481F4B7A3A,COMPLETED,35.63,USD,Partial refund - adjusted line item.,2026-08-21T00:00:00Z
REF_3618A01499E4E323,CAP_E975BFC60F3497A2,COMPLETED,72.16,USD,Partial refund - adjusted line item.,2026-07-09T00:00:00Z
REF_F6D3661F6A3152DB,CAP_CF8AD47115A31563,COMPLETED,203.01,USD,Partial refund - adjusted line item.,2026-07-02T00:00:00Z
REF_7514A5B5B4CF18B6,CAP_BA6DA3837721369D,COMPLETED,175.03,USD,Partial refund - adjusted line item.,2026-08-04T00:00:00Z
REF_E8EC8982DA6251DB,CAP_0E551A16C1CB5D77,COMPLETED,30.72,USD,Partial refund - adjusted line item.,2026-04-25T00:00:00Z
REF_7A6B84099C6901B8,CAP_63F41B775F8F1C00,COMPLETED,38.21,USD,Partial refund - adjusted line item.,2026-08-13T00:00:00Z
REF_C2193D75C080AFA7,CAP_5DDAF77EB39EDA9F,COMPLETED,134.33,USD,Partial refund - adjusted line item.,2026-07-10T00:00:00Z
REF_6426FD04E7605E0D,CAP_66C6EC3ACDADF3B2,COMPLETED,37.86,USD,Partial refund - adjusted line item.,2026-03-07T00:00:00Z
REF_24C71340149C394D,CAP_7FA0089A9CC804BF,COMPLETED,278.56,USD,Partial refund - adjusted line item.,2026-04-17T00:00:00Z
REF_62E4658F624B23E1,CAP_3DAC700B62F4B899,COMPLETED,136.41,USD,Partial refund - adjusted line item.,2026-08-23T00:00:00Z
