Id,Name,AccountType,AccountSubType,CurrentBalance,Active,Classification,Description
1,Residential Service - Income,Income,ServiceFeeIncome,0.00,true,Revenue,Residential service work
2,Commercial Project - Income,Income,ServiceFeeIncome,0.00,true,Revenue,Light commercial / multi-unit
3,Materials - Cost of Goods,Cost of Goods Sold,SuppliesMaterialsCogs,0.00,true,Expense,"Wire, fixtures, breakers"
4,Payroll - Crew,Expense,PayrollExpenses,0.00,true,Expense,"Ryan, Danny, Jake"
5,Equipment Loan - First Citizens,Long Term Liability,NotesPayable,22140.66,true,Liability,Acct ****4471; AUTHORITATIVE bank balance; persona MEMORY $28k is stale
6,Business Checking - First Citizens,Bank,Checking,47280.18,true,Asset,Primary operating account
7,SEP-IRA Contribution,Expense,PayrollExpenses,0.00,true,Expense,Owner SEP contributions
8,Vehicle - Fuel + Maintenance,Expense,VehicleExpenses,0.00,true,Expense,F-150 work truck
9,Subcontractor - Plumbing,Expense,SubcontractorExpenses,0.00,true,Expense,Rizzo Plumbing referrals
10,Insurance - Liability + Bonding,Expense,Insurance,0.00,true,Expense,Annual renewal November
110,Account sol9,Income,Savings,2849.80,true,Expense,desc 2y2fewrtdn
112,Account cl7b,Bank,Utilities,521.34,true,Asset,desc hw1p5s24yy
114,Account 54l1,Bank,Checking,2636.28,true,Asset,desc 3waww87ep3
116,Account chby,Income,Utilities,3415.86,true,Revenue,desc 30g753o0k4
118,Account 9qu2,Income,Savings,3392.73,true,Revenue,desc wrajooe922
120,Account k6e4,Income,Savings,3722.50,true,Expense,desc 3iz0emi4r4
122,Account 3n9h,Expense,Savings,3789.05,true,Revenue,desc 0lshalss4t
124,Account hsav,Other Current Asset,Savings,833.43,true,Revenue,desc p48g92njzb
126,Account 5cg0,Other Current Asset,Utilities,956.55,true,Expense,desc z6w3z4rno8
128,Account 0htk,Income,Sales,2066.04,true,Revenue,desc 1629gpdfmd
130,Account h7e0,Bank,Checking,4686.44,true,Expense,desc mnk9n20us5
132,Account v1yk,Other Current Asset,Checking,2749.43,true,Asset,desc jjqddh28um
134,Account c9zm,Bank,Utilities,56.68,true,Revenue,desc 5wemx7h67i
136,Account kx4f,Income,Checking,3611.56,true,Expense,desc taa7h4p1lx
138,Account gxi5,Income,Savings,964.00,true,Expense,desc xakbo3y6kz
140,Account 5qqf,Expense,Utilities,4061.86,true,Revenue,desc 513ar900yt
142,Account 22ib,Other Current Asset,Sales,4795.89,true,Revenue,desc 51zkacpfjy
144,Account ct8b,Expense,Checking,2048.01,true,Asset,desc ksdi0v1cnh
146,Account qi5p,Expense,Utilities,1247.93,true,Asset,desc yqar1spuz9
148,Account g0uj,Income,Checking,3287.23,true,Asset,desc ycip0v29jb
150,Account 8wdk,Other Current Asset,Sales,4849.77,true,Asset,desc hrgk3h5u5p
152,Account 0ic5,Bank,Utilities,4613.66,true,Expense,desc y2y9jim2mm
154,Account abgo,Other Current Asset,Sales,1400.93,true,Asset,desc o4by5nhujp
