id,name,status,channel,subject,from_email,from_label,list_id,send_time,created,updated
kv_camp_0001,Winter buckle series (batch 1),draft,email,Winter buckle series (batch 1),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_engaged_only,2025-09-30T19:11:19Z,2026-01-07T15:32:45Z,2025-06-04T14:33:55Z
kv_camp_0002,Cerrillos storm cuff (batch 2),sent,email,Cerrillos storm cuff (batch 2),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_engaged_only,2025-03-14T05:03:34Z,2025-07-10T07:33:22Z,2025-09-05T09:06:55Z
kv_camp_0003,Sleeping Beauty petite cuff (batch 3),scheduled,email,Sleeping Beauty petite cuff (batch 3),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_gallery_consigned,2024-12-06T19:10:14Z,2024-10-13T02:42:53Z,2025-03-22T03:08:45Z
kv_camp_0004,New listing - Zuni Sunset cuff (batch 4),sent,email,New listing - Zuni Sunset cuff (batch 4),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_gallery_consigned,2025-10-25T22:15:24Z,2024-10-01T00:16:35Z,2026-03-31T06:53:06Z
kv_camp_0005,New listing - Zuni Sunset cuff (batch 5),sent,email,New listing - Zuni Sunset cuff (batch 5),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_direct_ig_etsy,2024-10-09T06:09:50Z,2025-04-01T17:32:43Z,2024-12-25T23:58:33Z
kv_camp_0006,Holiday drop - fall 2025 (batch 6),draft,email,Holiday drop - fall 2025 (batch 6),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_direct_ig_etsy,2024-12-28T09:53:22Z,2024-11-10T15:01:16Z,2025-06-23T04:44:50Z
kv_camp_0007,Winter buckle series (batch 7),scheduled,email,Winter buckle series (batch 7),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_engaged_only,2025-06-15T18:54:27Z,2026-05-31T03:09:03Z,2026-01-18T07:39:55Z
kv_camp_0008,New listing - Zuni Sunset cuff (batch 8),sent,email,New listing - Zuni Sunset cuff (batch 8),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_direct_ig_etsy,2026-03-23T13:07:27Z,2025-04-04T08:42:22Z,2024-11-07T23:36:58Z
kv_camp_0009,Holiday drop - fall 2025 (batch 9),sent,email,Holiday drop - fall 2025 (batch 9),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_gallery_consigned,2026-05-23T15:49:34Z,2025-06-20T22:10:36Z,2025-11-15T09:36:32Z
kv_camp_0010,Bolo tie collection (batch 10),sent,email,Bolo tie collection (batch 10),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_direct_ig_etsy,2025-03-10T22:28:55Z,2026-04-24T22:19:46Z,2025-01-22T09:49:25Z
kv_camp_0011,Red Earth Sedona spring (batch 11),sent,email,Red Earth Sedona spring (batch 11),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_engaged_only,2025-01-30T00:55:27Z,2024-09-23T10:09:11Z,2025-02-13T05:20:18Z
kv_camp_0012,Sleeping Beauty petite cuff (batch 12),sent,email,Sleeping Beauty petite cuff (batch 12),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_direct_ig_etsy,2025-06-20T08:37:27Z,2024-12-18T16:10:52Z,2025-09-05T05:00:05Z
kv_camp_0013,Cerrillos storm cuff (batch 13),scheduled,email,Cerrillos storm cuff (batch 13),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_engaged_only,2025-04-01T11:52:34Z,2024-07-21T11:54:44Z,2025-04-24T17:25:06Z
kv_camp_0014,Red Earth Sedona spring (batch 14),sent,email,Red Earth Sedona spring (batch 14),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_engaged_only,2025-12-21T19:52:20Z,2025-10-02T03:22:35Z,2025-12-24T13:53:10Z
kv_camp_0015,Red Earth Sedona spring (batch 15),scheduled,email,Red Earth Sedona spring (batch 15),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_gallery_consigned,2025-05-02T13:07:18Z,2024-08-17T21:10:28Z,2025-06-26T22:06:59Z
kv_camp_0016,New listing - Zuni Sunset cuff (batch 16),sent,email,New listing - Zuni Sunset cuff (batch 16),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_gallery_consigned,2025-01-18T02:02:55Z,2025-10-21T07:51:31Z,2025-08-14T15:57:45Z
kv_camp_0017,Holiday drop - fall 2025 (batch 17),sent,email,Holiday drop - fall 2025 (batch 17),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_engaged_only,2026-06-20T15:51:39Z,2024-08-02T04:51:29Z,2026-04-05T22:57:32Z
kv_camp_0018,Winter buckle series (batch 18),sent,email,Winter buckle series (batch 18),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_direct_ig_etsy,2026-05-09T23:20:58Z,2024-10-03T17:02:28Z,2025-04-23T02:32:28Z
kv_camp_0019,Turquoise Trail winter window (batch 19),scheduled,email,Turquoise Trail winter window (batch 19),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_gallery_consigned,2025-11-26T03:49:37Z,2025-06-26T09:54:30Z,2026-03-02T21:52:28Z
kv_camp_0020,New listing - Kingman ridgeline (batch 20),scheduled,email,New listing - Kingman ridgeline (batch 20),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_engaged_only,2024-07-17T23:57:27Z,2026-01-01T14:46:15Z,2025-01-09T08:15:54Z
kv_camp_0021,New listing - Zuni Sunset cuff (batch 21),draft,email,New listing - Zuni Sunset cuff (batch 21),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_direct_ig_etsy,2024-08-29T18:49:42Z,2025-07-21T02:33:34Z,2026-06-27T19:06:26Z
kv_camp_0022,New listing - Kingman ridgeline (batch 22),sent,email,New listing - Kingman ridgeline (batch 22),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_engaged_only,2024-10-06T15:30:47Z,2025-08-26T22:29:06Z,2024-10-31T17:22:41Z
kv_camp_0023,Holiday drop - fall 2025 (batch 23),draft,email,Holiday drop - fall 2025 (batch 23),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_direct_ig_etsy,2025-06-21T22:00:14Z,2025-11-09T15:18:20Z,2024-11-27T18:20:23Z
kv_camp_0024,Red Earth Sedona spring (batch 24),sent,email,Red Earth Sedona spring (batch 24),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_gallery_consigned,2025-11-19T17:30:29Z,2025-06-07T01:59:19Z,2026-03-04T08:45:48Z
kv_camp_0025,Ranger star buckle drop (batch 25),sent,email,Ranger star buckle drop (batch 25),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_gallery_consigned,2026-01-27T23:56:30Z,2025-12-15T19:14:11Z,2026-06-22T21:36:17Z
kv_camp_0026,New listing - Kingman ridgeline (batch 26),sent,email,New listing - Kingman ridgeline (batch 26),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_gallery_consigned,2024-09-02T01:06:07Z,2025-06-17T18:37:43Z,2024-12-15T15:56:36Z
kv_camp_0027,Turquoise Trail winter window (batch 27),sent,email,Turquoise Trail winter window (batch 27),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_gallery_consigned,2025-07-13T22:32:25Z,2025-04-05T04:09:54Z,2026-06-19T21:32:41Z
kv_camp_0028,Cerrillos storm cuff (batch 28),scheduled,email,Cerrillos storm cuff (batch 28),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_gallery_consigned,2024-10-08T20:46:46Z,2025-11-09T23:23:30Z,2024-11-02T03:56:19Z
kv_camp_0029,Holiday drop - fall 2025 (batch 29),sent,email,Holiday drop - fall 2025 (batch 29),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_engaged_only,2025-09-29T15:45:08Z,2025-12-02T21:36:36Z,2026-01-24T04:03:47Z
kv_camp_0030,Winter buckle series (batch 30),sent,email,Winter buckle series (batch 30),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_gallery_consigned,2025-02-16T15:27:29Z,2025-01-07T08:09:48Z,2026-01-14T20:27:40Z
kv_camp_0031,Holiday drop - fall 2025 (batch 31),sent,email,Holiday drop - fall 2025 (batch 31),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_engaged_only,2025-11-22T12:22:27Z,2026-04-06T11:21:06Z,2025-08-29T00:16:22Z
kv_camp_0032,Turquoise Trail winter window (batch 32),scheduled,email,Turquoise Trail winter window (batch 32),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_direct_ig_etsy,2026-02-03T12:21:53Z,2026-01-12T07:00:21Z,2026-03-16T22:36:32Z
kv_camp_0033,Turquoise Trail winter window (batch 33),sent,email,Turquoise Trail winter window (batch 33),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_direct_ig_etsy,2024-08-11T01:22:51Z,2025-11-13T16:37:32Z,2026-03-02T00:09:50Z
kv_camp_0034,Cerrillos storm cuff (batch 34),sent,email,Cerrillos storm cuff (batch 34),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_engaged_only,2025-09-22T00:48:01Z,2024-10-02T09:03:19Z,2024-07-20T01:31:46Z
kv_camp_0035,Red Earth Sedona spring (batch 35),scheduled,email,Red Earth Sedona spring (batch 35),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_engaged_only,2025-06-14T01:07:45Z,2026-06-13T21:05:20Z,2024-09-29T09:09:07Z
kv_camp_0036,Bolo tie collection (batch 36),scheduled,email,Bolo tie collection (batch 36),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_engaged_only,2025-02-26T00:55:12Z,2026-01-27T06:45:05Z,2025-12-25T20:55:12Z
kv_camp_0037,Ranger star buckle drop (batch 37),draft,email,Ranger star buckle drop (batch 37),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_engaged_only,2025-03-31T15:25:57Z,2025-12-04T03:25:16Z,2025-04-17T10:40:11Z
kv_camp_0038,Winter buckle series (batch 38),sent,email,Winter buckle series (batch 38),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_direct_ig_etsy,2025-07-02T19:37:58Z,2025-11-17T16:32:17Z,2025-04-07T08:00:05Z
kv_camp_0039,Ranger star buckle drop (batch 39),scheduled,email,Ranger star buckle drop (batch 39),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_direct_ig_etsy,2025-05-24T01:52:47Z,2025-06-19T10:32:04Z,2026-05-13T16:45:23Z
kv_camp_0040,Red Earth Sedona spring (batch 40),sent,email,Red Earth Sedona spring (batch 40),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_engaged_only,2024-08-18T05:50:15Z,2025-07-05T20:17:49Z,2025-02-27T11:07:56Z
kv_camp_0041,Sleeping Beauty petite cuff (batch 41),sent,email,Sleeping Beauty petite cuff (batch 41),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_direct_ig_etsy,2025-07-11T15:58:40Z,2025-04-21T23:03:00Z,2024-08-10T02:21:13Z
kv_camp_0042,New listing - Kingman ridgeline (batch 42),sent,email,New listing - Kingman ridgeline (batch 42),sam.osborne@Finthesiss.ai,Sam Osborne,kv_list_direct_ig_etsy,2025-07-23T01:26:40Z,2024-09-16T04:05:07Z,2025-07-28T16:20:41Z
