id,name,slug,sku,type,status,price,regular_price,sale_price,on_sale,stock_quantity,stock_status,manage_stock,categories,description,date_created
1,MITRE ATT&CK Detection Rule Pack Q3 2026,mitre-attandck-detection-rule-pack-q3-2026,RSN-0001,simple,publish,29.0,29.0,0.0,false,999,instock,false,"1,7",MITRE ATT&CK Detection Rule Pack Q3 2026 - Reed Security Notes downloadable product.,2026-06-01T12:00:00
2,MITRE ATT&CK Detection Rule Pack Q4 2026,mitre-attandck-detection-rule-pack-q4-2026,RSN-0002,simple,publish,29.0,29.0,0.0,false,999,instock,false,"1,7",MITRE ATT&CK Detection Rule Pack Q4 2026 - Reed Security Notes downloadable product.,2026-06-01T12:00:00
3,Splunk SIEM Dashboard Export Q4 2026,splunk-siem-dashboard-export-q4-2026,RSN-0003,simple,publish,49.0,49.0,0.0,false,999,instock,false,"2,8",Splunk SIEM Dashboard Export Q4 2026 - Reed Security Notes downloadable product.,2026-06-01T12:00:00
4,Splunk SIEM Dashboard Export Q3 2026,splunk-siem-dashboard-export-q3-2026,RSN-0004,simple,publish,49.0,49.0,0.0,false,999,instock,false,"2,8",Splunk SIEM Dashboard Export Q3 2026 - Reed Security Notes downloadable product.,2026-06-01T12:00:00
5,Elastic Watcher Rule Pack Q3 2026,elastic-watcher-rule-pack-q3-2026,RSN-0005,simple,publish,39.0,39.0,0.0,false,999,instock,false,"1,9",Elastic Watcher Rule Pack Q3 2026 - Reed Security Notes downloadable product.,2026-06-01T12:00:00
6,Persistence and Lateral Movement Detection Rules,persistence-and-lateral-movement-detection-rules,RSN-0006,simple,publish,29.0,29.0,0.0,false,999,instock,false,"1,7",Persistence and Lateral Movement Detection Rules - Reed Security Notes downloadable product.,2026-06-01T12:00:00
7,Credential Access Detection Rules Pack,credential-access-detection-rules-pack,RSN-0007,simple,publish,29.0,29.0,0.0,false,999,instock,false,"1,7",Credential Access Detection Rules Pack - Reed Security Notes downloadable product.,2026-06-01T12:00:00
8,Splunk Threat Hunter Playbook,splunk-threat-hunter-playbook,RSN-0008,simple,publish,19.0,19.0,0.0,false,999,instock,false,3,Splunk Threat Hunter Playbook - Reed Security Notes downloadable product.,2026-06-01T12:00:00
9,Sysmon Configuration Cheat Sheet,sysmon-configuration-cheat-sheet,RSN-0009,simple,publish,9.0,9.0,0.0,false,999,instock,false,4,Sysmon Configuration Cheat Sheet - Reed Security Notes downloadable product.,2026-06-01T12:00:00
10,Sigma Rule Author Quick Reference,sigma-rule-author-quick-reference,RSN-0010,simple,publish,9.0,9.0,0.0,false,999,instock,false,4,Sigma Rule Author Quick Reference - Reed Security Notes downloadable product.,2026-06-01T12:00:00
