Date	Distance_mi	Duration_min	Weather	Knee_Rating_1to5	Notes
2025-12-01	3.0	62	Clear, 42F	2	
2025-12-02	3.0	64	Overcast, 38F	2	
2025-12-03	3.0	60	Clear, 45F	2	Wednesday walk
2025-12-04	3.0	63	Partly cloudy, 40F	3	Youth program morning, walked afternoon
2025-12-05	3.0	61	Clear, 43F	2	
2025-12-07	3.0	65	Overcast, 37F	2	Sunday
2025-12-08	3.0	62	Clear, 41F	2	
2025-12-09	3.0	60	Sunny, 48F	2	
2025-12-10	3.0	63	Cloudy, 39F	3	Knees stiff this morning
2025-12-11	3.0	61	Partly cloudy, 44F	2	Youth program
2025-12-12	3.0	64	Clear, 46F	2	
2025-12-14	3.0	60	Sunny, 50F	2	Sunday
2025-12-15	3.0	62	Overcast, 40F	2	
2025-12-16	0.0	0	Rain, 36F	0	Skipped. Rain all day.
2025-12-17	3.0	65	Clear, 38F	3	Cold snap. Knee wrap used.
2025-12-18	3.0	63	Sunny, 44F	2	Youth program
2025-12-19	3.0	61	Clear, 46F	2	
2025-12-21	3.0	64	Partly cloudy, 42F	2	Sunday
2025-12-22	3.0	60	Clear, 48F	2	
2025-12-23	3.0	62	Overcast, 39F	3	
2025-12-24	3.0	63	Clear, 41F	2	Christmas Eve. Short walk.
2025-12-26	3.0	60	Sunny, 52F	2	
2025-12-27	0.0	0	Rain, 35F	0	Skipped.
2025-12-28	3.0	65	Clear, 40F	2	Sunday
2025-12-29	3.0	61	Overcast, 43F	3	
2025-12-30	3.0	62	Partly cloudy, 45F	2	
2025-12-31	3.0	60	Clear, 47F	2	New Year's Eve walk
2026-01-01	3.0	64	Sunny, 44F	2	New Year's Day
2026-01-02	3.0	62	Clear, 41F	2	
2026-01-04	3.0	60	Sunny, 48F	2	Sunday
2026-01-05	3.0	63	Overcast, 39F	3	Cold front moving in
2026-01-06	3.0	65	Clear, 35F	3	Knee wrap. Cold.
2026-01-07	3.0	61	Partly cloudy, 42F	2	
2026-01-08	3.0	60	Clear, 46F	2	Youth program morning
2026-01-09	3.0	64	Sunny, 50F	2	
2026-01-11	3.0	62	Clear, 47F	2	Sunday
2026-01-12	3.0	60	Overcast, 38F	3	
2026-01-13	3.0	63	Clear, 40F	2	
2026-01-14	0.0	0	Snow, 28F	0	Ice on trail. Skipped.
2026-01-15	3.0	66	Clear, 33F	3	Youth program. Trail clear.
2026-01-16	3.0	62	Sunny, 44F	2	
2026-01-18	3.0	60	Partly cloudy, 50F	2	Sunday walk after church
2026-01-19	3.0	63	Clear, 46F	2	MLK Day
2026-01-20	3.0	61	Sunny, 52F	2	
2026-01-21	3.0	64	Overcast, 43F	3	
2026-01-22	3.0	60	Clear, 47F	2	Youth program
2026-01-23	3.0	62	Sunny, 54F	2	
2026-01-25	3.0	60	Clear, 48F	2	Sunday
2026-01-26	3.0	63	Overcast, 42F	2	
2026-01-27	3.0	61	Partly cloudy, 45F	2	
2026-01-28	3.0	64	Clear, 50F	2	
2026-01-29	3.0	60	Sunny, 53F	2	Youth program
2026-01-30	3.0	62	Clear, 55F	2	
2026-02-01	3.0	61	Sunny, 52F	2	Sunday
2026-02-02	3.0	64	Clear, 44F	3	
2026-02-03	0.0	0	Rain, 40F	0	Camry in for service. Skipped walk.
2026-02-04	3.0	62	Clear, 48F	2	
2026-02-05	3.0	60	Partly cloudy, 50F	2	Youth program
2026-02-06	3.0	63	Sunny, 54F	2	
2026-02-08	3.0	61	Overcast, 46F	2	Sunday. Christine's family visited.
2026-02-09	0.0	0	Overcast, 44F	0	Endocrinologist appointment. No walk.
2026-02-10	3.0	64	Sunny, 56F	2	
2026-02-11	3.0	62	Clear, 50F	2	
2026-02-12	0.0	0	Overcast, 42F	0	Annual physical. Labs fasting. No walk.
2026-02-13	3.0	60	Sunny, 52F	2	
2026-02-14	3.0	63	Clear, 55F	2	
2026-02-15	3.0	61	Partly cloudy, 58F	2	Sunday walk after church
2026-02-16	3.0	64	Sunny, 60F	2	Good day. Knees felt fine.
2026-02-17	3.0	62	Clear, 57F	2	
2026-02-18	3.0	60	Overcast, 50F	3	
2026-02-19	3.0	63	Clear, 53F	2	Youth program
2026-02-20	3.0	61	Sunny, 62F	2	
2026-02-22	3.0	60	Partly cloudy, 55F	2	Sunday
2026-02-23	3.0	64	Clear, 50F	2	
2026-02-24	3.0	62	Sunny, 58F	2	
2026-02-25	3.0	60	Overcast, 48F	3	Cold front
2026-02-26	3.0	63	Clear, 52F	2	Youth program
2026-02-27	3.0	61	Sunny, 56F	2	
2026-02-28	3.0	60	Clear, 54F	2	Saturday
