Month	Service	Usage	Unit Rate (USD)	Amount (USD)
October 2025	Electric	1150 kWh	0.1390	159.85
October 2025	Water	4100 gallons	0.0185	75.85
November 2025	Electric	1210 kWh	0.1390	168.19
November 2025	Water	4000 gallons	0.0185	74.00
December 2025	Electric	1320 kWh	0.1390	183.48
December 2025	Water	3900 gallons	0.0185	72.15
January 2026	Electric	1280 kWh	0.1390	177.92
January 2026	Water	4050 gallons	0.0185	74.92
February 2026	Electric	1180 kWh	0.1390	164.02
February 2026	Water	4200 gallons	0.0185	77.70
