Date	Start Time	Minutes	Distance (mi)	Steps	Route
01/06/2026	5:05 PM	22	1.05	2480	Subdivision loop
01/08/2026	5:10 PM	24	1.18	2710	Greenway spur
01/12/2026	5:00 PM	20	0.98	2300	Short loop, stiff hands
01/15/2026	5:15 PM	25	1.22	2840	Greenway spur
01/20/2026	5:05 PM	23	1.1	2600	Subdivision loop
01/22/2026	5:00 PM	21	1.02	2410	Cold, kept it short
01/27/2026	5:12 PM	24	1.19	2730	Greenway spur
01/29/2026	5:08 PM	22	1.08	2520	Subdivision loop
02/03/2026	5:05 PM	25	1.24	2880	Felt good, longer
02/05/2026	5:10 PM	23	1.12	2640	Greenway spur
02/10/2026	5:00 PM	20	0.97	2280	Tired after a long day
02/12/2026	5:15 PM	24	1.2	2760	Subdivision loop
