Id,DisplayName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr_Line1,BillAddr_City,BillAddr_CountrySubDivisionCode,BillAddr_PostalCode,Balance,Active,AcctNum,Vendor1099
1,Ferguson Plumbing Northeast,Ferguson Enterprises LLC,ap@fergusonplumbing.com,(215) 743-0900,4801 Aramingo Avenue,Philadelphia,PA,19124,2480.50,true,PK-FERG-001,false
2,Home Depot Aramingo,Home Depot USA Inc,b2b@homedepot.com,(215) 743-0414,4640 Aramingo Avenue,Philadelphia,PA,19124,318.20,true,PK-HDPK-002,false
3,Lowes Roosevelt Blvd,Lowes Companies Inc,pro@lowes.com,(215) 535-1500,2106 Cottman Avenue,Philadelphia,PA,19149,0.00,true,PK-LOWS-003,false
4,Klein Tools Frankford,Klein Tools Distributor,sales@klein-tools-frankford.com,(215) 743-0207,1812 Frankford Avenue,Philadelphia,PA,19125,180.00,true,PK-KLNN-004,false
5,Greensgrow Farms,Greensgrow Philadelphia Project,info@greensgrowfarms.com,(267) 993-1077,2503 E Cumberland Street,Philadelphia,PA,19125,0.00,true,PK-GRSG-005,false
6,Univest Bank and Trust,Univest Financial,smallbusiness@univestbank.com,(215) 721-2400,14 N Main Street,Souderton,PA,18964,0.00,true,PK-UNVT-006,false
7,Penske Truck Leasing,Penske Truck Leasing Co LP,fleet-ap@penske.com,(800) 526-7000,2675 Morgantown Road,Reading,PA,19607,580.00,true,PK-PNSK-007,false
8,Pennsylvania Department of Labor and Industry,Commonwealth of Pennsylvania,renewal@pa.gov,(800) 266-6732,651 Boas Street,Harrisburg,PA,17121,0.00,true,PK-PADL-008,false
9,Brennan Insurance Group,Brennan Insurance Group LLC,policies@brennaninsgroup.com,(215) 829-4400,2042 Locust Street,Philadelphia,PA,19103,400.00,true,PK-BRIN-009,false
10,Grainger Industrial Supply,W W Grainger Inc,b2b@grainger.com,(800) 472-4643,100 Grainger Parkway,Lake Forest,IL,60045,0.00,true,PK-GRNG-010,false
11,Plumbing Express Supply,Plumbing Express LLC,counter@plumbingexpress.com,(215) 425-7000,2440 N Front Street,Philadelphia,PA,19133,640.00,true,PK-PLEX-011,false
12,PECO Energy,PECO Energy Company,smallbiz@peco.com,(800) 494-4000,2301 Market Street,Philadelphia,PA,19103,142.00,true,PK-PECO-012,false
13,Lowes Northeast Philly,Lowes Inc,orders@lowes-nephila.example.com,+14845597520,4901 Roosevelt Blvd,Philadelphia,PA,19124,1021.00,true,PK-LOWE-013,false
14,PlumbersWarehouse Direct,Plumbers Warehouse Direct LLC,orders@plumberswhd.example.com,+12675555996,2210 Castor Ave,Philadelphia,PA,19125,230.25,true,PK-PLUM-014,false
15,Ace Hardware Fishtown,Ace Hardware Co-op,store@acefishtown.example.com,+16105589726,1247 Frankford Ave,Philadelphia,PA,19146,235.25,true,PK-ACE-015,false
16,Eastern Supply Co,Eastern Supply Co LLC,sales@easternsupplyco.example.com,+14845556315,3402 Aramingo Ave,Philadelphia,PA,19125,174.50,true,PK-EAST-016,false
17,Master Pipe and Fitting,Master Pipe and Fitting Inc,office@masterpipefit.example.com,+12675578375,1108 Tulip St,Philadelphia,PA,19134,227.99,true,PK-MAST-017,false
18,Industrial Valve Supply,Industrial Valve Supply LLC,orders@indvalvesup.example.com,+12155595978,2705 Lehigh Ave,Philadelphia,PA,19120,2740.75,true,PK-INDU-018,false
19,Brewery District Hardware,Brewery District Hardware Inc,front@brewerydistricthw.example.com,+12675557584,1402 Frankford Ave,Philadelphia,PA,19124,313.75,true,PK-BREW-019,false
20,Frankford Avenue Tool Loft,Frankford Tool Loft LLC,shop@frankfordtoolloft.example.com,+16105597928,1825 Frankford Ave,Philadelphia,PA,19125,1978.50,true,PK-FRAN-020,false
21,Port Richmond Pipe Yard,Port Richmond Pipe Yard Inc,yard@prpipeyard.example.com,+16105598227,3211 Aramingo Ave,Philadelphia,PA,19133,1193.75,true,PK-PORT-021,false
22,Northern Liberties Lumber,Northern Liberties Lumber LLC,front@nolibslumber.example.com,+12675553165,615 Spring Garden St,Philadelphia,PA,19125,1800.75,true,PK-NORT-022,false
