id,name,id_board,pos,closed
lst-done,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e001,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e001,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e001,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e002,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e002,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e002,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e003,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e003,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e003,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e004,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e004,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e004,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e005,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e005,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e005,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e006,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e006,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e006,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e007,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e007,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e007,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e008,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e008,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e008,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e009,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e009,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e009,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e010,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e010,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e010,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e011,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e011,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e011,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e012,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e012,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e012,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e013,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e013,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e013,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e014,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e014,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e014,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e015,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e015,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e015,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e016,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e016,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e016,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e017,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e017,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e017,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e018,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e018,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e018,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e019,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e019,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e019,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e020,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e020,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e020,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e021,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e021,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e021,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e022,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e022,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e022,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e023,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e023,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e023,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e024,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e024,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e024,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e025,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e025,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
lst-day-of-e025,Day-of (Jess and Carmen own),trl-bd-jam-wedding,3,false
lst-done-e026,Done (do not reopen),trl-bd-jam-wedding,1,false
lst-moh-closeout-e026,MOH closeout (Amanda lane),trl-bd-jam-wedding,2,false
