campaign_id,emails_sent,opens_total,unique_opens,open_rate,clicks_total,unique_clicks,click_rate,unsubscribed,bounces
mc_0000,2424,1300,669,0.5363,605,40,0.2496,8,1
mc_0001,588,119,73,0.2024,35,6,0.0595,8,0
mc_0002,690,323,269,0.4681,321,111,0.4652,1,1
mc_0003,602,444,339,0.7375,223,211,0.3704,10,5
mc_0004,2703,979,464,0.3622,926,767,0.3426,2,2
mc_0005,1741,1607,248,0.923,1024,163,0.5882,7,5
mc_0006,887,468,418,0.5276,302,111,0.3405,5,0
mc_0007,2783,1853,50,0.6658,462,341,0.166,8,5
mc_0008,2725,450,390,0.1651,120,93,0.044,1,5
mc_0009,716,125,74,0.1746,18,5,0.0251,7,0
mc_0010,1817,1679,584,0.9241,146,8,0.0804,3,1
mc_0011,1545,1232,820,0.7974,1177,344,0.7618,3,4
mc_0012,937,611,385,0.6521,458,127,0.4888,9,2
mc_0013,2510,267,167,0.1064,122,45,0.0486,2,4
mc_0014,2453,1336,393,0.5446,1284,396,0.5234,6,3
mc_0015,1349,287,66,0.2128,248,230,0.1838,9,2
mc_0016,1897,1878,1464,0.99,1427,1095,0.7522,4,1
mc_0017,2106,740,67,0.3514,229,212,0.1087,9,2
mc_0018,2912,2169,306,0.7448,812,158,0.2788,7,2
mc_0019,1871,104,53,0.0556,35,30,0.0187,4,4
mc_0020,1179,1086,1054,0.9211,247,225,0.2095,6,1
mc_0021,2548,726,637,0.2849,383,236,0.1503,10,1
mc_0022,2311,2215,1778,0.9585,1780,928,0.7702,1,2
mc_0023,1933,1883,646,0.9741,1656,1422,0.8567,5,3
mc_0024,1579,1417,398,0.8974,1222,1013,0.7739,10,2
mc_0025,805,187,142,0.2323,54,28,0.0671,4,3
mc_0026,2869,2288,1923,0.7975,45,27,0.0157,9,2
mc_0027,1293,615,477,0.4756,225,34,0.174,6,2
mc_0028,956,249,107,0.2605,179,96,0.1872,3,1
mc_0029,592,113,93,0.1909,80,19,0.1351,7,3
mc_0030,1664,792,560,0.476,362,177,0.2175,7,1
mc_0031,2972,1399,734,0.4707,1090,236,0.3668,3,3
mc_0032,2200,858,840,0.39,549,339,0.2495,5,1
mc_0033,1113,963,448,0.8652,836,829,0.7511,9,3
mc_0034,2645,2393,1737,0.9047,2156,1874,0.8151,5,1
mc_0035,2045,1205,142,0.5892,1103,36,0.5394,0,4
mc_0036,1411,268,235,0.1899,10,5,0.0071,3,0
mc_0037,2578,548,104,0.2126,65,35,0.0252,10,5
mc_0038,2320,1797,1306,0.7746,422,21,0.1819,6,4
mc_0039,508,278,264,0.5472,176,107,0.3465,9,1
mc_0040,1231,942,831,0.7652,736,109,0.5979,7,1
mc_0041,1377,462,346,0.3355,285,124,0.207,1,0
mc_0042,2007,990,324,0.4933,172,19,0.0857,1,0
mc_0043,2052,1617,1586,0.788,613,232,0.2987,9,3
mc_0044,667,304,271,0.4558,27,21,0.0405,5,4
mc_0045,1235,272,264,0.2202,194,52,0.1571,9,3
mc_0046,1586,736,273,0.4641,672,295,0.4237,10,5
mc_0047,1260,1135,1048,0.9008,1033,137,0.8198,9,5
mc_0048,2382,909,804,0.3816,138,89,0.0579,10,1
mc_0049,1280,917,769,0.7164,23,18,0.018,6,2
mc_0050,2044,1431,1073,0.7001,307,291,0.1502,6,3
mc_0051,1966,1711,299,0.8703,925,664,0.4705,6,5
mc_0052,521,301,255,0.5777,270,258,0.5182,6,3
mc_0053,1728,1663,1516,0.9624,693,667,0.401,8,1
mc_0054,932,820,202,0.8798,764,52,0.8197,7,3
mc_0055,907,555,247,0.6119,338,110,0.3727,5,5
mc_0056,1357,1063,524,0.7833,733,567,0.5402,2,3
mc_0057,1637,1579,1056,0.9646,1529,477,0.934,2,0
mc_0058,1026,583,162,0.5682,17,10,0.0166,8,5
mc_0059,2606,2258,1310,0.8665,2054,890,0.7882,7,0
mc_0060,1622,920,422,0.5672,30,16,0.0185,2,4
mc_0061,2593,491,161,0.1894,246,183,0.0949,3,1
mc_0062,1856,451,413,0.243,131,25,0.0706,10,4
mc_0063,1533,645,333,0.4207,459,424,0.2994,3,0
mc_0064,2323,971,930,0.418,467,414,0.201,7,3
mc_0065,2444,1298,557,0.5311,502,249,0.2054,3,4
mc_0066,2465,1903,1880,0.772,1043,228,0.4231,0,2
mc_0067,1356,508,387,0.3746,182,128,0.1342,5,2
mc_0068,1296,282,238,0.2176,145,145,0.1119,10,4
mc_0069,1453,1195,593,0.8224,302,248,0.2078,8,5
mc_0070,1230,323,282,0.2626,173,64,0.1407,3,2
mc_0071,1482,357,339,0.2409,230,225,0.1552,5,3
mc_0072,2888,870,327,0.3012,47,41,0.0163,5,0
mc_0073,1411,152,89,0.1077,35,24,0.0248,8,4
mc_0074,1979,342,50,0.1728,175,27,0.0884,2,5
mc_0075,995,597,266,0.6,461,253,0.4633,3,1
mc_0076,1442,1172,575,0.8128,15,12,0.0104,5,0
mc_0077,2387,852,152,0.3569,712,314,0.2983,7,3
mc_0078,1562,462,58,0.2958,227,147,0.1453,7,4
mc_0079,2410,349,101,0.1448,187,90,0.0776,7,5
mc_0080,628,121,52,0.1927,22,18,0.035,8,5
mc_0081,1473,1276,1068,0.8663,532,166,0.3612,3,4
mc_0082,550,176,70,0.32,170,110,0.3091,6,5
mc_0083,2851,1934,1653,0.6784,31,30,0.0109,3,5
mc_0084,2161,281,153,0.13,97,56,0.0449,4,5
mc_0085,2238,459,79,0.2051,423,98,0.189,5,1
mc_0086,2229,1568,1563,0.7035,920,761,0.4127,5,0
mc_0087,2504,1645,771,0.6569,1159,448,0.4629,3,5
mc_0088,1140,316,148,0.2772,153,113,0.1342,7,2
mc_0089,2991,2054,66,0.6867,1448,1033,0.4841,4,5
mc_0090,2050,1931,125,0.942,895,644,0.4366,2,1
mc_0091,1339,173,135,0.1292,135,74,0.1008,10,5
mc_0092,2316,1765,1193,0.7621,27,7,0.0117,9,3
mc_0093,1312,1185,284,0.9032,783,115,0.5968,1,3
mc_0094,647,213,83,0.3292,128,24,0.1978,7,1
mc_0095,1705,360,289,0.2111,261,170,0.1531,2,4
mc_0096,1392,674,433,0.4842,64,23,0.046,10,5
mc_0097,2139,1606,213,0.7508,902,355,0.4217,5,1
mc_0098,1448,894,451,0.6174,42,32,0.029,2,3
mc_0099,2827,1651,1549,0.584,834,559,0.295,8,5
mc_0100,1653,468,362,0.2831,211,103,0.1276,8,0
mc_0101,1528,550,242,0.3599,354,115,0.2317,4,1
mc_0102,1637,1337,52,0.8167,1216,819,0.7428,3,3
mc_0103,687,313,86,0.4556,148,8,0.2154,7,1
mc_0104,835,544,508,0.6515,348,333,0.4168,5,1
mc_0105,2312,936,772,0.4048,516,295,0.2232,9,1
mc_0106,2958,2053,113,0.6941,146,56,0.0494,9,2
mc_0107,1486,138,84,0.0929,120,19,0.0808,9,0
mc_0108,686,115,60,0.1676,78,29,0.1137,0,2
mc_0109,1705,574,533,0.3367,139,85,0.0815,9,4
mc_0110,2270,2113,1497,0.9308,1912,1120,0.8423,1,1
mc_0111,1415,560,147,0.3958,307,261,0.217,0,5
mc_0112,1208,749,194,0.62,391,249,0.3237,4,2
mc_0113,2453,411,253,0.1675,390,330,0.159,3,0
mc_0114,984,143,76,0.1453,26,24,0.0264,9,1
mc_0115,1222,1118,571,0.9149,601,471,0.4918,4,3
mc_0116,2732,1970,1628,0.7211,1279,1011,0.4682,1,1
mc_0117,2856,1164,423,0.4076,789,269,0.2763,1,1
mc_0118,1282,633,367,0.4938,420,73,0.3276,2,0
mc_0119,2433,209,150,0.0859,119,46,0.0489,7,3
