group	line_item	amount_usd	note
essentials	mortgage	2100	Rockland Trust
essentials	tax escrow	420	City of Boston
essentials	utilities	260	Eversource
essentials	groceries	680	Roche Bros and Star
essentials	car payment	380	Subaru Motors Finance
essentials	car insurance	155	Progressive
essentials	gas	100	Shell
kids-care	sitter	1440	Ava about twelve nights
kids-care	tuition	450	Holy Name
kids-care	hockey	150	Liam Bobcats
kids-care	art	80	Chloe Roslindale
kids-care	scouts	25	Girl Scouts
other	cell	65	Verizon
other	internet	70	Xfinity
other	streaming	40	bundle
other	meds	20	CVS
other	EpiPen	30	Atrius pharmacy
other	discretionary	300	buffer
other	student loan	195	Nelnet IDR
essentials	household	90	Target paper and cleaning
essentials	heating oil	140	cold months buffer
kids-care	clothing	120	winter coats and boots
kids-care	school lunch	70	Holy Name cafeteria
kids-care	dental	45	Gentle Dental copays
kids-care	hockey tournament	60	holiday classic
other	dining out	110	pizza and takeout
other	parish giving	35	Holy Name offertory
