date,description,amount_usd,category,running_balance_usd
2026-10-01,Statement open balance,3810.00,balance,3810.00
2026-10-06,Payment received - thank you,-400.00,payment,3410.00
2026-10-09,Legal - Hartley Family Law retainer draw,220.00,legal,3630.00
2026-10-14,Grocery top up Roche Bros,86.40,groceries,3716.40
2026-10-22,Pharmacy CVS,41.10,pharmacy,3757.50
2026-10-28,Statement close balance,3757.50,balance,3757.50
2026-11-02,Payment received - thank you,-350.00,payment,3407.50
2026-11-05,Grocery top up Star Market,64.20,groceries,3471.70
2026-11-09,Gas Shell near BMC,43.75,fuel,3515.45
2026-11-13,Legal - Hartley Family Law retainer draw,180.00,legal,3695.45
2026-11-18,Pharmacy CVS,37.40,pharmacy,3732.85
2026-11-22,Household Target Roslindale,58.90,household,3791.75
2026-11-27,Payment received - thank you,-300.00,payment,3491.75
