week_type,day_of_week,shift,start,end,notes
Week A,Sunday,night,1900,0700,on
Week A,Monday,night,1900,0700,on
Week A,Tuesday,night,1900,0700,on
Week A,Wednesday,off,,,off
Week A,Thursday,off,,,off
Week A,Friday,off,,,off
Week A,Saturday,off,,,off
Week B,Sunday,off,,,off
Week B,Monday,off,,,off
Week B,Tuesday,off,,,off
Week B,Wednesday,night,1900,0700,on
Week B,Thursday,night,1900,0700,on
Week B,Friday,night,1900,0700,on
Week B,Saturday,off,,,off
Thanksgiving Week,Wednesday,off,,,Kerry off shift for holiday
Thanksgiving Week,Thursday,off,,,Thanksgiving at Quincy
Thanksgiving Week,Friday,off,,,leftover day at home
Holiday Week,Wednesday,off,,,Kerry off shift for holiday block
Holiday Week,Thursday,off,,,Christmas Eve
Holiday Week,Friday,off,,,Christmas at home
