category,line_item,amount_usd,notes
inflow,BMC take home payroll first,3675.00,paid biweekly split into two lines
inflow,BMC take home payroll third week,3675.00,paid biweekly split into two lines
inflow,child support expected court order,1400.00,per decree from March 2023
inflow,child support running bank average,900.00,derived from Plaid export
outflow,mortgage principal and interest,2100.00,Rockland Trust auto debit first
outflow,property tax escrow,420.00,City of Boston escrow first
outflow,utilities combined,260.00,Eversource combined bill
outflow,groceries,680.00,Roche Bros and Star Market
outflow,car payment,380.00,Subaru Motors Finance
outflow,car insurance,155.00,Progressive
outflow,gas,100.00,Shell station near BMC
outflow,cell phone,65.00,Verizon
outflow,home internet,70.00,Xfinity
outflow,streaming subscriptions,40.00,Netflix Hulu Disney bundle
outflow,pharmacy OTC amortized,20.00,CVS
outflow,EpiPen refill amortized,30.00,Atrius pharmacy
outflow,discretionary allowance,300.00,coffee gifts small ad hoc
outflow,student loan income driven,195.00,Nelnet
outflow,babysitter Ava roughly twelve nights,1440.00,120 per night at BMC pay grade
outflow,Holy Name tuition after aid,450.00,parish school West Roxbury
outflow,Liam hockey Holy Name Bobcats,150.00,ice time and gear amortized
outflow,Chloe art class Roslindale,80.00,Roslindale Community Center
outflow,Girl Scouts dues,25.00,Girl Scouts of Eastern Massachusetts
outflow,household supplies,90.00,Target Roslindale paper goods cleaning
outflow,kids clothing seasonal,120.00,winter coats and boots
outflow,heating oil buffer,140.00,cold months set aside
outflow,dining out family,110.00,pizza and occasional takeout
outflow,Thanksgiving groceries extra,95.00,Quincy contribution and sides
outflow,Liam hockey tournament fee,60.00,holiday classic entry
outflow,school lunch accounts,70.00,Holy Name cafeteria reload
outflow,dental copays,45.00,Gentle Dental Roslindale
outflow,Chloe birthday party fund,50.00,amortized for December
outflow,charitable giving parish,35.00,Holy Name offertory
