Title	Author	Genre	Status	Rating	Notes
Devotions	Mary Oliver	Poetry	Read	5/5	The collection I return to most. 'The Summer Day' changed my life.
Wade in the Water	Tracy K. Smith	Poetry	Read	5/5	'An Old Story' wrecked me. US Poet Laureate for a reason.
Night Sky with Exit Wounds	Ocean Vuong	Poetry	Read	5/5	Every line is a wound and a gift. I've read it 4 times.
The Carrying	Ada Limon	Poetry	Read	4/5	'The Conditional' is the poem I wish I'd written.
Citizen: An American Lyric	Claudia Rankine	Poetry/Essay	Read	5/5	Required reading for being alive in America.
When Breath Becomes Air	Paul Kalanithi	Memoir	Read	5/5	Neurosurgeon facing mortality. Cried on the bus reading this.
The Immortal Life of Henrietta Lacks	Rebecca Skloot	Nonfiction	Read	4/5	Ethics, race, science. Perfect intersection of everything I care about.
Mountains Beyond Mountains	Tracy Kidder	Nonfiction	Read	4/5	Paul Farmer's story. This is the kind of doctor I want to be.
Being Mortal	Atul Gawande	Nonfiction	Read	5/5	Changed how I think about end-of-life care.
Such a Fun Age	Kiley Reid	Fiction	Read	4/5	Anna recommended. Quick read, sharp on race and class.
Postcolonial Love Poem	Natalie Diaz	Poetry	Reading	—	Halfway through. Indigenous queer voice, stunning imagery.
The House of the Spirits	Isabel Allende	Fiction	Reading	—	Faith recommended, reading together. Magical realism.
My Own Country	Abraham Verghese	Memoir	To Read	—	Doctor memoir about AIDS epidemic in rural Tennessee.
The Spirit Catches You and You Fall Down	Anne Fadiman	Nonfiction	To Read	—	Cultural competency in medicine. Prof. Okonkwo assigned it.
Just Medicine	Dayna Bowen Matthew	Nonfiction	To Read	—	Implicit bias in healthcare. For personal statement research.
