id,name,country,state,lat,lon,timezone
4513583,Kettering,US,OH,39.6895,-84.1688,America/New_York
4513584,City 0,US,OH,39.6722,-84.1865,America/New_York
4513585,City 1,US,OH,39.6154,-84.2358,America/New_York
4513586,City 2,US,OH,39.6064,-84.2888,America/New_York
4513587,City 3,US,OH,39.6803,-84.1759,America/New_York
4513588,City 4,US,OH,39.6988,-84.2579,America/New_York
4513589,City 5,US,OH,39.6960,-84.2066,America/New_York
4513590,City 6,US,OH,39.6915,-84.2448,America/New_York
4513591,City 7,US,OH,39.6553,-84.1349,America/New_York
4513592,City 8,US,OH,39.6173,-84.2310,America/New_York
4513593,City 9,US,OH,39.6423,-84.2890,America/New_York
4513594,City 10,US,OH,39.6687,-84.2450,America/New_York
4513595,City 11,US,OH,39.6618,-84.2022,America/New_York
4513596,City 12,US,OH,39.6270,-84.1132,America/New_York
4513597,City 13,US,OH,39.6593,-84.2321,America/New_York
4513598,City 14,US,OH,39.6864,-84.2151,America/New_York
4513599,City 15,US,OH,39.6833,-84.2833,America/New_York
4513600,City 16,US,OH,39.6736,-84.1046,America/New_York
4513601,City 17,US,OH,39.6353,-84.2796,America/New_York
4513602,City 18,US,OH,39.6287,-84.2943,America/New_York
4513603,City 19,US,OH,39.6537,-84.1970,America/New_York
4513604,City 20,US,OH,39.6847,-84.1880,America/New_York
4513605,City 21,US,OH,39.6355,-84.1463,America/New_York
4513606,City 22,US,OH,39.6962,-84.2812,America/New_York
4513607,City 23,US,OH,39.6158,-84.2738,America/New_York
4513608,City 24,US,OH,39.6957,-84.2032,America/New_York
4513609,City 25,US,OH,39.6401,-84.1539,America/New_York
4513610,City 26,US,OH,39.6219,-84.1992,America/New_York
4513611,City 27,US,OH,39.6146,-84.2586,America/New_York
4513612,City 28,US,OH,39.6633,-84.2804,America/New_York
4513613,City 29,US,OH,39.6335,-84.2608,America/New_York
4513614,City 30,US,OH,39.6843,-84.1581,America/New_York
4513615,City 31,US,OH,39.6877,-84.1053,America/New_York
4513616,City 32,US,OH,39.6021,-84.1126,America/New_York
4513617,City 33,US,OH,39.6348,-84.1107,America/New_York
4513618,City 34,US,OH,39.6617,-84.2169,America/New_York
4513619,City 35,US,OH,39.6064,-84.1158,America/New_York
4513620,City 36,US,OH,39.6739,-84.1028,America/New_York
4513621,City 37,US,OH,39.6366,-84.1535,America/New_York
4513622,City 38,US,OH,39.6898,-84.1472,America/New_York
4513623,City 39,US,OH,39.6008,-84.1191,America/New_York
4513624,City 40,US,OH,39.6924,-84.1654,America/New_York
4513625,City 41,US,OH,39.6988,-84.1456,America/New_York
4513626,City 42,US,OH,39.6943,-84.1087,America/New_York
4513627,City 43,US,OH,39.6873,-84.1027,America/New_York
4513628,City 44,US,OH,39.6171,-84.1914,America/New_York
4513629,City 45,US,OH,39.6455,-84.1727,America/New_York
4513630,City 46,US,OH,39.6854,-84.1092,America/New_York
4513631,City 47,US,OH,39.6169,-84.2064,America/New_York
4513632,City 48,US,OH,39.6684,-84.2459,America/New_York
4513633,City 49,US,OH,39.6392,-84.2781,America/New_York
4513634,City 50,US,OH,39.6166,-84.2064,America/New_York
4513635,City 51,US,OH,39.6708,-84.2210,America/New_York
4513636,City 52,US,OH,39.6072,-84.2122,America/New_York
4513637,City 53,US,OH,39.6300,-84.1352,America/New_York
4513638,City 54,US,OH,39.6446,-84.2547,America/New_York
4513639,City 55,US,OH,39.6526,-84.1038,America/New_York
4513640,City 56,US,OH,39.6741,-84.1715,America/New_York
4513641,City 57,US,OH,39.6218,-84.2517,America/New_York
4513642,City 58,US,OH,39.6656,-84.1658,America/New_York
4513643,City 59,US,OH,39.6180,-84.2453,America/New_York
4513644,City 60,US,OH,39.6192,-84.2169,America/New_York
4513645,City 61,US,OH,39.6510,-84.1683,America/New_York
4513646,City 62,US,OH,39.6767,-84.1398,America/New_York
4513647,City 63,US,OH,39.6481,-84.1723,America/New_York
4513648,City 64,US,OH,39.6479,-84.2785,America/New_York
4513649,City 65,US,OH,39.6946,-84.2670,America/New_York
4513650,City 66,US,OH,39.6202,-84.1107,America/New_York
4513651,City 67,US,OH,39.6258,-84.2300,America/New_York
4513652,City 68,US,OH,39.6531,-84.1065,America/New_York
4513653,City 69,US,OH,39.6941,-84.2846,America/New_York
4513654,City 70,US,OH,39.6320,-84.2273,America/New_York
4513655,City 71,US,OH,39.6969,-84.1731,America/New_York
4513656,City 72,US,OH,39.6821,-84.1449,America/New_York
4513657,City 73,US,OH,39.6042,-84.2599,America/New_York
4513658,City 74,US,OH,39.6210,-84.1631,America/New_York
4513659,City 75,US,OH,39.6564,-84.2979,America/New_York
4513660,City 76,US,OH,39.6856,-84.1315,America/New_York
4513661,City 77,US,OH,39.6721,-84.2866,America/New_York
4513662,City 78,US,OH,39.6281,-84.2633,America/New_York
4513663,City 79,US,OH,39.6628,-84.2095,America/New_York
4513664,City 80,US,OH,39.6054,-84.2879,America/New_York
4513665,City 81,US,OH,39.6481,-84.2963,America/New_York
4513666,City 82,US,OH,39.6417,-84.2593,America/New_York
4513667,City 83,US,OH,39.6608,-84.1773,America/New_York
4513668,City 84,US,OH,39.6290,-84.2151,America/New_York
4513669,City 85,US,OH,39.6551,-84.1746,America/New_York
4513670,City 86,US,OH,39.6024,-84.1547,America/New_York
4513671,City 87,US,OH,39.6694,-84.2395,America/New_York
4513672,City 88,US,OH,39.6937,-84.2167,America/New_York
4513673,City 89,US,OH,39.6746,-84.1663,America/New_York
4513674,City 90,US,OH,39.6329,-84.1781,America/New_York
4513675,City 91,US,OH,39.6385,-84.1055,America/New_York
4513676,City 92,US,OH,39.6276,-84.1091,America/New_York
4513677,City 93,US,OH,39.6134,-84.2302,America/New_York
4513678,City 94,US,OH,39.6654,-84.1005,America/New_York
4513679,City 95,US,OH,39.6409,-84.2816,America/New_York
4513680,City 96,US,OH,39.6840,-84.1526,America/New_York
4513681,City 97,US,OH,39.6354,-84.2508,America/New_York
4513682,City 98,US,OH,39.6373,-84.2557,America/New_York
4513683,City 99,US,OH,39.6936,-84.2780,America/New_York
4513684,City 100,US,OH,39.6379,-84.1357,America/New_York
4513685,City 101,US,OH,39.6335,-84.1626,America/New_York
4513686,City 102,US,OH,39.6475,-84.2854,America/New_York
4513687,City 103,US,OH,39.6466,-84.1097,America/New_York
4513688,City 104,US,OH,39.6730,-84.1457,America/New_York
4513689,City 105,US,OH,39.6413,-84.1469,America/New_York
4513690,City 106,US,OH,39.6590,-84.2588,America/New_York
4513691,City 107,US,OH,39.6836,-84.2947,America/New_York
4513692,City 108,US,OH,39.6337,-84.1864,America/New_York
4513693,City 109,US,OH,39.6584,-84.1328,America/New_York
4513694,City 110,US,OH,39.6633,-84.1050,America/New_York
4513695,City 111,US,OH,39.6402,-84.2147,America/New_York
4513696,City 112,US,OH,39.6371,-84.2229,America/New_York
4513697,City 113,US,OH,39.6121,-84.1321,America/New_York
4513698,City 114,US,OH,39.6840,-84.1980,America/New_York
4513699,City 115,US,OH,39.6514,-84.1588,America/New_York
4513700,City 116,US,OH,39.6613,-84.1006,America/New_York
4513701,City 117,US,OH,39.6024,-84.1874,America/New_York
4513702,City 118,US,OH,39.6944,-84.1299,America/New_York
4513703,City 119,US,OH,39.6925,-84.2646,America/New_York
4513704,City 120,US,OH,39.6557,-84.1787,America/New_York
4513705,City 121,US,OH,39.6903,-84.2713,America/New_York
4513706,City 122,US,OH,39.6648,-84.1885,America/New_York
4513707,City 123,US,OH,39.6302,-84.1882,America/New_York
4513708,City 124,US,OH,39.6793,-84.2712,America/New_York
4513709,City 125,US,OH,39.6281,-84.1623,America/New_York
4513710,City 126,US,OH,39.6113,-84.1021,America/New_York
4513711,City 127,US,OH,39.6563,-84.2846,America/New_York
4513712,City 128,US,OH,39.6796,-84.2422,America/New_York
4513713,City 129,US,OH,39.6517,-84.1820,America/New_York
4513714,City 130,US,OH,39.6872,-84.2118,America/New_York
4513715,City 131,US,OH,39.6444,-84.1659,America/New_York
4513716,City 132,US,OH,39.6987,-84.2569,America/New_York
4513717,City 133,US,OH,39.6420,-84.2222,America/New_York
4513718,City 134,US,OH,39.6108,-84.2238,America/New_York
4513719,City 135,US,OH,39.6704,-84.1520,America/New_York
4513720,City 136,US,OH,39.6633,-84.1585,America/New_York
4513721,City 137,US,OH,39.6832,-84.2396,America/New_York
4513722,City 138,US,OH,39.6593,-84.2684,America/New_York
4513723,City 139,US,OH,39.6074,-84.1139,America/New_York
4513724,City 140,US,OH,39.6145,-84.1676,America/New_York
4513725,City 141,US,OH,39.6633,-84.2579,America/New_York
4513726,City 142,US,OH,39.6588,-84.1389,America/New_York
4513727,City 143,US,OH,39.6659,-84.1183,America/New_York
4513728,City 144,US,OH,39.6682,-84.2585,America/New_York
4513729,City 145,US,OH,39.6234,-84.2200,America/New_York
4513730,City 146,US,OH,39.6740,-84.2168,America/New_York
4513731,City 147,US,OH,39.6546,-84.1730,America/New_York
4513732,City 148,US,OH,39.6708,-84.1214,America/New_York
4513733,City 149,US,OH,39.6985,-84.1872,America/New_York
4513734,City 150,US,OH,39.6840,-84.1325,America/New_York
4513735,City 151,US,OH,39.6942,-84.2869,America/New_York
